,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
y,yes,yes,yes,M,Eric ,Berridge,Principal and Co-Founder,Bluewolf,"Principal and Co-Founder, Bluewolf",,,Speaker 2010,yes,"At the end of the dot com bubble burst Eric Berridge saw an opportunity. Amidst the chaos, Eric took a risky gamble and co-founded Bluewolf, which today is the world's largest leading provider of professional services for on-demand software applications. Berridge's vision to see a marketplace need for enterprise consulting services that were affordable, added measurable value and were iterative led to the birth of Bluewolf, which turned a profit in six months. Today, Bluewolf successfully works with more than 3,000 organizations to help them adopt on-demand solutions. Prior to founding Bluewolf, Berridge held various sales and management positions at The Oracle Corporation and The Interworld Corporation. He has a B.A. in Shakespearean Literature from U.C. Berkeley and an M.B.A. in Entrepreneurial Finance from NYU.",1273616104
y,yes,yes,yes,M,Damian‎,Black ,CEO,SQLstream,"CEO, SQLstream",,,Speaker 2010,yes,"Damian Black has over twenty-five years in the software infrastructure business. His career at Hewlett-Packard included working in their European research labs before running a European-wide middleware solutions business. At HP he also led the team that pioneered a new market category within mobile Telecomm known as IP Mediation. The software was used to perform real-time analytics and billing on service usage data and became the market leader. He was also VP Product Management at XACCT, which was acquired by Amdocs to power its real-time data mediation. Damian was also VP Sales and Business Development for Followap until it was acquired by NeuStar. Followap, a Sequoia-funded company, was market leader in mobile Instant Messaging and Presence, continuing Damian's involvement in real-time middleware technologies.",
y,yes,yes,yes,M,Roger,Bodamer,"SVP Product and Engineering, 10Gen",10gen,"SVP Product and Engineering, 10Gen",,,Speaker 2010,yes,"Roger Bodamer has over 20 years of experience of building and delivering great and innovative products to market and has deep expertise and knowledge of database architectures and internals. Roger holds several patents for database and middleware technology. His experience leading product development and engineering teams includes 12 years with Oracle’s Database and Application Server development organization where he pioneered  products that delivered heterogeneous interoperability, as well as several years as SVP of product operations and engineering at Apple’s PowerSchool division. Roger also held leadership positions at OuterBay and Efficient Frontier. He earned a Bachelor's degree in computer science from the HogeSchool Enschede.",1274934508
y,yes,yes,yes,M,Navin,Chaddha,Managing Director,Mayfield Fund,"Managing Director, Mayfield Fund",,,2010 Speaker,yes,"Navin Chaddha was ranked on the Forbes Midas List of top 15 dealmakers in 2008 and 2009. Chaddha invests in the Cleantech, Internet, Enterprise and Telecom industries in the US and India. He has made over 30 investments in the past, of which nine have had IPOs and eight have been acquired. Prior to becoming a VC, Chaddha was founder and Chief Technical Operator of VXtreme that was acquired by Microsoft and became Windows Media. He was also the co-founder of iBeam Broadcasting (NASDAQ IPO) and Chief Executive Officer of Rivio (acquired by CPA2Biz). Chaddha holds an MS degree in electrical engineering from Stanford University and a B. Tech degree in electrical engineering from IIT Delhi and holds over 35 patents.",1268434461
y,yes,yes,yes,M,Erich ,Clementi,"Vice President, Strategy and General Manager, Enterprise Initiatives",IBM,"Vice President, Strategy and General Manager, Enterprise Initiatives, IBM",2,,Speaker 2010,yes,"Erich Clementi was named IBM Vice President, Strategy and General Manager, Enterprise Initiatives in December, 2008.  Prior to that, he was General Manager of Business Systems Division in IBM's Systems and Technology Group. Erich runs IBM’s strategy function responsible for identifying major opportunities for the company and to drive integration across IBM's businesses. In recent years, Erich was the general manager of IBM’s Managed Business Process Services division.  This became one of IBM’s fastest growing businesses. Between 2003 through the end of 2005, Erich helped lead the historic resurgence of the IBM mainframe as general manager of IBM’s System z division. Erich joined IBM in 1984 and holds a degree in business administration from the Leopold-Franzens University, Innsbruck, Austria.",1264109214
y,yes,yes,yes,M,Michael ,Crandell,CEO,RightScale,"CEO, RightScale",,,Speaker 2010,yes,"Crandell is the CEO and a founder of RightScale, where he provides the vision and direction for the company as it pioneers innovative ways to bring the power of cloud computing to any organization. Crandell is a frequent speaker at cloud computing industry conferences, and he has played a major role in helping establish and promote openness and transparency in the cloud market. Prior to RightScale, he served as CEO at several Internet Software-as-a-Service (SAAS) companies and as executive vice president at eFax.com. Crandell received his B.A. from Stanford University and completed graduate studies at Harvard University",1272046776
y,yes,yes,yes,M,Joseph ,Crawford,"Executive Director, IT Solutions",Verizon Business,"Executive Director, IT Solutions, Verizon Business",,,Speaker 2010,yes,"Joseph Crawford is the executive director of the IT solutions product portfolio for Verizon Business, bringing more than 20 years of experience in the design, development and deployment of cost-effective, high performance IT solutions.  In his current role, Crawford leads product development and management for Verizon Business’ broad portfolio of IT solutions, including cloud-based services, virtualization, hosting, colocation, remote application management, data center outsourcing and help desk services.  Crawford holds a bachelor’s degree from the University of Maryland, with advanced training from Harvard Business School Executive Education.",1273851755
y,yes,yes,yes,M,Mark,Day,Chief Scientist,Riverbed Technology,"Chief Scientist, Riverbed Technology",8,,Speaker 2010,yes,"Mark Day, Ph.D. came to Riverbed from Cisco Systems, where he served as technical lead for content networking product management. Dr. Day is a senior member of the Office of the CTO, the team responsible for Riverbed’s technology direction and strategy.  Dr. Day also invented the SSL optimization technique that is a core feature of the company’s flagship Steelhead products, a breakthrough which accelerates SSL traffic across the WAN without breaking the centralized trust model favored by security architects. He holds 19 patents in distributed systems, presence, streaming media, content networking, mobile communications, and telephony and has chaired several Internet Engineering Task Force (IETF) working groups. He received his Ph.D. from MIT in 1995.",1270048796
y,yes,yes,yes,M,Baruch ,Deutsch ,Senior Director of Product Marketing,Cisco,"Senior Director of Product Marketing, Cisco",,,Speaker 2010,yes,"Baruch Deutsch holds product marketing responsibilities for Cisco Wide Area Application Services (WAAS) product line, which optimizes the delivery of applications, services and rich media over the wide area network (WAN). Prior to joining Cisco, Mr. Deutsch was the VP of Products at Actona Technologies, pioneering the market for wide area file services (WAFS). The company was acquired by Cisco Systems in August of 2004. Prior to joining Actona, Mr. Deutsch served as a VP of Products at a dot com startup and an eLearning company. Mr. Deutsch was a Director of Marketing at Cadence Design Systems, responsible for electronic design automation (EDA) product lines. Mr. Deutsch holds an MBA and MSEE degrees from Tel Aviv University, and a BSEE from the Technion, Israel.",1274935961
y,yes,yes,yes,M,Satish ,Dharmaraj,Partner,Redpoint Ventures,"Partner, RedPoint Ventures",,,Speaker 2010,yes,"Satish Dharmaraj is a Partner with Redpoint Ventures. Prior to Redpoint, Satish was the Founder and CEO of Zimbra. Prior to founding Zimbra, Satish was VP of the Messaging Products Division at Openwave Systems. Satish previously held several product and engineering positions at IBM and Transarc Corporations. Satish has B.S. and M.S. degrees in Computer Sciences and an executive management degree from the Harvard Business School. Satish focuses on investments in the mobile, SaaS, Software Infrastructure / Applications and Consumer areas. Satish led Redpoint’s investments in Relaxed (couchDB company), Cloud.com and CloudStor and serves on the boards of those companies. Before Redpoint, Satish’s prior investments include Posterous, DimDim, Zelfy and Milo, and is also an advisor to several early stage technology companies. ",
y,yes,yes,yes,M,Kenneth ,Duda,"VP, Software Engineering",Arista Networks,"VP, Software Engineering, Arista Networks",,,Speaker 2010,yes,"Ken is a proven pioneer in high-performance networking software.  Ken's Ph.D. project at Stanford provided the software foundation for Granite Systems, acquired by Cisco Systems in 1996, where Ken led the productization of this software.  From 1999 to 2004, Ken served as Chief Technology Officer of virtual worlds startup There.com, playing a leading role in designing and building a real-time 3-D distributed system that scaled to tens of thousands of simultaneous users.  In 2004, Ken co-founded Arista Networks, where he serves as VP Engineering, overseeing the design and development of Arista's Extensible Operating System (EOS).  Ken studied Computer Science and Electrical Engineering at MIT, receiving three degrees in 1993, and holds a Ph.D. in Computer Science from Stanford University.",1273532666
y,yes,yes,yes,M,Emil ,Eifrem ,Founder and CEO ,"Neo Technology
","Founder and CEO, Neo Technology",,,Speaker 2010,yes,"Emil is the founder of the Neo4j open source graph database project, which is the most widely deployed graph database in the world. As a life-long compulsive programmer who started his first free software project in 1994, Emil has with horror witnessed his recent degradation into a VC-backed ""powerpoint engineer."" As the CEO of Neo Technology, he is now focused on spreading the word about the powers of graphs and preaching the demise of tabular solutions everywhere. Emil presents regularly at conferences such as JAOO, Oredev, QCon, and OSCON.",
y,yes,yes,yes,M,Dave ,Fellinger,CTO,DataDirect Networks,"CTO, DataDirect Networks",,,Speaker 2010,yes,"Dave Fellinger brings over thirty years of experience in engineering including film systems, ASIC design and development, GaAs semiconductor manufacture, RAID and storage systems, and video processing devices. His experience includes serving as Vice President of Engineering for Ultimatte Corporation, where his products won several awards including an Oscar and an Emmy. As CTO of DataDirect Networks, Mr. Fellinger combines his in-depth market knowledge of high-performance computing with the storage technologies to drive next-generation storage technologies.  Mr. Fellinger attended Carnegie-Mellon University and holds patents in optics, motion control, video processing, and pattern recognition. ",
y,yes,yes,yes,M,Dr. Donald ,Ferguson,EVP and CTO,CA Technologies,"EVP and CTO, CA Technologies",4,,Speaker 2010,yes,"Dr. Donald F. Ferguson is responsible for delivering common technology services to CA Technologies’s business units, ensuring architectural compliance and integration of the company's solutions and products. Before assuming the position of CTO, Don was corporate senior vice president and chief architect. In this role, he defined the direction and technical evolution for CA Technologies products. Don placed special emphasis on product integration and support of new technologies like business process modeling, Web service standards and Web 2.0. Prior to joining CA Technologies in 2008, Don was a Microsoft Technical Fellow working in the Office of the CTO. Don began his career at IBM, where he worked for twenty years. Don earned a Ph.D in Computer Science from Columbia University. ",
,yes,,yes,M,Ian,Ferguson,"Director, Enterprise and Embedded Solutions",ARM,"Director, Enterprise and Embedded Solutions, ARM",,,Speaker 2010,,,
y,yes,yes,yes,M,William,Forrest ,Principal,McKinsey and Company,"Principal, McKinsey and Company",14,,Speaker 2010,yes,"William Forrest is a Partner with McKinsey & Company’s Business Technology Office in Chicago, Illinois.  He joined the Firm in July, 2004. Will serves McKinsey as one of its experts on IT strategy development and implementation.  Will also leads McKinsey's global Technology Platform capability.  He works with many CEOs/CIOs to develop innovative cloud visions and  strategies and to manage complex change programs. Additional areas of specialty include design and build of carbon and energy efficient IT systems.",1268674404
y,yes,yes,yes,M,George,Gilbert,Co-Founder and Partner,TechAlpha,"Co-Founder and Partner, TechAlpha",,,Speaker 2010,yes,"George Gilbert is Co-founder of TechAlpha, a consulting and research firm focused on IT infrastructure and applications. A recent report on virtualization's impact on the economics of the IT industry was cited in The Economist, BusinessWeek, and GigaOm. At TechAlpha, he has advised several top 10 software vendors on topics ranging from M&A due diligence to market requirements definition. Previously, George was the lead enterprise software analyst for Credit Suisse First Boston, where he was ranked among the top analysts in Institutional Investor, Reuters and Greenwich polls. Prior to being an analyst, George worked at Microsoft as a product manager on Windows Server. Before that, he spent 7 years at Lotus in strategic marketing as well as product management on the Notes team.",last year info
y,yes,yes,yes,M,Bernard,Golden,CEO,HyperStratus ,"CEO, HyperStratus",,,Speaker 2010,yes,"Bernard Golden is called a “cloud guru.” He is CEO of HyperStratus, a Silicon Valley cloud consulting firm that helps its clients plan, design, and implement cloud initiatives. HyperStratus clients include the Silicon Valley Education Foundation, HelloWallet, Sun Microsystems, and Hewlett-Packard. Bernard is the Cloud Computing Advisor for CIO Magazine. His widely-read CIO.com blog on cloud computing has been called “brilliant and incisive.” His blog's influence was recognized when it was named a “Top 25 Cloud Computing Blog” by CloudTP. He is the author or co-author of three books on virtualization and cloud computing, including Virtualization for Dummies, the most popular book on the subject ever published. Bernard is a popular and engaging presenter, speaking throughout the world at conferences like CloudWorld, Cloud Connect, Structure, and EDUCAUSE.",manual
y,y,yes,yes,M,Hakan,Hacigumus,Department Head,NEC Labs,"Department Head, NEC Labs",11,,Speaker 2010,yes,"Hakan Hacigumus is the head of Data Management Research at NEC Labs America. His current interests include data management in cloud computing, service oriented business models, data privacy, and green technologies. Prior to NEC Labs, he was a researcher at IBM Almaden Research Center, where worked on a wide range of areas in data management and services research. He has published extensively and filed patent applications in the areas of interest.  He received his Ph.D. in Computer Science from the University of California, Irvine.",1273343692
y,yes,yes,yes,M,John,Hagel,"Director and Co-Chairman, Center for the Edge",Deloitte Consulting LLP,"Director and Co-Chairman, Center for the Edge, Deloitte Consulting LLP",9,,Speaker 2010,yes,"John Hagel III is co-chairman of the Silicon Valley-based Deloitte Center for the Edge, which conducts original research and develops substantive points of view for new corporate growth. He has nearly 30 years of experience as a management consultant, author, speaker and entrepreneur, and has helped companies improve their performance by effectively applying information technology to reshape business strategies. Hagel is the author of a series of best-selling business books, including Net Worth, Out of the Box and The Only Sustainable Edge. He has been recognized as an industry thought leader by a variety of publications and professional service firms.",1269638668
y,yes,yes,yes,M,Promod,Haque,Managing Partner,Norwest Venture Partners,"Managing Partner, Norwest Venture Partners",19,,Speaker 2010,yes,"Promod has 20 years of experience in the venture capital industry. He has been ranked as a top investor on the annual Forbes Midas List for the past nine years.  In 2004, Forbes named him as the #1 venture capitalist based on performance over the last decade. In 2006, Promod was presented with a NASSCOM Global Leadership award. Promod focuses on investments in semiconductor and components, systems, software and services. His current investments include Cast Iron Systems, Cyan Optics, FireEye, Persistent Systems, Sonoa Systems, Virtela Communications and Yatra. He was an early investor and a board member of Cerent (acquired by Cisco), Siara Systems (acquired by Redback), OnDisplay (acquired by Vignette) and Winphoria (acquired by Motorola). For a complete biography of Promod, please visit www.nvp.com.",
y,yes,yes,yes,M,Derrick ,Harris ,Infrastructure Curator,"GigaOM Pro
","Infrastructure Curator, GigaOM Pro",,,Speaker 2010,yes,"Derrick Harris handles the day-to-day content for the Infrastructure section of GigaOM Pro, writing daily and weekly updates and gathering topical analysis from around the web. Derrick also is a regular contributor to GigaOM, writing posts about cloud computing, web infrastructure and data center issues. Prior to his work with GigaOM, Derrick was managing editor of On-Demand Enterprise (formerly GRIDtoday), a web publication covering all aspects of on-demand computing technology. Derrick holds a B.A. in print journalism from the University of Wisconsin-Eau Claire, and currently is pursuing a J.D. from the William S. Boyd School of Law (University of Nevada, Las Vegas).",1267160007
y,yes,yes,yes,M,Dr. Phil,Hendrix,Founder and Director,immr,"Founder and Director, immr ",,,Speaker 2010,yes,"Dr. Phil Hendrix is the director of immr (www.immr.org), a research and consulting firm he founded to help clients bring innovative new products and services to market.  Phil works with clients to uncover customer needs, optimize product/service features, achieve competitive differentiation and accelerate market acceptance.  He is also an analyst in GigaOm's analyst network, focusing on mobile and location-based services, in particular. Before founding immr, Phil was a partner with DiamondCluster and a principal with Mercer Management Consulting (now Oliver Wyman).  Previously, he was a professor at Emory University and the University of Michigan, where he taught courses in research, buyer behavior and marketing strategy.  Phil received his PhD in Marketing from the Graduate School of Business, University of Michigan.",1273609845
,yes,yes,yes,M,Jason,Hoffman,CTO and Founder,Joyent,"CTO and Founder, Joyent",10,,Speaker 2010,yes,"Jason and Joyent co-founder David Young joined companies in 2005 after realizing that they shared an interest in solving the same set of problems for customers. An expert in scalable architectures, Jason applies his knowledge and expertise to help Joyent’s customers overcome challenges in such areas such as social games, eCommerce , and enterprise scaling and security. Prior to Joyent, Jason co-founded a shared hosting company in 2004 called TextDrive, whose first customers were emerging Web 2.0 open source projects like Ruby on Rails, Wordpress, and Textpattern. He also founded StrongSpace, a subsidiary of TextDrive. Jason has BS and MS degrees from UCLA, and a PhD in Molecular Pathology from UCSD. He lives in San Francisco with his wife and daughter.",
y,yes,yes,yes,M,Mike ,Hoskins ,"CTO and GM, Integration Products",Pervasive Software,"CTO and GM, Integration Products, Pervasive Software",,,Speaker 2010,yes,"Mike Hoskins brings over 25 years’ experience developing and managing software companies to his roles as Pervasive CTO and General Manager of Pervasive Integration products.  Mike joined Pervasive through its acquisition of Data Junction, where he was president. As CTO, Mike champions Pervasive's technology direction, evangelizes its industry-leading data integration technology, and directs Pervasive Innovation Labs.  Mike received the Austin AITP Austin 2007 Information Technologist of the Year Award for leading Pervasive DataRush™ development. Mike received the Distinguished Alumni Award and the Bowling Green State University Centennial Alumni Award.  He’s a widely respected thinker, has been featured in a variety of publications, and speaks worldwide on trends and innovations in highly parallel software, the multicore revolution and data integration. ",1274381537
y,yes,yes,yes,M,Matthew,Howard,General Partner,Norwest Venture Partners,"General Partner, Norwest Venture Partners",,,2010 Speaker,yes,"Matt brings over 20 years of experience in marketing, product management, engineering, business development, and sales in a wide range of technologies to NVP. Matt has appeared on the Forbes Midas List as a top 100 investor for three years. Matt focuses his efforts on communication and storage systems, embedded systems, mobile/wireless, security and rich media. He currently serves on the boards of Avere Systems, Blue Jeans Network, ConteXtream, MobileIron, Omneon, Retrevo, Spectra Linear and Summit Microelectronics. He is a board observer for his most recent investment, ShotSpotter. For a complete biography of Matt, please visit www.nvp.com.",1275080898
y,yes,yes,yes,M,Michael A.,Jackson,"Co-Founder, President and COO","Adaptive Computing 
","Co-Founder, President and COO, Adaptive Computing™
",14,,Speaker 2010,yes,"Michael Jackson drives Adaptive Computing’s strategic direction, where he focuses primarily on business and partner relationships. Prior to joining Adaptive Computing Enterprises, Michael was product manager of Internet and security products at Novell Inc.—the current developer of SUSE Linux. He also served as Novell’s channel business development manager. Prior to Novell, Michael was with Dorian International, the second largest import–export management company in the United States. Michael graduated from Brigham Young University with a degree in international relations, with an emphasis in international trade and finance.",1265828914
y,yes,yes,yes,M,Jagan,Jagannathan,Founder and CTO,Xangati,"Founder and CTO, Xangati",11,,Speaker 2010,yes,"Jagan Jagannathan is founder and CTO of Xangati, Inc., a privately held virtualization management company founded in 2006 and based in Cupertino, CA. Prior to Xangati, Jagan held several senior executive and technical positions at Reactive Network Solutions, Xerox PARC, Sun Microsystems and SRI International. Jagan has an unmatched track record in analyzing large volumes of information to identify patterns and establish norms and trends -- with precision detail, down to specific elements and through profiling analytics. Jagan has a Ph.D. in computer science from the University of Waterloo in Canada. His published works include a book and over 30 papers in journals and conference proceedings in the areas of distributed and parallel computing, dataflow and intrusion detection.",1269986873
y,yes,yes,yes,M,Chris ,Kemp,CIO,NASA Ames,"CIO, NASA Ames",,,Speaker 2010,yes,"Chris C. Kemp joined NASA Ames in 2006 as Director of Strategic Business Development and helped forge partnerships with Google and Microsoft. Since 2008, he has served as Chairman of NASA's Web Council and Chief Information Officer. As CIO of a NASA field center, he is responsible for most of the IT infrastructure at NASA Ames (networks, datacenters, systems, etc.), and several NASA-wide services, including the NASA Security Operations Center (SOC). Chris is also responsible for conceiving and establishing NASA's Cloud Computing Platform, Nebula. Prior to joining NASA, Chris helped create the third largest online community Classmates.com, the leading web-based vacation rental platform Escapia, and the first online grocery shopping platform for Kroger, the world's largest grocery store chain.","Form didnt work, sent via email"
y,yes,yes,yes,M,Yousef,Khalidi,Distinguished Engineer,Microsoft Corporation,"Distinguished Engineer, Microsoft Corporation",,,Speaker 2010,yes,"Yousef Khalidi is a Distinguished Engineer in the Windows Azure team. Windows Azure is a platform for developing, deploying, managing, and hosting cloud-based services. Yousef has led several areas of Windows Azure, and is currently responsible for the platform’s technical strategy. Before Windows Azure, Yousef led an advanced development team in Windows and served as a member of the Windows Core Architecture group. Before joining Microsoft, Yousef was a Distinguished Engineer at Sun Microsystems, where he was CTO and Chief Architect of Solaris, Chief Architect and Director of the Sun Cluster product line, Chief Architect of Sun's N1 utility computing initiative, and principal architect of Solaris MC and Spring operating systems. Yousef holds 30 patents and has a Ph.D. in Computer Science from Georgia Tech.",
y,yes,yes,yes,M,Harel,Kodesh ,"President, EMC Cloud Infrastructure Business ","EMC Corporation 
","President, Cloud Infrastructure Business, EMC Corporation 
",8,,Speaker 2010,yes,"Harel Kodesh is responsible for the growth and development of EMC's global cloud infrastructure products and solutions and for the expansion of the business's partner ecosystem. Kodesh is also the CEO of Decho, an EMC subsidiary focused on personal information management in the ""cloud."" Decho (short for ""digital echo"") helps individuals protect, manage, and enrich their ever-growing quantity of personal digital information. Kodesh previously served as Chief Product Officer at Amdocs, Inc., a leading provider of software and services to the communications industry. Prior to Amdocs, Kodesh held a variety of executive positions at Microsoft, where he founded the Windows CE operating system and led the development and marketing of this operating system and a wide range of products based on this technology.",1265330441
,yes,,yes,M,Gary ,Lauterbach ,CTO,SeaMicro,"CTO, SeaMicro",10,,Speaker 2010,,,
y,yes,yes,yes,M,Jeffrey,Layton,Enterprise Technologist for HPC,Dell,"Enterprise Technologist for HPC, Dell",,,Speaker 2010,yes,"Dr. Jeffrey Layton is the Enterprise Technologist for HPC within Dell. Dr. Layton's Ph.D. is from Purdue in Aeronautical and Astronautical Engineering. In his 25+ years experience with Supercomputing technologies, Dr. Layton has served in roles as a Professor, Engineer and Scientist at Boeing, Lockheed Martin, NASA, and Clarkson University, and has led technical efforts for High Performance Computing companies such as Linux Networx, Panasas, and Dell. In these roles he has been a cluster builder, a cluster user and code writer, a cluster administrator, as well as a systems engineer, manager, and benchmark engineer for HPC vendors. He is also an active contributor to multiple open source projects and actively contributes to technical publications both for magazines, books, and for websites.",
