Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description
yes,yes,mediatemple,Media Temple,,,showtime,http://www.mediatemple.net,
yes,yes,neustar,Neustar,,,showtime,http://www.neustar.biz/,
yes,yes,nvp,Norwest Venture Partners,,,showtime,http://www.nvp.com/,
yes,yes,oxygencloud,Oxygen Cloud,,,showtime,http://www.oxygencloud.com/,
yes,yes,pentaho,Pentaho,,,showtime,http://www.pentaho.com,
yes,yes,pervasive,Pervasive,,,showtime,http://www.pervasive.com/,
yes,yes,rightscale,RightScale,,,showtime,http://www.rightscale.com/,
yes,yes,scality,Scality,,,showtime,http://www.scality.com/,
yes,yes,sciencelogic,ScienceLogic,,,showtime,http://www.sciencelogic.com/,
yes,yes,stratascale,StrataScale,,,showtime,http://www.stratascale.com/,
yes,yes,svb,SVB,,,showtime,http://www.svb.com,
yes,yes,theplanet,The Planet,,,showtime,http://www.theplanet.com,
yes,yes,wso2,WSO2,,,showtime,http://wso2.com/,
yes,yes,xangati,Xangati,,,showtime,"http://www.xangati.com
",
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,
yes,yes,amd,AMD,1,,vip-reception,http://amd.com/,
