IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Twitter,P Facebook,P LinkedIn
y,y,y,y,m,Wenceslao ,Casares,CEO,Bling Nation,"CEO, Bling Nation",,,speaker,y,"Wenceslao Casares is an entrepreneur specializing in technology and finance. He founded Patagon. He also founded Wanako Games ( www.wanakogames.com), and Internet Argentina (www.interar.com.ar). Wenceslao was selected ""Global Leader of Tomorrow"" by the World Economic Forum in Davos ( www.weforum.org) and as Endeavor Entrepreneur by Endeavor (www.endeavor.org), an organization of which he later became a board member. As part of his nonbusiness activities, he founded the Fundación Síntesis ( www.fundacionsintesis.cl). Wenceslao studied business administration for three years at the Universidad de San Andrés, in Buenos Aires, and completed the Owner/President Management program at Harvard University.",,@blingnation,http://facebook.com/blingnation,http://www.linkedin.com/companies/bling-nation
y,y,y,y,m,Navin,Chaddha,Managing Director,Mayfield Fund,"Managing Director, Mayfield Fund",,,speaker,y,"Navin Chaddha is a proven serial entrepreneur and venture investor. He invests in the Enterprise, Telecom, Energytech, Internet and Semiconductor sectors in the U.S. and is the founder of Mayfield’s India Fund. He currently serves on the Board of Directors of Gigya, Pano Logic, SolarCity, StorSimple, Tejas Networks and Wide Orbit and is also involved with Mayfield investments in Consim, Lattice Power, Pulse, SeedFund, ShineOn and SMiT. Navin has made over 30 investments of which 11 have had IPOs and another 9 have been acquired. Some of his notable investments include Akamai, Qwest Communications, MakeMyTrip, and Rhythms Net Connections which had successful IPOs on NASDAQ, and IL&FS Investsmart, Persistent Systems, Provogue and Suzlon which had IPOs on Indian Stock Exchanges.",1268434461,,,
y,y,y,y,m,Derek,Collison,"CTO, Chief Architect, Cloud Division",VMware,"CTO, Chief Architect, Cloud Division, VMware",,,speaker,y,"Derek Collison is an industry veteran with over 20 years of experience, specializing in high performance distributed systems. With tenures at Google and TIBCO Software, he specializes in Distributed Systems Architecture, High Performance Messaging Systems, and Event-Driven Systems. His current focus is Cloud Foundry and the OpenPaaS at VMware Inc.",,@derekcollison,,http://www.linkedin.com/in/derekcollison
y,y,y,y,m,Michael ,Crandell,CEO,RightScale,"CEO, RightScale",8,,speaker,y,"Michael Crandell is the CEO and a founder of RightScale, where he provides the vision and direction for the company as it pioneers innovative ways to bring the power of cloud computing to any organization. Crandell is a frequent speaker at cloud computing industry conferences, and he has played a major role in helping establish and promote openness and transparency in the cloud market. Prior to RightScale, he served as CEO at several Internet Software-as-a-Service (SAAS) companies and as executive vice president at eFax.com. Crandell received his B.A. from Stanford University and completed graduate studies at Harvard University. ",,@michaelcrandell,,http://www.linkedin.com/in/michaelcrandell
y,y,y,y,m,Simon,Crosby,"CTO, Datacenter and Cloud Division",Citrix Systems,"CTO, Datacenter and Cloud Division, Citrix Systems",,,speaker,y,"Simon Crosby is the Chief Technology Officer of the Datacenter and Cloud Division at Citrix Systems. He was a founder and CTO of XenSource prior to the acquisition of XenSource by Citrix. Prior to XenSource, Simon was a principal engineer at Intel where he led strategic research in distributed autonomic computing, platform security and trust. Previously, he was the founder of CPlane Inc., a network optimization software vendor, where he held a variety of executive roles. Before joining the private sector, Simon was a tenured faculty member at the University of Cambridge, UK, where he led research on network performance and control, and multimedia operating systems. He is author of over 35 research papers and patents on a number of datacenter and networking topics including security, network and server virtualization, resource optimization and performance. In 2007, Simon was awarded a coveted spot as one of InfoWorld’s Top 25 CTOs.",,,,
y,y,y,y,f,Debra,Danielson,"SVP, Merger and Acquisition Strategy and Distinguished Engineer",CA Technologies,"SVP, Merger and Acquisition Strategy and Distinguished Engineer, CA Technologies",9,,speaker,y,"Debra Danielson is a Distinguished Engineer and is Senior Vice President, Merger and Acquisition Strategy at CA Technologies where she is responsible for identification of opportunities within fast moving and important new and existing markets, technologies and trends to achieve key strategic goals. Debra has held technical, strategic, operational and managerial roles over her 25+ year career, most recently as Senior Vice President, Center of Excellence, where she was responsible for common engineering services and site & skill strategy in support of the Development and Technology Group. Debra is one of only 25 Distinguished Engineers at CA Technologies and the first woman to achieve this honor.",,,,
y,y,y,y,m,Lorenzo ,De La Vega,"VP, Business Development, Application and Integration Middleware, Software Group ",IBM,"VP, Business Development, Application and Integration Middleware, Software Group, IBM",,,speaker,y,"Lorenzo is the Vice President, Business Development, Application and Integration Middleware, IBM Software Group where he is responsible for the strategic planning and execution of non-organic business activities including acquisitions, divestitures, software royalty agreements and business partner strategic relationships for IBM’s WebSphere brand. Lorenzo has served in executive roles in the Services, Systems and Software Groups of IBM, concentrating on mergers & acquisitions since 1992. Prior to joining IBM, Lorenzo held financial management positions at Storage Technology Corporation in Louisville, Colorado. Lorenzo received an MBA from the University of Colorado and a bachelor’s degree in Finance from Colorado State University.",,,,
,y,y,y,m,Satish ,Dharmaraj,Partner,Redpoint Ventures,"Partner, Redpoint Ventures",,,speaker,y,"Satish Dharmaraj is a Partner with Redpoint Ventures. Prior to Redpoint, Satish was the founder/CEO of Zimbra. At Zimbra, he grew sales from inception to $20M in subscription sales in the first year of selling and nearly doubled sales the next year. By the time it was sold, Zimbra was featured in the WSJ (Front Page), the NY Times, Forbes, Fortune and USA today. Prior to founding Zimbra, Satish was VP of the Messaging Products Division at Openwave Systems, responsible for the email, unified messaging, voicemail, and instant messaging product lines selling to large carriers and ISPs. Satish was at Sun Microsystems’ JavaSoft Division from 1995 through 1998 where he was responsible for the conception, design and implementation of Java Server Pages (JSPs). Satish has B.S. and M.S. degrees in Computer Sciences and an executive management degree from the Harvard Business School. Satish focuses on investments in the mobile, consumer and cloud computing areas. ",,,,
y,y,y,y,m,John	,Dillon,CEO,Engine Yard,"CEO, Engine Yard",8,,speaker,y,"John Dillon has thirty years of experience building successful technology companies. He began his career as a Systems Engineer for EDS (Electronic Data Systems) and then held a variety of sales management positions for high tech companies including Oracle Corporation. During the past 15 years, John has served as President and Chief Executive Officer for Hyperion Solutions (at the time, a public software company with $500 million in revenue) and then as CEO for Salesforce.com. Beginning in 2002, John served as CEO for Navis, LLC, a private company, specializing in software systems for operating large marine container terminals and distribution centers. In 2007, he sold Navis to Zebra Technology and in 2008 completed its transition to a subsidiary within Zebra. ",,,,
y,y,y,y,m,Barry,Evans,CEO,Calxeda,"CEO, Calxeda",,,speaker,y,"Barry Evans founded Calxeda in 2008 as its CEO, raised $48M in investments, and has already earned mention as one of the world’s most innovative companies by MIT. Mr. Evans is an 20 year veteran of the semiconductor industry. Prior to founding Calxeda, he was the VP and GM of Marvell’s Application Processing Business Unit, responsible for the Xscale processor (ARM-based) SoC product line, the world’s highest performance handheld processors with revenues exceeding $300 million. Prior to this, Mr. Evans served in GM and Director roles at Intel responsible for customer engagements and product strategies to address the wireless handheld and infrastructure markets. He holds a BSEE from the University of Texas at Austin and an MBA from Boston University.",,,,http://www.linkedin.com/in/barryevans
y,y,y,y,m,Andrew,Feldman,CEO,SeaMicro,"CEO, SeaMicro",,,speaker,y,"Prior to Co-founding SeaMicro, Andrew was an Entrepreneur in Residence at Crosslink Capital and US Venture Partners. Before that, he was VP of Marketing and Product Management at Force10 Networks, where he was responsible for marketing, product management, and business development. Prior to Force10, Andrew was VP of Corporate Marketing and Corporate Development for Riverstone Networks (Acquired by Alcatel) from inception through IPO. Prior to Riverstone, Andrew served as Senior Director for Worldwide Product Marketing and Product Management at Cabletron Systems. Andrew joined Cabletron through its acquisition of YAGO Systems where he wrote the business plan and then as Senior Director of Marketing and Business Development, led marketing and strategic alliances. Andrew holds an M.B.A. and B.A. from Stanford University.",,,,http://www.linkedin.com/in/andrewdfeldman
y,y,y,y,m,Frank,Frankovsky,"Director, Hardware Design and Supply Chain",Facebook,"Director, Hardware Design and Supply Chain, Facebook",,,speaker,y,"Frank is responsible for Technical Operations at Facebook as the Director of Hardware Design and Supply Chain. He is responsible for Hardware Engineering, Technical Program Management, Capacity Engineering & Analysis, Facebook Labs and Supply Chain Operations teams. Prior to joining Facebook, Frank spent 14 years with Dell where he was an integral part of building Dell’s PowerEdge server business. He also co-founded Dell’s Data Center Solutions business and also participated in product management, technical consulting and technical operations. He launched the industry’s first rack mounted x86 servers for Compaq prior to Dell. Frank holds a BA in Marketing from Stephen F. Austin State University in Nacogdoches, TX.",,,,
y,y,y,y,m,George,Gilbert,Principal,TechAlpha,"Principal, TechAlpha",,,speaker,y,"George is Principal and co-founder of TechAlpha, a consultancy focused on the evolution of traditional enterprise software to data-centric applications on hybrid clouds. TechAlpha includes financial, business model, and product strategy perspectives in its approach. Previously, George was lead equity research analyst for enterprise software at Credit Suisse. George started his career at Lotus Development (when it was still bigger than Microsoft!). There he was the second product manager on Lotus Notes.",x,@ggilbert41,http://www.facebook.com/George.J.Gilbert,http://www.linkedin.com/pub/george-gilbert/2/550/466
y,y,y,y,m,Michael ,Goguen,Partner,Sequoia Capital ,"Partner, Sequoia Capital ",,,speaker,y," Michael works with energy, internet and technology companies. Prior to joining Sequoia Capital in 1996, Michael spent 10 years in various engineering, research, and product management roles at DEC, SynOptics and Centillion, and was a director of Engineering at Bay Networks (NT). Michael was also a Technical Chairman of the ATM Forum. Michael has a BS in Electrical Engineering from Cornell University and an MS in Electrical Engineering from Stanford University.",,,,http://www.linkedin.com/pub/mike-goguen/0/14/233
y,y,y,y,m,Nolan,Goldberg,"Senior Counsel, IP and Technology",Proskauer LLP,"Senior Counsel, IP and Technology, Proskauer LLP",,,speaker,y,"Nolan M. Goldberg is Senior Counsel, Intellectual Property and Technology in Proskauer's Litigation & Dispute Resolution Department and a member of the Patent Law Group, resident in the New York office. As an intellectual property litigator, his practice focuses on patent and trade secret litigation and counseling. As a founding member of the Litigation Department's Electronic Discovery Task Force, Mr. Goldberg is often called upon to develop e-discovery strategies to be used in all types of litigations, with a particular focus on managing the overall burden and cost of the electronic discovery process and obtaining often overlooked electronic evidence, including computer forensics. Mr. Goldberg's complete professional bio can be found at http://www.proskauer.com/professionals/nolan-goldberg/",,,,http://www.linkedin.com/profile/view?id=2707463&trk=tab_pro
y,y,y,y,m,Bernard,Golden,CEO,HyperStratus,"CEO, HyperStratus",,,speaker,y,"Bernard Golden has been called a “cloud guru.” He is the CEO of HyperStratus, a Silicon Valley cloud computing consultancy which works with clients in the US and throughout the world. The firm's clients include Korea Telecom, Sensato Capital, and the Silicon Valley Education Foundation. HyperStratus provides cloud computing services in the areas of application security, system architecture and design, TCO analysis, and project implementation. Bernard is the Cloud Advisor for CIO Magazine. His blog has been called “brilliant and incisive” and is read by tens of thousands of people each month. His blog was named “Top 50 Cloud Computing Blog” by Sys-Con Media. Bernard's writings have also been published by the New York Times and the Harvard Business Review.",,@bernardgolden,,http://www.linkedin.com/profile/view?id=970946&locale=en_US&trk=tab_pro
y,y,y,y,m,Derrick,Harris,Structure Editor and Staff Writer,GigaOM,"Structure Editor and Staff Writer, GigaOM",,,speaker,y,"Derrick Harris has been covering the distributed computing space since 2003, when he began reporting on grid computing for a publication called GRIDtoday (later renamed On-Demand Enterprise). Derrick joined GigaOM as a contributing writer in 2009 and was one of the original curators for GigaOM Pro, where he continues to serve as a Senior Curator and analyst. Derrick holds a juris doctor degree, cum laude, from the William S. Boyd School of Law at the University of Nevada, Las Vegas.",,,,
y,y,y,y,m,Jonathan,Heiliger,"VP, Technical Operations",Facebook,"VP, Technical Operations, Facebook",4,,speaker,y,"Jonathan Heiliger is the Vice President of Technical Operations at Facebook, where he oversees global infrastructure and internal technology systems. Prior to Facebook, he was a technology advisor to several early-stage companies in connection with Index Ventures and Sequoia Capital. He formerly led the engineering team at Walmart.com, where he was responsible for infrastructure and building scalable systems. Jonathan also spent several years at Loudcloud (which became Opsware and was later acquired by HP) as the Chief Operating Officer. Earlier in his career, Jonathan was the CTO of Frontier GlobalCenter, and later founded Global Crossing's corporate venture capital group.",,,www.facebook.com/jh,www.linkedin.com/in/jheiliger
y,y,y,y,m,Phil,Hendrix,Founder and Director,immr,"Founder and Director, immr ",,,speaker,y,"Dr. Phil Hendrix is the director of immr (www.immr.org), a research and consulting firm he founded to help clients bring innovative new products and services to market.  Phil works with clients to uncover customer needs, optimize product/service features, achieve competitive differentiation and accelerate market acceptance.  He is also an analyst in GigaOm's analyst network, focusing on mobile and location-based services, in particular. Before founding immr, Phil was a partner with DiamondCluster and a principal with Mercer Management Consulting (now Oliver Wyman).  Previously, he was a professor at Emory University and the University of Michigan, where he taught courses in research, buyer behavior and marketing strategy.  Phil received his PhD in Marketing from the Graduate School of Business, University of Michigan.",1273609845,,,
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Stacey Higginbotham is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last ten years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas.",,,,
y,y,y,y,m,Dave,Hitz,Founder and EVP,NetApp,"Founder and EVP, NetApp",5,,speaker,y,"As executive vice president, David Hitz is responsible for the future strategy and direction of NetApp. Dave Hitz and James Lau founded NetApp in 1992 with a desire to simplify storage the way Cisco simplified networking. Dave and James believed that general-purpose computing systems were too complex, so they built dedicated devices called appliances. These appliances were designed to handle one thing well: storage. Dave holds a bachelor's degree in computer science and electrical engineering from Princeton University.",x,@davehitz,,http://www.linkedin.com/pub/dave-hitz/7/3aa/a83
y,y,y,y,m,Jason,Hoffman,Founder and Chief Scientist,Joyent,"Founder and Chief Scientist, Joyent",6,,speaker,y,"Jason is the Founder and Chief Scientist at Joyent, and served as its CTO for the company’s first 6 years. Jason’s group is responsible for research and advanced development, technical outreach, evangelism, consultative efforts for partners and business units, and manages Joyent’s intellectual property portfolio including involvement in open source projects, licensing, technology transfer, assessments of potential partnerships, mergers and acquisitions. He was once referred to as a “Renaissance engineer” by ZFS creator Jeff Bonwick, and has always used “computers” to solve real problems. Jason has a BS and MS from UCLA and a PhD from the Burnham Institute and UCSD School of Medicine.",,@jasonh,,http://www.linkedin.com/in/jasonhoffman
y,y,y,y,m,Matthew,Howard,General Partner,Norwest Venture Partners,"General Partner, Norwest Venture Partners",,,speaker,y,"Matt has 20+ years of experience in marketing, product management, engineering, business development, and sales across diverse technologies. He has appeared on the Forbes Midas List as a top 100 investor for three years and holds three patents in mobility and cyber security. Matt focuses on communication and storage systems, cloud, mobile/wireless, security and rich media. He serves on the boards of Avere Systems, Blue Jeans Network, ConteXtream, MobileIron, Retrevo and Summit Microelectronics. Previously, Matt was on the board of Airespace (acquired by Cisco), Omneon (acquired by Harmonic), Reconnex (acquired by McAfee), Skystream Networks (acquired by Tandberg), SpectraLinear (acquired by Silicon Laboratories), Spinnaker Networks (acquired by Network Appliance), Swan Labs (acquired by F5 Networks) and Webstacks (acquired by Extreme Networks). ",,,,
y,y,y,y,m,Luke,"Kanies
",CEO,Puppet Labs,"Founder and CEO, Puppet Labs",,,speaker,y,"Luke is the founder and CEO of Puppet Labs and the founder of the Puppet project. He helped kickstart the devops movement by preaching Infrastructure as Code, and he believes that computers should be used, not managed.",,@puppetmasterd,http://www.facebook.com/luke.kanies,http://www.linkedin.com/in/lukekanies
y,y,y,y,m,John	,Keagy,CEO and Founder,GoGrid,"CEO and Founder, GoGrid",,,speaker,y,"John Keagy is CEO and Founder of GoGrid, a Global Leader in Cloud & Hybrid Infrastructure hosting. Keagy is an Internet infrastructure pioneer, having built and sold several successful Internet service providers since 1991. Keagy drove the early growth of the dedicated server hosting market by introducing multiple firsts, including multiprocessor servers and hosted load balanced server networks. John Keagy's entrepreneurial skills and strategic vision have led GoGrid's rapid growth. The company was twice positioned as a “Visionary” in the Cloud Infrastructure as a Service and Web Hosting Magic Quadrant as well as named to Deloitte's Technology Fast 500 in recognition of its growth (#11 in Silicon Valley and #77 in North America) in previous years.",,,,
y,y,y,y,m,Rich,Lechner,"VP, Cloud and Services Marketing",IBM,"VP, Cloud and Services Marketing, IBM",,,speaker,y,"Rich Lechner is vice president, IBM cloud and services marketing. He has broad experience across the software, systems and services business including key leadership roles in virtualization, Internet technology, Green innovation, and enterprise systems. He is responsible for defining IBM's cloud strategies and portfolio of services leveraging IBM’s deep process expertise, global delivery, industry leading software capabilities, and research innovations in areas like security and analytics-based optimization. In this role, his organization works closely with clients to apply the transformative power of cloud to reinvent the way they do business.",,,,
y,,,,m,Lars,Leckie,Partner,Hummer Winblad Venture Partners,"Partner, Hummer Winblad Venture Partners",,,speaker,,"Lars is a Partner at Hummer Winblad and has played a key role in the firm’s investments in Aria Systems (SaaS billing and customer management), vKernel (Virtualization Infrastructure), Karmasphere (Big Data Analtyics) and NimbusDB (Scalable SQL database). Prior to joining Hummer Winblad Venture Partners in 2006, Lars was involved in founding and operational roles at start-up companies. He was a co-founder of AutoFarm (now Novariant), a company focused on GPS and robotics. Lars has a Masters of Science (Engineering) from Stanford University and an M.B.A. from the Stanford Graduate School of business. He also holds an Engineering Physics degree from Queen’s University (with Honors). Lars currently sits on the board of Pancetera Software and Strobe.",,@larsleckie,http://www.facebook.com/larsleckie,http://www.linkedin.com/in/larsleckie
y,y,y,y,m,John	,Lee,"Director, Entrepreneur Services Group",Silicon Valley Bank,"Director, Entrepreneur Services Group, Silicon Valley Bank",,,speaker,y,"John Lee is a director in SVB's Entrepreneur Services Group. Lee establishes banking relationships with early stage technology companies. Lee also assists early and mid-stage technology companies with raising capital through review and feedback on investment materials and targeted introductions to venture capital firms and other investors. In addition, Lee provides relevant market insights and connections to strategic partners. Lee focuses on the enterprise and infrastructure software and hardware sectors, including cloud computing and SaaS, data management and storage, security, semiconductors, mobile and consumer electronic devices, data centers and broadband networks. Lee holds a bachelor's degree in economics from Stanford University and is a Chartered Financial Analyst.",,,,http://www.linkedin.com/in/johncjlee
y,y,y,y,m,Ping,Li,Partner,Accel Partners,"Partner, Accel Partners",8,,speaker,y,"Ping has been a partner since 2004. He focuses primarily on software and digital media investments. He currently is a Board Member of BitTorrent, Cloudera, Lookout, Mu Dynamics, Nimbula, Raptr, ScaleXtreme, and YuMe. Ping was also responsible for several Accel investments which have had successful exits including Ludic Labs (Groupon), Mochi Media (Shanda) and Reactivity (Cisco). Prior to Accel, Ping worked at Juniper Networks as a Senior Product Line Manager and Director of Corporate Development. He also worked at Goldman Sachs and McKinsey & Company, advising technology clients in their growth strategies.",,@ping_accel,http://www.facebook.com/Accel,
y,y,y,y,f,Teresa,Lunt,VP and Director of the Computing Science Laboratory,"PARC, a Xerox company","VP and Director of the Computing Science Laboratory, PARC, a Xerox company",8,,speaker,y,"Teresa Lunt is Vice President and Director of Computing Science Laboratory at PARC, a Xerox company. She directs a wide range of research, including content-centric networking; ubiquitous computing; embedded sensor networks and ad hoc networking; security and privacy; and ethnography. Under Lunt, the laboratory has engaged in multiple strategic research and co-development relationships. Lunt is a Principal Scientist at PARC. Before PARC, she was Assistant Director and Program Manager in DARPA's Information Technology Office, where she launched programs to fund computer and network security research. Lunt previously led teams to develop the first intrusion detection system and secure database system at SRI International. Lunt received an M.A. in Applied Mathematics from Indiana University and an A.B. in Geophysics from Princeton.",,@parcinc,,
y,y,y,y,m,Avery,Lyford,Chairman Elect,Churchill Club,"Chairman Elect, Churchill Club",,,speaker,y,"Avery was the CEO of several venture backed software companies in open source, virtualization, and cloud computing (Linuxcare & Digisense).  Currently he is working with Dave Thomson (author of ""Blueprint to a Billion"") to consult and invest in high growth companies.  He was Chairman of a social networking company (Angstro) acquired by Google and VP of Business Development for a cloud platform-as-a-service company (Makara) acquired by Red Hat.  He is Chairman-elect of the Churchill Club. He was the first business builder hired into McKinsey's business building practice.  At IBM he was on the founding team of IBM x86 server business and was responsible for product management from inception to over $1B in revenue.",,@averylyford,,http://www.linkedin.com/profile/view?id=217112&trk=tab_pro
y,y,y,y,m,Dante ,Malagrino,CEO,Embrane,"CEO, Embrane",,,speaker,y,"Born and raised in Italy, Dante is the co-founder and CEO of Embrane, where he leads and inspires the team to turn the company’s vision into execution, drives the values and the culture that define the company, and sometimes stocks the break-room.  His professional life before that is pretty simple: a little over 10 years at Cisco.  He was part of one of the most successful teams at Cisco, building the Catalyst 6500 family of switches. He later became part of the founding team of Andiamo, a spin-off that Cisco created to enter and disrupt the storage networking market.  More recently, he led the worldwide marketing campaign for Cisco’s Data Center 3.0 strategy.  While at Cisco he wore several hats: engineer, product manager, marketing manager and sales manager.  He even spent three years in Europe, evangelizing Cisco’s Data Center story to the market.  When he is not thinking about how to power the agile network, Dante enjoys traveling, scuba diving, and cooking homemade pizza from scratch.",,@dantemalagrino,http://www.facebook.com/embrane,http://www.linkedin.com/in/dantemalagrino
