Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
,,Intel Workshop - Room 1,Building Clouds: Real World Lessons from Intel Cloud Builder program and IT@Intel,"Intel Cloud Builders is helping enterprises and service providers build more simplified, secure, and efficient cloud infrastructures. Additionally, Intel’s own IT department - with about 75,000 servers worldwide – is transforming its enterprise environment from a traditional infrastructure to a cloud-based service. Learn real-world lessons from the Intel Cloud Builders program and Intel IT that you can apply to your cloud deployments.",,,,Billy Cox,"Director, Cloud Software Strategy",Intel
,,,,,,,,Das Kamhout  ,Cloud Computing Engineering Lead,Intel IT
,,Zeus Workshop - Room 2,How AlertBoot Uses Autoscaling to Meet Peak Holiday Demands,"Learn how to manage high volumes of traffic with Autoscaling, enabling your web applications to cope better in the Cloud.  Listen to the AlertBoot story, and hear how they experienced the best utilization of their infrastructure budget to handle their peak loads during the holiday season utilizing Zeus solutions. ",,,,Tim Maliyil,CEO,AlertBoot
,,,,,,,,Kosten Metreweli,Chief Strategy Officer,Zeus Technology
,,IBM Workshop - Room 3,Partner with IBM to win in the Cloud ,The cloud market opportunity is growing presenting new business opportunities for partners. IBM offers a complete cloud computing ecosystem for business partners of all types. Join for a view of how IBM can help you equip yourself to more fully participate in cloud opportunities and win in the cloud. ,,,,Amy Anderson,Cloud Computing Business Partner Programs Manager,IBM
,,NetApp Workshop - Room 4,Making Cloud Real in Healthcare,"In the healthcare industry, hospitals, physicians, patients and insurance companies must be able to easily communicate and exchange data.  There is a huge opportunity to operate more efficiently through a common secure infrastructure that allows for a quick exchange of data and safe retention of records.  Join NetApp and Allscripts as we explore the steps of building a cloud infrastructure and how this infrastructure creates a connected community of health through one network, one platform, and one patient experience. ",,,,Ahmed Loukili,VP SaaS Operation,Allscripts
,,,,,,,,Kingman Tang,"Senior Manager, Cloud Solutions",NetApp
,10:30 AM,The Future of The Cloud Panel,,"Recently, GigaOM Pro, The 451 Group, and Northbridge Venture Partners conducted an industry survey to map the future of enterprise cloud computing.  The results of the survey will be revealed for the first time in this panel, and we will hold a lively discussion among the stakeholders in key industry sectors about the implications of these results.  ",Michael Skok,General Partner,North Bridge Venture Partners,Dries Buytaert ,Co-Founder and CTO ,Acquia
,,,,,,,,John Dillon,CEO,Engine Yard
,,,,,,,,Marten Mickos,CEO,Eucalyptus Systems
,,,,,,,,Lew Moorman ,"Chief Strategy Officer and President of the Rackspace Cloud
",Rackspace
,11:10 AM,Microsoft and the Cloud: What’s Next?,,"Satya Nadella runs the $15 billion infrastructure business unit at Microsoft which encompasses the server business lines and the Azure platform. Microsoft remains a leading giant in the enterprise software space and is a leader in both public and private cloud computing, and its existing customer channels will be influential in shaping the course of how this trend will be realized. We will talk to Satya about his view of cloud computing and the direction that he sees Microsoft charting.",Eric Savitz,San Francisco Bureau Chief,Forbes,Satya Nadella,"President, Server and Tools Business",Microsoft
,11:30 AM,Latin America: The New Market in The Backyard?,,"Last year, Brazil experienced its fastest economic growth in almost two decades. Gross domestic product expansion was double what economists had expected the country to reach. As it's economy booms, it's demand is outstripping local supply of technical talent and infrastructure. Does Brazil represent a new market and potentially a new partner for American Cloud Services companies? Or will China and India rise to the occasion? ",Michael Wolf,VP Research,GigaOM Pro,Wenceslao Casares,CEO,Bling Nation
,,,,,,,,Rich Lechner,"VP, Cloud and Services Marketing",IBM
,11:50 AM,Shaping The Cloud,,"What further technology leadership will VMware show in shaping the cloud computing industry? VMware defined the category for virtualization and subsequently helped make the term ubiquitous. Formerly at Microsoft, Paul Maritz led the entire software product lines across the board and in no small part created the giant that is MSFT. Now as CEO of VMware, what challenges will Paul Maritz face as VMware shapes the Cloud industry?",Om Malik,Founder,GigaOM,Paul Maritz,CEO,VMware
,12:10 PM,The Economics of Open Everything,,"The power of open-source software can’t be denied. At its best, it has democratized innovation and is a stub for other subsequent innovations. Think Apache and the web. But where is the money in it? Does there have to be a profit motive? We talk to two exponents of recent projects -- Open Stack and Cloud Foundry -- both of which are open and have the promise to shake up the cloud industry.",Lew Moorman ,"Chief Strategy Officer and President of the Rackspace Cloud
",Rackspace,Derek Collison,"CTO, Chief Archictect, Cloud Division",VMware
,,,,,,,,Frank Frankovsky,"Director, Hardware Design and Supply Chain",Facebook
,,,,,,,,Forrest Norrod,"VP and GM, Server Platforms",Dell
,12:30 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,
,,Rackspace Workshop - Room 1,"Translating Technology, Top 5 Tips for Selling ""Geek"" to ""Non-Geek""","In the past year, there has been an explosion in the number of geeky applications, including an array of cloud offerings.  As companies make an effort to adopt cloud computing into their IT infrastructure, just how do you sell these technologies to the “geek” (those that really get it) and the “non-geek” (those that understand the concept but don’t have the time to get into the nitty gritty technical details).  Avowed geek Alex Polvi and avowed non-geek Ben Kepes of Diversity Unlimited will battle it out to show how both “geeks”and “non-geeks” are using the cloud, and ways cloud companies can communicate to a broad landscape to better sell their products.  ",,,,Ben Kepes,"Cloud Computing Analyst, Diversity LTD and Rackspace CloudU Curator",Rackspace Hosting
,,,,,,,,Ryan Walker,Systems Admin,Rackspace Hosting
,,Tilera Corporation Workshop - Room 2,Tilera + Couchbase: Get Your Cake and Eat It Too,The NoSQL and Memcached markets are exploding with tens of thousands of deployments. Customers are starting to feel the “heat” in both power and infrastructure costs. Tilera and Couchbase provide a turnkey solution to cut your Memcached and NoSQL cost by half. Ihab Bishara of Tilera and Steve Mih of Couchbase will show how you can run one of the most feature-packed NoSQL software packages and still cut your cost by as much as 50% by using Tilera- based servers that are 5x more power efficient than x86 servers.,,,,Ihab Bishara,Director of Server Solutions,Tilera Corporation
,,,,,,,,Steven Mih,VP Business Development,Couchbase
,,Microsoft Workshop - Room 3,Public Cloud: Delivering on the Promised Benefits,"Public cloud promises great benefits to companies who make it part of their IT strategy. Join us for an interactive session to learn more about Microsoft’s Windows Azure Platform and the benefits it delivers.
",,,,Piyush Lumba,"Director Product Planning, SQL Azure and Middleware ",Microsoft
,,,,,,,,Sudhir Hasbe ,"Sr. Product Manager, SQL Azure and Middleware ",Microsoft
,,HP Workshop - Room 4,Cloud Computing:  The Future is Hybrid,"Cloud computing is a growing platform where everything and everyone is connected. In this session, we'll cover HP's Hybrid Delivery Cloud strategy and its implications for the enterprise vs. implementing a private cloud. Attendees will learn about underlying trends for cloud computing, and how HP solutions can help put them on the right path to choose their best delivery model.",,,,Patrick Harr,"Worldwide VP, Cloud Computing ",HP
,1:30 PM,Enabling Ubiquitous Access with Content-Centric Networking,,"The world has changed since networking was invented. Networks are no longer about simply getting messages from point A to B --  now, it's all about multimedia, collaboration, and sharing. Given the ubiquity of devices, networks, and content everywhere, an industry of patchwork services and workarounds has evolved to support these realities. In this talk, Teresa Lunt will discuss content-centric networking, a new approach to networking being developed at PARC and around the world that addresses these and other problems. Content-centric networking simplifies how applications consume content, and enables applications and services to be designed so that more content can be delivered at far less cost. Because it's not ubiquitous if people can't easily get what they need when they need it.",,,,Teresa Lunt,VP and Director of the Computing Science Laboratory ,"PARC, a Xerox company"
,1:50 PM,Clouds to Customers: Making the Connection,,"As cloud users become more mobile, the need for higher bandwidth everywhere will be crucial. With the increased demand for the cloud, the need for reduced latency and high-capacity interconnects will also increase. There are a few companies who have the knowledge and resources to deliver both. Could the cloud represent AT&T’s next great opportunity?",Om Malik,Founder,GigaOM,John Stankey,President and CEO,AT&T Business Solutions
,2:15 PM,Guru Panel - What Can the Enterprise Learn from Webscale?,,Those who are at the bleeding edge of practice today will define everyday operations for the rest of us tomorrow. We assemble a panel of some of the top innovators -- and biggest infrastructure customers -- in the web world to talk about their experiences pushing the boundaries of cloud computing. ,Jonathan Heiliger,"VP, Technical Operations",Facebook,Sid Anand,Software Architect,Netflix
,,,,,,,,Claus Moldt ,Global CIO and SVP Service Delivery,salesforce.com
,,,,,,,,Jacob Rosenberg,Architect,Comcast
,,,,,,,,Kevin Scott,VP of Engineering,LinkedIn
,2:55 PM,"Networks for Clouds, App Stores and Operating Systems",,"Arista, founded by Andy Bechtolsheim and Jayshree Ullal, has been instrumental in turning data centers into clouds with its high-speed hubs. This year, Arista announced its new cloud network operating system, EOS, together with its app store model, which will enable a third-party ecosystem. We chat with Jayshree Ullal about the impacts these will have on the industry at a time when we’re seeing lots of new technology innovation in the network space.",Stacey Higginbotham,Senior Writer,GigaOM,Jayshree Ullal,President and CEO,Arista Networks
,3:15 PM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,
,,Cisco Workshop - Room 1,"Cisco and the Cloud: Within, Across and Beyond the Data Center ","Cisco's approach to the cloud opportunity includes helping to build out the data centers powering the cloud as well as applying capabilities in the network to enable intelligent connectivity within and beyond the data center. Join us to explore how to enable distinctive functionality across a secure, trusted, and ubiquitous platform.",,,,Simon Aspinall,"Senior Director, Service Provider Marketing Data Center and Mobility
",Cisco
,,DataDirect Networks Workshop - Room 2,The Hyperscale Horizon: Introducing NoFS Information Infrastructure,"Echoing the progress made by the NoSQL movement, new tools are finally available to scale past file system limitations.  DDN's introduction of NoFS web storage infrastructure breaks through the highest scalability and efficiency barriers to serve as the storage foundation from today's Big Data era to our Hyperscale future.",,,,Philippe Ciampossin,CTO of Software and VP of R&D,DataDirect Networks 
,,Abiquo Workshop -  Room 3,Addressing the Challenges of Enterprise Clouds,"This informative panel of industry experts looks at many aspects of Enterprise clouds.  With the recent outage of Amazon, it’s making many businesses reevaluate their cloud strategy.  What are some of the top concerns inside an enterprise and how are IT professionals addressing those concerns.  As the pressures increase to respond to ever growing business needs, how is enterprise IT addressing that today and what will that look like in the future. ",Jo Maitland,Senior Editor,SearchCloudComputing.com,Val Bercovici,"Sr. Director, Office of the CTO",NetApp
,,,,,,,,Pete Malcolm,CEO,Abiquo
,,,,,,,,Chris Weitz,Director,Deloitte Consulting
,,AMD Workshop - Room 4,"Big Cores, Little Cores –What is Best for the Cloud? ","Cloud Computing is not  ""one size fits all"" and the processor you choose can make a difference. We will take a look at performance, power, and workload requirements of cloud environments and discuss how these affect the computing platform decision. ",,,,John Fritz,Director Developer Relations,AMD
,3:55 PM,The VC Panel: Cloudy Bubble?,,"Is there a bubble? The Valley’s finest are giddy with their investments into the cloud space. But we ask, will it last? Meet some of the Valley’s leading venture capitalists, and find out where they’re investing their money and on what areas of technology entrepreneurs should focus.",Avery Lyford,Chairman Elect,Churchill Club,Michael Goguen,Partner,Sequoia Capital 
,,,,,,,,Satish Dharmaraj,Partner,Redpoint Ventures
,,,,,,,,Ping Li,Partner,Accel Partners
,,,,,,,,John Vrionis,Managing Director ,Lightspeed Venture Partners
,4:35 PM,The CIO’s Finest Hour,,"The IT department has to learn to keep pace with a new business organization moving at “Cloud Speed.” Requirements and technologies change at such a fast pace they are almost fluid. This chat will address the challenges of having a legacy, siloed infrastructure and what the C-Level decision maker presently has to face when making purchasing decisions.",Derrick Harris,Structure Editor and Staff Writer,GigaOM,Dave Hitz,Founder and EVP,NetApp
,4:55 PM,LaunchPad,,"Meet GigaOM’s picks for the companies that have the ""right stuff"" to succeed in the cloud computing marketplace.  ",Javier Soltero ,"CTO, SaaS and Application Services",VMware,Navin Chaddha,Managing Director,Mayfield Fund
,,,,,,,,Matthew Howard,General Partner,Norwest Venture Partners
,,,,,,,,John Lee,"Director, Entrepreneur Services Group",Silicon Valley Bank
,,,,,,,,Luis Robles,Partner,Sequoia Capital 
,5:55 PM,CLOSING REMARKS,,,,,,,,
,6:00 PM,E*TRADE COCKTAIL RECEPTION,,,,,,,,
6/23/2011,,,,,,,,,,
,8:00 AM,REGISTRATION & BREAKFAST,,,,,,,,
,9:00 AM,OPENING REMARKS,,,,,,,,
,9:05 AM,Cloud Storage: Moving Beyond Backup?,,"For a few years, cloud-based storage has been a ideal solution for backing up enterprise data, but a new breed of startups is trying to convince businesses to move their primary data into the cloud. This panel will examine whether the cloud can meet the performance, the security and cost requirements that businesses place on primary storage systems and what it will take to make the cloud an appealing option.",Vanessa Alvarez,Analyst,Forrester Research,Val Bercovici,"Sr. Director, Office of the CTO",NetApp
,,,,,,,,Dheeraj Pandey,CEO,Nutanix
,,,,,,,,Andres Rodriguez,Founder and CEO,Nasuni
,,,,,,,,Dave Wright,CEO,SolidFire
,9:45 AM,The Telcos Are A-comin’,,"Some telling acquisitions will define 2011. Savvis and Terremark were bought by telcos, which are positioned with assets and operating structures that enable them to potentially do one thing very well: deliver computing as a utility service. We talk with Bob Toohey, the man at Verizon leading the division that will supply cloud services to its large body of enterprise customers. How high is Verizon aiming?",Stacey Higginbotham,Senior Writer,GigaOM,Bob Toohey,President,Verizon Business
,10:05 AM,The Next Frontier: Cloud Databases,,"One of the biggest challenges that remain is managing data in the cloud. While the need for database scalability, reliability and performance has always been an issue in computing, the cloud introduces new challenges such as elasticity, geographic distribution and multi-tenancy. It has become a breeding ground for a wave of new solutions, including database-as-a-service offerings. In this session, we will engage in a discussion with some of these cutting-edge companies.  We’ll define what is a ""true"" cloud database is and explore the unique challenges of managing data in a cloud environment.
",Geva Perry,"Cloud Strategy and Marketing Advisor, Blogger",Thinking Out Cloud,Mike Miller,Founder and Chief Scientist,Cloudant
,,,,,,,,Razi Sharir,CEO,Xeround
,,,,,,,,Jim Starkey,CTO,NimbusDB
,,,,,,,,Barry Zane,CTO,ParAccel
,10:45 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,
,,Mohr Davidow Workshop - Room 1,The Promise of the Cloud: Getting Down to Dollars and (Common) Sense,The promise of the cloud has created enormous excitement and fear within the enterprise. What use cases provide the right mix of high economic impact and low risk to enterprise customers as they build up the expertise to manage cloud based applications and infrastructure?,Jim Smith,General Partner,Mohr Davidow,Jon Beck,"SVP, WW Alliances and Channels",Opsource
,,,,,,,,Ajit Gupta,CEO,Aryaka
,,,,,,,,Gaurav Manglik,CEO,Osmosix
,,CA Technologies - Room 2,"Cloud Mavericks: Going Out on a Limb, Without Falling Out of the Tree","A good majority of cloud usage is driven by individual mavericks, leaving the company exposed to unnecessary risks and expenses. IT organizations can choose to help the business (and mavericks) navigate through the options. How can you empower cloud trail-blazers, while protecting the company, from the impact of risky decisions? ",Ravi Rajagopal,"VP, Cloud Strategy",CA Technologies,Jim Prebil,Principal,Fujitsu Business Consulting Services
,,,,,,,,Dr. Raman Kannan,"Former CTO, Rosenblatt Securities and VP, Citigroup",Cloud Pioneer on Wall Street
,,Terremark Workshop - Room 3,Evaluating Enterprise Clouds,"Go beyond the marketing hype, the brands and the buzzwords, and learn how differences in architecture, infrastructure, security and design can have significant impact on your ability to take advantage of the cost-effectiveness and agility of infrastructure-as-a-service without compromise to availability, performance and compliance. Also, hear examples of how leading enterprises and government agencies are taking advantage of the power and flexibility offered by enterprise cloud computing architecture.",,,,Bill Lowry,VP of Cloud Services,Terremark
,,Red Hat Workshop - Room 4,Rethinking Application Delivery Models,"IT is ultimately about running applications and delivering them to users. The cloud doesn't change that. You still need Application Lifecycle Management--the ongoing updating, control, and governance of applications from the date they're developed to the date they're retired.  However, cloud computing introduces a new dynamic to application lifecycle management that has enterprises rethinking application delivery models.  Are you ready for the cloud? ",,,,Bryan Che,"Senior Director, Product Management",Red Hat
,11:25 AM,Is Data Privacy a Make-or-Break Issue for Cloud Computing?,,Concerns ranging from consumer privacy to whether cloud-based data is entitled to Fourth Amendment protection have made data privacy one of the foremost legal issues facing cloud computing. This fireside chat will feature legal experts from both the cloud-provider and legal perspectives. We’ll explore what it will take to make all cloud stakeholders confident that their privacy needs are being met.,Derrick Harris,Structure Editor and Staff Writer,GigaOM,Nolan Goldberg,"Senior Counsel, IP and Technology",Proskauer LLP
,,,,,,,,Michelle Quinn,Silicon Valley Correspondent,POLITICO Pro
,11:45 AM,The Promise of PaaS,,"PaaS has held out a lot of promise for a few years now:  Write once, run forever.  Radically accelerate the entire application lifecycle. Easily create applications based on new architectures.  Traditionally, these benefits came from tightly integrated platforms but with the trade-off of limited choice in developer frameworks, application services, and IaaS providers. This panel will examine the different approaches between ""integrated innovation"" and ""modular innovation"" for the industry at large.",George Gilbert ,Principal,TechAlpha,Derek Collison,"CTO, Chief Archictect, Cloud Division",VMware
,,,,,,,,Michael Crandell,CEO,RightScale
,,,,,,,,Issac Roth,PaaS Master,Red Hat
,,,,,,,,Sebastian Stadil,Co-Founder,SCALR
,12:20 PM,DevOps - Reinventing the Developers Role in the Cloud Age,,"The old way: Development teams created code and then handed off to the infrastructure group who would put the code on the machines and deploy them. The new way: In the age of the cloud, programmers can deploy code and scale infrastructure in four minutes with fixes that can take place on the fly. Overall efficiency...vastly improved. For DevOps to be a ubiquitous process enterprise-wide, some hurdles, such as policy or training, still have to be scaled. In this talk with two leading proponents, we talk about what still needs to be done and what benefits businesses will derive from embracing the DevOps way.",James Urquhart,"Senior Market Strategist, Cloud Computing",Cisco,"Luke Kanies
",CEO,Puppet Labs
,,,,,,,,Jesse Robbins,Co-Founder and CEO,Opscode
,12:40 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,
,,GoGrid Workshop - Room 1,"The What, How and Why of Secure SaaS Delivery – GoGrid and Orange Discuss the Hosted Private Cloud as the Enabler",Orange Business Services and GoGrid unveil details on the implementation and usage of GoGrid’s Hosted Private Cloud solution to provide SaaS infrastructure for Orange’s clients. Learn how and why it was done.,Paul Miller,Founder,Cloud of Data,Lee Cardona ,Director,Orange Business Services
,,,,,,,,Michael Mascia ,"Director, Technology Partners, Platform Engineering and Development ",Orange Business Services
,,,,,,,,Mario Olivarez ,VP of Products,GoGrid
,,,,,,,,Jeffrey Samuels ,CMO,GoGrid
,,Gist Workshop - Room 2,Lessons Learned Aggregating Data in the Cloud,"In this talk, Steve Newman will discuss Gist, a cloud-based service which provides all your contacts in one place updated with the latest news everywhere you need it. Gist uses several architecture and technological techniques to access and aggregate private and public data in the cloud. Steve will cover these capabilities as well as lessons learned.",,,,Steve Newman,Senior Director of Gist,Research in Motion
,,Virtustream Workshop - Room 3,Best Practices for Enterprise Cloud Efficiencies,"As enterprises mobilize to benefit from multi-tenancy in the cloud, they recognize that their journey to move mission-critical applications is more complex. Join Derrick Harris as he moderates an expert panel, including a CIO who has been in the trenches, as they discuss how to gain Enterprise Cloud efficiencies.",Derrick Harris,Structure Editor and Staff Writer,GigaOM,Rodney Rogers,Co-Founder and Executive Chairman,Virtustream
,,,,,,,,Don Whittington,VP and CIO,Florida Crystals Corporation
,,Canonical Workshop - Room 4,Orchestrating New Cloud Services With Ubuntu,What systems are at the heart of so many new cloud infrastructures? What is it about the cloud that makes it such an attractive commercial proposition? Join Canonical for an interactive workshop: you will learn how the cloud can be orchestrated for initial deployment on bare metal and how you can manage an environment of services that demonstrates elasticity without user intervention. This workshop will include a live demo and a Q&A session.,,,,Nick Barcet,Cloud Solutions Lead,Canonical
,1:40 PM,Piecing Together the Next-Generation of the Cloud,,"What will the next generation of cloud and distributed computing systems look like? Who will create the systems that power them? We assemble some of the industry’s leading researchers to look at the operating systems needed for million-core-or-more systems, what needs distributed nodes will entail and what insights we can glean from early exascale data center projects. In this session, we look toward the future and shape the insights into the realities of what can be applied in the business world.",Jason Hoffman,Founder and Chief Scientist,Joyent,Anant Agarwal,Co-Founder and CTO,Tilera Corporation
,,,,,,,,Partha Ranganathan,Distinguished Technologist,HP
,2:00 PM,"The New Industry Platforms: Data, Social and The Value Added Stack",,"The Accenture Technology Vision is a cross industry research project that takes stock of the evolving trends in IT and how they will impact business and society as a whole. In his presentation, Gavin will review this year's eight trends and focus on three major takeaways for the audience - Data as a platform, New value higher in the stack and Social Platforms as Intelligence sources.",,,,Gavin Michael,"Global Managing Director, R&D and Alliances",Accenture
,2:10 PM,The Instrument of Cloud Monetization: The API,,"APIs are an important, but sometimes under-appreciated, potential source of income for cloud service providers. Although they don’t cost a dime, well-designed APIs can bring in hordes of developers that will help drive site traffic and popularity through the roof. These panelists are API experts at many levels and will share strategies for making more developers mean more money.",Bernard Golden,CEO,HyperStratus,Randy Bias,Co-Founder and CTO,Cloudscaling
,,,,,,,,Sam Ramji,"VP, Strategy",Apigee
,2:30 PM,Open Clouds: Can Anyone Agree?,,"Last year at Structure, Jason Waxman, Intel’s GM for High Density Computing, made the case for why Cloud Computing needs interoperability and standards.  Over the past year, Intel helped to launch the Open Data Center Alliance and participated in numerous industry initiatives including Open Stack, Open Compute Project, Deltacloud, the DMTF’s cloud incubator just to name a few.   We’ll talk with Jason about whether the industry is making progress or just further fragmenting, what are the top challenges that need to be addressed, and with all of these “open” projects, what the implications are for vendors and service providers.",Jason Hoffman,Founder and Chief Scientist,Joyent,Jason Waxman,"GM, High Density Computing, Data Center Group ",Intel
,2:50 PM,"Dedicated, In More Ways than One: The IaaS Panel",,"Infrastructure as a service used to mean virtual machines running within a multitenant architecture, probably paid for with a credit with a credit card with a disclaimer of caveat emptor. My, how things have changed: this panel brings together leading IaaS providers to discuss how IaaS has evolved to include dedicated servers, and where this trend away from virtualization and economies of scale is headed.",Paul Miller,Founder,Cloud of Data,John Keagy,CEO and Founder,GoGrid
,,,,,,,,Chris Pinkham,Co-Founder and CEO,Nimbula
,,,,,,,,Duke Skarda,CTO,SoftLayer
,3:20 PM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,
,,Nimbus Data Systems Workshop - Room 1,Solid State Flash Memory and a New Dawn for Scalable Datacenter Storage,"Solid state flash memory technology has achieved cost-parity with 15K rpm disks today, promising 90% lower energy and cooling costs with 10x greater performance, all at a competitive cost per usable terabyte. Learn more about “sustainable storage”, diverse deployment options and use cases for flash memory, and how to profit from this game-changing technology.",,,,Thomas Isakovich,Founder and CEO,Nimbus Data Systems
,,Brocade Workshop - Room 2,Ethernet Fabrics: Foundation for the Cloud ,"Existing data center LANs cannot adapt to the special requirements of virtual workloads in data centers.  Networks MUST move to a cloud-optimized, fabric-based architectures that are purpose-built with the performance, scale and functionality required in a highly virtualized data center. Brocade is leading the industry’s transition with innovative fabric solutions. Learn more in this workshop.  ",,,,AJ Casamento,Solutioneer,Brocade
,,SeaMicro Workshop - Room 3,SeaMicro - Reducing Server Power Consumption by 75%: An Overview and Customer Case Studies,SeaMicro servers use ¼ the power and take ¼ the space of traditional servers. This session will provide an overview of SeaMicro server solutions and present customer case studies including discussion from Mozilla about their experience deploying SeaMicro servers.,,,,Andrew Feldman,CEO,SeaMicro
,,,,,,,,Justin Fitzhugh,VP Operations,Mozilla
,,Deloitte Workshop - Room 4,Clouds on a Horizon: Disruptions Ahead,"This workshop will focus on the interaction between the economics and technology shifts enabled by the cloud, leading to profound disruptions both for technology provider industry and a broad range of other industries. The choice is simple: :shape or prepare to be shaped!",,,,John Hagel,"Co-Chairman, Center for the Edge ",Deloitte LLP
,4:00 PM,"When the ""Force"" Meets PaaS",,Salesforce's acquisition of pioneering PaaS platform Heroku raises many new questions in the SaaS industry. Is the acquisition for the cloud platform technology or the large developer base? Will Salesforce now push harder to be the core platform of choice for enterprise developers in the cloud? Is this a new strategic direction for the SaaS industry to follow? In this fireside chat Om Malik talks to Byron Sebastian of Heroku to explore future possibilities in the PaaS industry.,Om Malik,Founder ,GigaOM,Byron Sebastian,GM Heroku and ,"SVP, Platforms at salesforce.com"
,4:20 PM,From OpenFlow to Virtualized Networks,,"One of the hottest technologies around is virtualized networking. Based on the futuristic OpenFlow work from Stanford University, the technology promises a shake-up of the network infrastructure world. We talk to some of the leading startups in this area about deploying the technology in a big way. We ask what the technology is, what its applications are and what makes it so insanely great.",Jason Hoffman,Founder and Chief Scientist,Joyent,Guido Appenzeller,Co-Founder and CEO ,Big Switch Networks
,,,,,,,,Martin Casado,CTO,Nicira Networks
,,,,,,,,Dante Malagrinò,CEO,Embrane
,4:50 PM,Computers At the Crossroads: What Hardware Will Reign in the Clouds?,,"The hardware world is a changing. New scenarios seem possible as webscale and cloud computing companies take a hard look at their regular commodity hardware and find it lacking. High density server blades, Atom-based machines from SeaMicro, servers using cell phone chips, even specialty processors using hundreds of cores. Will any of these innovations make it big?",Stacey Higginbotham,Senior Writer,GigaOM,Barry Evans,CEO,Calxeda
,,,,,,,,Andrew Feldman,CEO,SeaMicro
,,,,,,,,Don Newell,"VP and CTO, Server",AMD
,,,,,,,,Omid Tahernia,CEO,Tilera Corporation
,5:25 PM,The M&A Panel: A Year of Deals in Review and the Year Ahead,,"Since 2008, we have seen a “cambrian explosion” of cloud and infrastructure companies. This now being followed by an M&A feeding frenzy, as the early leaders were gobbled up by the giants. In this panel, we assemble some of the leading M&A rockstars and review some of their biggest hits from last year. We will also look to the coming months and find out the types of deals they are sourcing and what technologies will be on their radar.",Stephen Smith,Senior Managing Director,Arma Partners,Shekar Ayyar,VP of Strategy and Corporate Development,VMware
,,,,,,,,Jonathan Becher,Interim CMO,SAP
,,,,,,,,Debra Danielson,"SVP, Merger and Acquisition Strategy and Distinguished Engineer",CA Technologies
,,,,,,,,John Dillon,CEO,Engine Yard
,,,,,,,,Lorenzo De La Vega,"VP, Business Development, Application & Integration Middleware, Software Group ",IBM
,6:00 PM,CLOSING REMARKS,,,,,,,,
,6:05 PM,LexisNexis COCKTAIL RECEPTION,,,,,,,,
