IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn
y,y,y,y,m,Dan,Cerutti,VP Watson Commercialization,IBM,"VP Watson Commercialization, IBM",,,speaker,y,"Dan Cerutti is responsible for the IBM Watson for Healthcare cross-industry initiative.  Dan led the start up effort within IBM to commercialize the Watson DeepQA / Jeopardy! technologies and remains deeply involved in the Watson technology development and commercialization efforts across all markets. Mr. Cerutti was previously GM of IBM Smart Business, a brand of solutions for small and medium sized organizations sold by business partners.  Dan was also GM of IP Licensing, responsible for all patent and software technology related IP transactions across the company.  Dan has been involved in leading edge technologies and new IT businesses for 25 years, including intimate involvement in the formation and growth of a dozen businesses. He holds computer science degrees from Harvard and Syracuse, and is the author of a McGraw-Hill textbook titled Distributed Computing Environments.",,,,,,
y,y,y,y,f,Debra,Chrapaty,CIO,Zynga,"CIO, Zynga",,,speaker,y,"Debra Chrapaty serves as CIO at Zynga, overseeing the company’s global foundation services (GFS) organization. GFS includes Zynga’s zCloud infrastructure, IT, security and customer service - all of which help deliver Zynga games to millions of players. Debra led the creation of GFS, consolidating core operations to help studios bring games to market efficiently and cost effectively. Prior to Zynga, Debra served as SVP and General Manager of Collaboration Software Group of Cisco Systems, Inc. She served as Corporate VP of Global Foundation Services at Microsoft. From June 1997 to March 2000, she served as President and COO of E-TRADE, responsible for all aspects of IT infrastructure. From 1994 to 1997, she served as CTO for the National Basketball Association.",,,,,,
y,y,y,y,m,Adrian,Cockcroft,"Director, Architecture",Netflix,"Director, Architecture, Netflix",,,speaker,y,"Adrian Cockcroft is the director of architecture for the Cloud Systems team at Netflix. He works on availability, resilience, performance, and measurement of the Netflix cloud platform, as well as guiding future strategy for the architecture. He leads internal cloud training for Netflix, and has presented a cloud architecture tutorial at several conferences. Adrian was recognized as one of the ""Top 10 Cloud Computing Leaders"" in both 2011 and 2012. From 2004-2007 he was a founding member of eBay Research Labs and previously was well known as the author of several books while a Distinguished Engineer at Sun Microsystems: Sun Performance and Tuning; Resource Management; and Capacity Planning for Web Services. ",,,,@adrianco,,http://www.linkedin.com/in/adriancockcroft
y,y,y,y,m,Steve,Collen,VP IP Infrastructure,Huawei Technologies Co.,"VP IP Infrastructure, Huawei Technologies Co.",,,speaker,y,"Steve is responsible for the Global Go to Market of the Huawei Enterprise IP Product Line. This multi billion portfolio includes branch and high end routing, campus and data center switching, wireless LAN, network management, and optical and microwave transmission products.Prior to his current role at Huawei, Steve was Senior Director at Cisco Systems. During a 16 year period he was responsible for product management of physical security in the Emerging Technology Group, network security and high end routing.Previous roles included product management and marketing responsibilities at AT&T and British Telecom.",,,,,,
y,y,y,y,m,Derek,Collison,Founder and CEO,Apcera,"Founder and CEO, Apcera",,,speaker,y,"Derek Collison is the founder and CEO of Apcera, Inc., which is looking to deliver the next generation cloud platform. Prior to Apcera, Derek designed and architected Cloud Foundry, the OpenPaaS at VMware, and spent time at Google and TIBCO Software. Derek is a recognized leader in distributed systems design and architecture, and emerging cloud platforms.",,,,@derekcollison,,http://www.linkedin.com/in/derekcollison
y,y,y,y,m,Joseph,Coyle,VP and CTO,Capgemini,"VP and CTO, Capgemini",,,speaker,y,"Joseph Coyle is a vice president and the Chief Technology Officer for Capgemini U.S. LLC. Has more than 26 years of experience in various IT and management positions encompassing large program management around business transformation, ERP transformation, applications development and programming, system administration, database management, infrastructure design and support, disaster recovery, and overall project management. He has been published and quoted in many areas related to overall technology, Cloud computing, and SAP solutions. ",,,,,,http://www.linkedin.com/pub/joseph-coyle/8/566/2ab  
y,y,y,y,m,Simon,Crosby,Co-Founder and CTO,Bromium,"Co-Founder and CTO , Bromium",,,speaker,y,"Simon Crosby is Co–founder and CTO at Bromium. He was founder and CTO of XenSource prior to the acquisition of XenSource by Citrix, and then served as CTO of the Virtualization & Management Division at Citrix. Previously, Simon was a Principal Engineer at Intel where he led strategic research in distributed autonomic computing, platform security and trust. He was also the Founder of CPlane Inc., a network optimization software vendor. Prior to CPlane, Simon was a tenured faculty member at the University of Cambridge, UK, where he led research on network performance and control, and multimedia operating systems. In 2007, Simon was awarded a coveted spot as one of InfoWorld's Top 25 CTOs.",,,,,,http://twitter.com/#!/simoncrosby
y,y,y,y,f,Barb,Darrow,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Barb has covered technology and high-tech companies for longer than she’d care to admit. She started out as a reporter for InfoWorld, covering Boston-area software companies; then moved over to CRN where she managed the news staff and covered the business both in terms of technology and how technology is sold. She was also news editor for TechWeb and senior news director at TechTarget before joining GigaOM. Barb enjoys seeing how old-school IT companies are (mis)managing their transition into the cloud computing era. She has won several ASBPE awards for her news coverage. Outside of work, she loves gardening, movies and baseball.",,,,,,
y,y,y,y,m,Scott,Davis,"EVP, Data Center Operations", DuPont Fabros Technology ,"EVP, Data Center Operations,  DuPont Fabros Technology ",,,speaker,y,"Scott A. Davis is the Executive Vice President of Operations for DuPont Fabros Technology (DFT), where he oversees the management of DFT’s portfolio of Data Centers comprising ten facilities located in four U.S. markets, totaling 2.4 million gross square feet and 205 megawatts of critical power capacity. Mr. Davis has over 25 years of experience, specializing in the engineering, design and operation of highly reliable facilities. Prior to joining DFT in 2006, he served for eight years at AOL as the Senior Director of Data Center Operations overseeing AOL's domestic and international data centers. From 1989 to 1998 he worked at several engineering consulting firms specializing in data center design. He earned a BSEE from the University of Maryland.",,,,,,
y,y,y,y,m,Sameer ,Dholakia,"Group VP and GM, Cloud Platforms Group",Citrix,"Group VP and GM, Cloud Platforms Group, Citrix",,,speaker,y,"Sameer Dholakia is group vice president and general manager of the Cloud Platforms group at Citrix, driving the company’s product strategy for cloud infrastructure and server virtualization. He joined the company in 2010, when Citrix acquired VMLogix, where he served as CEO. Dholakia brings extensive enterprise software experience to Citrix, having held key leadership roles in sales, business development and product management at companies such as Trilogy, Inc. He holds bachelor’s and master's degrees from Stanford University and an MBA from Harvard Business School.",,,,,,
y,y,y,y,m,Kenneth,Duda ,"Founder, CTO and SVP, Software Engineering",Arista Networks,"Founder, CTO and SVP, Software Engineering, Arista Networks",,,speaker,y,"Kenneth Duda is a pioneer in high-performance networking software and lead architect of Arista Networks EOS, a stateful modular operating system for all Arista Networks products. He is also the co-author of network virtualization specifications including VXLAN with VMware and NVGRE with Microsoft. Prior to joining Arista Networks, Ken was the CTO at There.com, where he played a lead role in designing a real-time 3-D distributed system that scaled to thousands of simultaneous users. Ken was also the first employee of Granite Systems and led the software development effort for the Catalyst 4000 product line after the acquisition by Cisco.Ken has 3 simultaneous engineering degrees from MIT and holds a Ph.D. in Computer Science from Stanford University.",,,,@aristanetnews,http://www.facebook.com/pages/Arista-Networks/105044669013,http://www.linkedin.com/company/arista-networks-inc
,y,y,y,m,Barry,Evans,CEO,Calxeda,"CEO, Calxeda",,,speaker,y,"Barry Evans founded Calxeda in 2008 as its CEO, raised $48M in investments, and has already earned mention as one of the world’s most innovative companies by MIT. Mr. Evans is an 20 year veteran of the semiconductor industry. Prior to founding Calxeda, he was the VP and GM of Marvell’s Application Processing Business Unit, responsible for the Xscale processor (ARM-based) SoC product line, the world’s highest performance handheld processors with revenues exceeding $300 million. Prior to this, Mr. Evans served in GM and Director roles at Intel responsible for customer engagements and product strategies to address the wireless handheld and infrastructure markets. He holds a BSEE from the University of Texas at Austin and an MBA from Boston University.",,,,,,http://www.linkedin.com/in/barryevans
y,y,y,y,m,Andrew,Feldman,Corporate VP and GM of Data Center Server Solutions,AMD,"Corporate VP and GM of Data Center Server Solutions, AMD",,,speaker,y,"Andrew Feldman is corporate vice president and general manager of AMD’s Data Center Server Solutions business unit. In this role, he oversees the development and sale of low power server products and technology—the former SeaMicro organization—and is responsible for the integration of low power server technology across AMD. Feldman came to AMD in 2012 via AMD’s acquisition of SeaMicro, where he was a co-founder and the CEO from inception to its successful acquisition by AMD. Prior to co-founding SeaMicro in 2007, Feldman was an entrepreneur in residence at Crosslink Capital and at US Venture Partners. He holds an MBA and bachelor’s degree from Stanford University. ",,,,,,http://www.linkedin.com/in/andrewdfeldman
y,y,y,y,m,Frank,Frankovsky,VP,Facebook,"VP, Facebook",,,speaker,y,"Frank Frankovsky is vice president of hardware design and supply chain at Facebook. In that role, he is responsible for the company's hardware engineering and validation; technical program management; capacity engineering and analysis; and supply chain operations teams. He is also one of the key drivers of the Open Compute Project, an initiative dedicated to reshaping the infrastructure hardware industry to be more open, more innovative, and more efficient. Prior to joining Facebook, Frank spent 14 years with Dell, where he was an integral part of building Dell's PowerEdge server business and co-founded Dell's Data Center Solutions business. Prior to Dell, he launched the industry's first rack-mounted x86 servers for Compaq. Austin State University in Nacogdoches, TX.",,,,,https://www.facebook.com/frankovsky,
y,y,y,y,m,George,Gilbert,"Principal, TechAlpha Partners and Analyst",GigaOM Pro,"Principal, TechAlpha Partners and Analyst GigaOM Pro",,,speaker,y,"George is co-founder of TechAlpha Partnersk, a management consulting and research firm that advises clients on the technology and business implications of the shift to data-driven services delivered by cloud computing. Previously, George was the lead enterprise software analyst for Credit Suisse First Boston, one of the leading investment banks to the technology sector. During 7 years as an analyst, he advised institutional investors on Microsoft, Oracle, BEA, Veritas, SAP, PeopleSoft, JDEdwards, i2 Technologies and Siebel, among others. George advised numerous companies in the capital raising process including Actuate, Baan, CommerceOne, E.piphany, i2 Technologies, JDEdwards, Retek, and Selectica.",,,,@ggilbert41,,http://www.linkedin.com/pub/george-gilbert/2/550/466
y,y,y,y,m,Derrick,Harris,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Derrick has been a technology journalist since 2003 and has been covering cloud computing, big data and other emerging IT trends for GigaOM since 2009. He has written the words “cloud” and “Hadoop” possibly more than any other person on the planet. Derrick lives in Las Vegas and has a law degree from the University of Nevada, Las Vegas. Away from the office, Derrick trains in muay thai and is active in animal welfare issues.",,,,,,
y,y,y,y,m,Jonathan,Heiliger,General Partner,North Bridge Venture Partners,"General Partner, North Bridge Venture Partners",,,speaker,y,"Jonathan joins North Bridge from Facebook, where he was VP of Technical Operations from 2007 until 2011, as Facebook grew from 35 million users to over 800 million. Heiliger brings to North Bridge his passion for creating and scaling solution-focused technology companies as an active advisor, investor or executive. At Facebook, Jonathan oversaw global infrastructure, site architecture and internal systems. Prior to Facebook, Jonathan held executive technical operations roles at Walmart and Danger (acquired by Microsoft). He also spent several years as Chief Operating Officer for Loudcloud (which became Opsware and was later acquired by HP). Earlier in his career, Jonathan co-founded and was the CTO of Frontier GlobalCenter, and later founded Global Crossing’s corporate venture capital group.",,,,@heiligerj,www.facebook.com/jh,www.linkedin.com/in/jheiliger
y,y,y,y,m,Steve,Herrod,CTO and SVP of R&D,VMware,"CTO and SVP of R&D, VMware",,,speaker,y,"Steve Herrod is the CTO and SVP of R&D at VMware. Steve helps drive the company’s technology strategy and works with the engineering teams towards continued delivery of innovative products. The greatest innovations push technology limits, but are also simple to use and elegantly accessible. Steve helps drive these advances directly and via members of the Office of the CTO. Steve provides particular leadership around technology collaborations between VMware engineering and our partners and customers. He plays an integral role in VMware’s acquisition strategy as well as in VMware’s strategic partnerships. Recent focus areas have centered on the acquisition of SpringSource as well as our partnerships with Salesforce.com and Google.Steve holds a Ph.D. and a Master’s degree in Computer Science from Stanford University, and a Bachelor of Arts from the University of Texas at Austin.",,,,,,
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Stacey is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last 11 years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas. At GigaOM, Stacey covers broadband, data center infrastructure, policy and regulation, and entrepreneurs/startups, and is particularly excited to discover news ways technology is changing the world. ",,,,,,
,y,y,y,m,Aaref,Hilaly,Partner,Sequoia Capital,"Partner, Sequoia Capital",,,speaker,y,"Aaref works with enterprise, internet, and mobile companies. Prior to joining Sequoia Capital in 2012, he was the CEO of Clearwell, a leading provider of analytics software for electronic discovery. Aaref grew Clearwell from a handful of engineers into a profitable company with an annual revenue run-rate of over $100 million, leading to its acquisition by Symantec in 2011. Prior to that, Aaref was the Founder and CEO of CenterRun, a pioneer in datacenter automation, which was acquired by Sun Microsystems. Aaref holds an MBA from Harvard Business School, a Masters degree in Economics from McGill University, and BA degree from Oxford University.",,,,,,
y,y,y,y,m,Jason,Hoffman,Founder and CTO,Joyent,"Founder and CTO, Joyent",,,Speaker,y,"Jason is the founder and CTO at Joyent, where he is responsible for overseeing the development and implementation of Joyent’s cloud computing technology. His specialties include bioinformatics, grid computing, cloud computing, distributed systems, collaborative applications and deploying and scaling web applications. Jason earned a BS and MS in Chemistry and Biochemistry at UCLA, and a PhD in Molecular Pathology at The Burnham Institute and UCSD School of Medicine.",,,,@jasonh,,http://www.linkedin.com/in/jasonhoffman
,y,y,y,m,Matt,Howard,General Partner,Norwest Venture Partners,"General Partner, Norwest Venture Partner",,,speaker,y,"Matt brings over 20 years of experience in marketing, product management, engineering, business development, and sales in a wide range of technologies to Norwest Venture Partners. Matt has appeared on the Forbes Midas List as a top 100 investor for three years. Matt focuses his efforts on mobile, security, rich media, cloud based services/applications, networking and storage sectors. He currently serves on the boards of Avere Systems, Blue Jeans Network, ConteXtream, Hadapt, MobileIron, Pertino Networks, Retrevo and Summit Microelectronics. He is a board observer at FireEye and ShotSpotter. Prior to joining NVP in 2000, Matt held a number of senior positions with Cisco's IOS organization and the Internet Business Unit.  Previously, Matt was vice president of marketing at Vertical Communications.",,,,,,
y,y,y,y,m,Solomon,Hykes,Co-Founder and CEO,dotCloud,"Co-Founder and CEO, dotCloud",,,speaker,y,"Solomon is the visionary behind the company’s mission to deliver the power of cloud computing to all developers. Solomon has his roots in cloud computing and has worked in large-scale distributed Internet services for most of his professional career. A born entrepreneur, Solomon started his first business at age 14, as a technical consultant installing servers and setting up networks. He also served as a security consultant to French government agencies, providing insights on the implications of new technologies, and how to best adapt processes, tools and infrastructure to cope with threats posted by those technologies. Solomon has a Master’s Degree in Computer Science from the European Institute of Technology in Paris.",y,Hykes is the visionary behind dotCloud’s mission to deliver the power of cloud computing to all developers.,,@solomonstre,https://www.facebook.com/profile.php?id=100001719098198,http://fr.linkedin.com/in/solomonhykes
y,y,y,y,f,Rebecca,Jacoby,CIO and SVP,Cisco,"CIO and SVP, Cisco",,,speaker,y,"Rebecca Jacoby is Chief Information Officer & Senior Vice President of IT and Cloud & Systems Management Technology Group at Cisco. Her extensive understanding of business operations, infrastructure, and application deployments as well as her knowledge of products, software, and services helps advance Cisco’s business through the use of Cisco technology. Jacoby has two distinct areas of responsibility at Cisco. As CIO, she’s made the Cisco IT organization a strategic business partner, producing significant business value for Cisco in the form of financial performance, customer satisfaction and loyalty, market share, and productivity. At the Cloud & Systems Management Technology Group, she is leading the strategy for how best to manage and orchestrate the delivery of business technology services for customers.",,,,,,
y,y,y,y,m,"Marty
",Kagan,Co-Founder and CEO,Cedexis,"Co-Founder and CEO, Cedexis",,,speaker,y,"Marty Kagan has been leading the development of products and services in the web caching, content delivery, and application acceleration space since 1996. Prior to co-founding Cedexis, Marty was Vice President of Engineering at Jive Software and Akamai Technologies, Director of Technology for Akamai International, and part of the original Cache Engine skunk-works team at Cisco Systems. He has co-authored 9 patents.",,,,"@cedexis
",,http://www.linkedin.com/in/martykagan
y,y,y,y,m,Luke,Kanies,CEO,Puppet Labs,"CEO, Puppet Labs",,,speaker,y,"Luke founded Puppet and Puppet Labs in 2005 out of fear and desperation, with the goal of producing better operations tools and changing how we manage systems. He has been publishing and speaking on his work in Unix administration since 1997, focusing on development since 2001. He has developed and published multiple simple sysadmin tools and contributed to established products like Cfengine, and has presented on Puppet and other tools around the world, including at OSCON, LISA, Linux.Conf.au, and FOSS.in. His work with Puppet has been an important part of DevOps and delivering on the promise of cloud computing.",y,"Kanies founded Puppet / Puppet Labs in 2005 out of fear and desperation, with the goal of producing better operations tools and changing how we manage systems.",,@puppetmasterd,https://www.facebook.com/puppetlabs,http://www.linkedin.com/in/lukekanies
y,y,y,y,m,John,Keagy,CEO and Founder,GoGrid,"CEO and Founder, GoGrid",,,speaker,y,"John Keagy is Founder, Chairman, and CEO of GoGrid, a global leader in cloud and hybrid infrastructure hosting. John is an Internet infrastructure pioneer, with nearly 20 years of experience as a CEO building, operating successful Internet service providers. At ServePath, now known as GoGrid, Keagy drove the early growth of the dedicated server hosting market by introducing multiple firsts, including multiprocessor servers and hosted load balanced server networks. John's entrepreneurial skills and strategic vision have led ServePath's and now GoGrid's rapid growth. The company was named to Deloitte's ""Technology Fast 500"" in recognition of its growth (#11 in Silicon Valley and #77 in North America) in previous years.
",,,,,,
y,y,y,y,m,Chris C.,Kemp,"CEO, Nebula and Co-Founder",OpenStack,"CEO, Nebula and Co-Founder, OpenStack",,,speaker,y,"Chris C. Kemp is the co-founder and CEO of Nebula, developers of a turnkey enterprise private cloud computing system. Prior to Nebula, Kemp was the Chief Technology Officer for IT at NASA, where he co-founded OpenStack, and was responsible for pioneering work in cloud computing, open source and open government. Kemp has also served on the White House Cloud Computing Executive Steering Committee, and was the chair of the Cloud Standards Working Group.  Previously, Kemp served as the Chief Information Officer of NASA Ames Research Center in Silicon Valley where he forged partnerships with Google and Microsoft and helped create Google Moon, Google Mars and Microsoft WorldWide Telescope, and was responsible for NASA’s Nebula Cloud Computing Project.  He is an acknowledged technology leader and has been named a top CIO by CIO Magazine and was most recently recognized as the number one leader in cloud computing for 2012 by TechTarget.",,,,@kemp,http://www.facebook.com/chrisckemp,http://www.linkedin.com/in/chrisckemp
y,y,y,y,m,Vivek,Kundra,"EVP, Emerging Markets",salesforce.com,"EVP, Emerging Markets, salesforce.com",,,speaker,y,"Kundra was appointed as the first United States Chief Information Officer by President Obama and is credited with saving billions in taxpayer dollars, adopting game-changing technologies, strengthening the nation's cybersecurity posture and launching an open government movement, replicated around the world. Prior to joining the Obama administration, Kundra served as the Chief Technology Officer for the District of Columbia and as the Assistant Secretary of Commerce and Technology for the Commonwealth of Virginia. Kundra served as a fellow at Harvard's Berkman Center for Internet and Society and the Shorenstein Center on the Press, Politics and Public Policy. He is a member of the Council on Foreign Relations and was named 2011 Government Executive of the year by TechAmerica.",,,,@vivekkundra,,
y,y,y,y,f,Lisa,Larson,"VP, Enterprise Technical Sales",Rackspace Hosting,"VP, Enterprise Technical Sales, Rackspace Hosting",,,speaker,y,"Lisa Larson is the Vice President of Enterprise Technical Sales. She has spent 20+ years in IT and Professional Services working with customers of all sizes, with an emphasis in Consulting, Infrastructure Services, Project Management, IT Operations, Technical Support, Application Development and IT Management. She’s been a Racker since September 2010 and is responsible for end-to-end technical sales for the U.S. She launched the Rackspace Advisory Services team in 2011, an elite team of cloud computing experts who help customers take advantage of cloud technologies and plan their cloud strategy. Lisa is a graduate of the University of Houston. In her spare time, she’s an avid runner and is currently training for her tenth marathon.",,,,,,http://www.linkedin.com/pub/lisa-larson/1/a61/a68
y,y,y,y,m,Aaron,Levie,Co-Founder and CEO,Box,"Co-Founder and CEO, Box",,,speaker,y,"Aaron Levie is the CEO and co-founder of Box, which he originally created as a college business project with the goal of helping people easily access their information from any location. Box was launched from Aaron's dorm room in 2005 with the help of CFO Dylan Smith. He is the visionary behind Box's product and platform strategy, which is focused on incorporating the best of traditional content management with the most effective elements of social business software. He has spoken at events such as Fortune Brainstorm Tech, Web 2.0, Dreamforce, Accenture Global Summit, South by Southwest, and Svase. Aaron studied business at the Marshall School of Business at the University of Southern California before taking a leave of absence.",,,,@levie,,
y,y,y,y,m,David ,Linthicum,"CTO, Blue Mountain Labs and Analyst",GigaOM Pro,"CTO, Blue Mountain Labs and Analyst, GigaOM Pro",,,speaker,y,"As CTO of BML, David Linthicum focuses on emerging technology spaces and the industry's move toward cloud computing. Linthicum is a widely recognized technology thought leader who has appeared in InfoWorld, Intelligent Enterprise, and eBizq.net, covering SOA and enterprise computing topics. He is a regular columnist in Government Computer News, Cloud Computing Journal, SOA Journal and Align Journal, and is the editor of Virtualization Journal. In addition to daily communications, Linthicum is the author of 13 books on computing.  You can follow Dave at #Davidlinthicum on twitter or on the Inforworld blog.",,,,@Davidlinthicum,,
y,y,y,y,m,Tony,Lucas,Founder,Flexiant,"Founder, Flexiant",,,speaker,y,"Tony spent twelve years as CEO and majority owner of XCalibre Communications, a web hosting company. During the latter half of this period in 2007, he developed and launched FlexiScale, Europe's first IaaS Cloud. Tony is now the Founder and Product Champion at Flexiant, which has taken the core technology from FlexiScale and developed it into a world leading Cloud Orchestration Solution for companies wanting to build and run their own cloud platforms.",,,,@tonylucas,,http://uk.linkedin.com/pub/tony-lucas/2/411/621
