FF,Publish,Photo Ready?,List on front page?,Gender,Account ID,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,,Rob,Coneybeer,Managing Director,Shasta Ventures,"Managing Director, Shasta Ventures",,,speaker,y,"Rob Coneybeer is a veteran venture capitalist who approaches start-up investing from a product perspective. At Shasta Ventures, the Sand Hill Road firm he co-founded in 2004, Rob focuses on mobile and wireless startups. Rob started his career working in the Astro Space division of Martin Marietta, where he helped build the first EchoStar spacecraft. Some of Rob’s recent, notable investments include smart-thermostat company Nest; Relay Rides, the leading peer-to-peer carsharing marketplace; Mocana, which provides security for smart devices; and Red Robot Labs, a leading developer of location-based mobile games. Rob earned a master of science in mechanical engineering from the Georgia Institute of Technology and a BS in mechanical engineering from the University of Virginia. Rob blogs at http://280.vc.",,,,,@robconeybeer,
y,y,y,y,m,,Dennis,Crowley,Co-Founder and CEO,foursquare,"Co-Founder and CEO, foursquare",,,speaker,y,"Dennis Crowley is the Co-founder and CEO of foursquare, a free mobile application that helps you and your friends make the most of where you are. Previously, Dennis founded dodgeball.com, one of the first mobile social services in the US, which was acquired by Google in 2005. He has been named one of Fortune's ""40 Under 40"" (2010, 2011), a member of Vanity Fair's ""New Establishment"" (2011) and has won the ""Fast Money"" bonus round on the TV game show Family Feud (2009). He is currently an Adjunct Professor at NYU's Interactive Telecommunications Program (ITP). Dennis holds a Master's degree from New York University's Interactive Telecommunications Program and a Bachelor's degree from the Newhouse School at Syracuse University.",,"Dennis Crowley is the co-founder of foursquare, a service that combines social networks, location awareness and game mechanics to encourage people explore the world around them. He’ll be interviewed by GigaOM’s Om Malik. ",,,,
y,y,y,y,m,,Brad,Duea,"SVP, Marketing",T-Mobile USA,"SVP, Marketing, T-Mobile USA",,,speaker,y,"Brad is responsible for Value Added Services, Applications and Content, Mobile Broadband, M2M and Emerging Devices for T-Mobile USA. Prior to joining T-Mobile in April 2010, Brad served as president of Napster LLC, the pioneer in digital music and, until recently, a wholly owned subsidiary of Best Buy. Under Brad’s leadership, Napster’s total revenues increased from less than $12 million to well over $120 million. Prior to Napster, Brad served as Vice President of Worldwide Business Development and Worldwide OEM Sales for Roxio, Inc., the digital media software company. Brad holds a B.A. from University of California at Santa Barbara, a M.B.A. from the University of Southern California, and a J.D. from the University of San Diego School of Law.",,,,,@bduea,http://www.linkedin.com/in/bradduea
y,y,y,y,m,,Chris,Dury,CEO,GetJar,"CEO, GetJar",,,speaker,y,"Chris Dury is CEO for GetJar. Prior to GetJar, Chris helped grow scanR, a mobile productivity service, from inception to millions of users. He also co-founded OneFone, a mobile virtual network operator. In addition, he held leadership positions at two VoIP startups, TalkingNets and Firetalk, and started his career at Intel. Chris holds a degree in Economics from Michigan State and an MBA from NYU's Stern School of Business.",,,,https://www.facebook.com/getjar,@chrisdury,
y,y,y,y,m,,Nick,Earl,"SVP, Global Mobile and Social Studios", Electronic Arts (EA),"SVP, Global Mobile and Social Studios, Electronic Arts (EA)",,,speaker,y,"Nick Earl is head of Global Mobile and Social Studios, overseeing design, programming, artwork, audio, research and development, and strategy for EA's mobile and social games studios. Earl managed the development of hit games for emerging platforms such as The Sims FreePlay, Dead Space, Tetris, Scrabble and The Simpsons. Earl has been in the interactive entertainment space for nearly 20 years, and with EA since 2001 serving as General Manager of Visceral Studio (formerly EA Redwood Shores Studio) and as Chief Operating Officer of the Redwood Shores Studio. 
",,,,http://www.facebook.com/eamobile,@eamobile,http://www.linkedin.com/pub/nick-earl/14/b33/186
y,y,y,y,m,,John,Ellis,"Chief Technologist, Connected Services and Solutions",Ford Motor Company,"Chief Technologist, Connected Services and Solutions, Ford Motor Company",,,speaker,y,"John Ellis, Global Technologist for Connected Services and Solutions with Ford Motor Company, is tasked with expanding Ford’s “brought-in” strategy of integrating mobile technology into the vehicle. He oversees a team of developers and engineers responsible for creating the “connected car” and striking a balance between embedded and off-board technology so that drivers can seamlessly extend their mobile lives into their vehicles. John has over twenty years of experience in the telecommunications industry.  During most of his career, John worked for Motorola where he held key leadership positions in Product Management, Software & Services, Marketing and Strategy and Engineering.  While there, John participated in the marketing and selling of Motorola’s mobile software and services, their software developer ecosystem, and industry-leading Open Source Software program. ",,,,,,
,,,,,,Ahmed,Eltawil,Professor,"University of California, Irvine",,,,,,"Ahmed Eltawil is an Associate Professor at the University of California, Irvine. He received the Doctorate degree from the University of California, Los Angeles, in 2003. Upon joining UCI in 2005, he founded the Wireless Systems and Circuits Laboratory, a state of the art laboratory investigating low power architectures for wireless communication systems. He published more than 90 technical papers on the subject, including four book chapters. He received several distinguished awards, including the NSF CAREER award in 2010 supporting his research in low power systems. Dr. Eltawil held several industry positions, including the director of ASIC Engineering at Innovics Wireless and a partner at Silvus Communications. Since joining UCI he actively engages with Industry in research and technical consulting. ",,,,,,
y,y,y,y,m,,Aaron ,Emigh,Co-Founder and CTO,shopkick,"Co-Founder and CTO, shopkick",,,speaker,y,"Aaron Emigh is the CTO and cofounder of shopkick, Inc. He has also served as EVP and GM of Technology at Six Apart, CTO of Rojo Networks, Managing Director of Radix Labs, and CEO of CommerceFlow.Aaron’s work spans mobile, social media, security, consumer internet, networking, storage, e-commerce, multimedia, and operating systems. He is a named inventor on over 70 issued and pending US patents, and has presented original research at numerous conferences and research colloquia, including RSA, APWG and DIMACS.Aaron is a member of the US Secret Service Electronic Crimes Task Force and the US-DHS Infosec Technology Transition Council, a Research Fellow of the Anti-Phishing Working Group, and a technical advisor to the Financial Services Technology Consortium.",y,"Aaron Emigh is the CTO and cofounder of shopkick. Aaron’s work spans mobile, social media, security, consumer internet, networking, storage, e-commerce, multimedia, and operating systems. He’ll discuss SoLoMo and the in-store experience. ",,,,
y,y,y,y,f,,Katie,Fehrenbacher,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Katie Fehrenbacher has been covering cutting-edge technology, startups and entrepreneurs in Silicon Valley for more than 7 years. She is the founding Editor of Earth2Tech, which she launched in July 2007. Prior to starting Earth2Tech she was a Staff Writer for GigaOM where she covered wireless and broadband technology. She has been a reporter at Red Herring, an editor at Engadget and began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun.",,,,,,
y,y,y,y,m,,Kevin ,Fitchard,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Kevin covers mobile broadband, carriers and wireless infrastructure for GigaOM. He has been writing about wireless networks and technology for 11 years, working first at Telephony Magazine and its online successor Connected Planet. Kevin spent his early career at several small Texas newspapers. He made the shift to tech writing upon moving to Chicago, where he now lives.",,,,,,
y,y,y,y,m,,Vab,Goel,General Partner,Norwest Venture Partners ,"General Partner, Norwest Venture Partners ",,,speaker,y,"Vab focuses on systems, services and Internet investments. He serves on the boards of Ravello Systems and Virtela Communications, and works closely with Pontis, Apigee and Veveo. Before joining NVP, Vab was VP of emerging technologies at Qwest. Prior to joining Qwest, Vab worked at Sprint, where he was a principal architect for the Sprint Internet backbone and contributed to the company's IP and optical network strategy. He created the optical Network Strategy which drove the world’s first IP over Sonet and the first IP over DWDM network. He played a key role in the Global One IP network, a venture partnership among France Telecom, Sprint, and Deutsche Telecom. Vab earned a B.S. in electrical engineering from George Mason University.",,,,,,
,,,,,,Josh,Gosliner,Director of Business Development,Snappli ,,,,,,"Josh Gosliner is the Director of Business Development for Snappli.  Before joining Snappli, Josh was part of a successful mobile startup that was bought out in 2010.  He is a seasoned mobile startup junkie, with more than seven years of experience in the mobile industry. Josh received his B.S. in Business Administration from the University of Arizona and his MBA from the Graduate School of Business at the University of Cape Town in South Africa.",,,,,,
y,y,y,y,m,,Jeff,Haynie,CEO,Appcelerator,"CEO, Appcelerator",,,speaker,y,"Jeff Haynie is Co-founder and CEO of Appcelerator. Jeff is a long-time serial entrepreneur, technologist and blogger. Previously, Jeff was Co-founder and CTO of Vocalocity, a software provider in the communications arena and before that, CTO of eHatchery, a digital incubator and off-shoot of Bill Gross’ idealab!. Jeff has worked on numerous standard committees such as IETF and W3C as well as core contributor to a number of important open source technologies such as JBoss and OpenVXI. Jeff served with distinction in the U.S. Navy. Jeff blogs at http://blog.jeffhaynie.us and can be found on twitter @jhaynie. ",,,,,@jeffhaynie,
y,y,y,y,m,,Jared,Hecht,Co-Founder,GroupMe,"Co-Founder, GroupMe",,,speaker,y,"Jared is a Co-Founder of GroupMe, a company that helps people stay connected and get together with their friends. In August 2011, GroupMe was acquired by Skype, which was subsequently acquired by Microsoft in October 2011. Previously, Jared led Business Development at Tumblr where he focused on international expansion and strategic partnerships. Before Tumblr, Jared received his BA in Political Science from Columbia University in 2009 where he served as the Publisher and Managing Director of Inside New York. In his free time Jared serves as a mentor to TechStars, as well as an investor and advisor to various NYC startups. Originally a native of San Francisco, Jared now resides in New York City with his wife, Carrie.",y,"Jared Hecht co-founded GroupMe, a company that helps people stay connected and get together with their friends, and previously led Business Development at Tumblr. At Mobilize, Jared will explore whether private social networks can scale to the size of Facebook or Twitter.",,http://www.facebook.com/jared.hecht,@jaredhecht,
y,y,y,y,m,,Phil,Hendrix,"Founder and Director, immr and Analyst",GigaOM Pro,"Founder and Director, immr and Analyst, GigaOM Pro",,,speaker,y,"Dr. Phil Hendrix is the director of immr (www.immr.org), a research and consulting firm he founded to help clients bring innovative new products and services to market.  Phil works with clients to uncover customer needs, optimize product/service features, achieve competitive differentiation and accelerate market acceptance.  He is also an analyst in GigaOm's analyst network, focusing on mobile and location-based services, in particular. Before founding immr, Phil was a partner with DiamondCluster and a principal with Mercer Management Consulting (now Oliver Wyman).  Previously, he was a professor at Emory University and the University of Michigan, where he taught courses in research, buyer behavior and marketing strategy.  Phil received his PhD in Marketing from the Graduate School of Business, University of Michigan.",,,,,@phil_hendrix,http://www.linkedin.com/in/philhendrix
y,y,y,y,f,,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Stacey is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last 11 years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas. At GigaOM, Stacey covers broadband, data center infrastructure, policy and regulation, and entrepreneurs/startups, and is particularly excited to discover news ways technology is changing the world. ",,,,,,
y,y,y,n,m,,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew Ingram is a senior writer with GigaOM. Prior to that he was an award-winning journalist with the Globe and Mail who spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Until January 2010 he was the Globe’s first online Communities Editor, helping the paper and its staff understand and appreciate the benefits of social-media tools such as blogs, comments and Twitter. He also launched the Globe’s ground-breaking Public Policy Wiki, writes for the Nieman Journalism Lab at Harvard University and is one of the founders of Mesh, Canada’s leading Web conference.",,,,,,
y,y,y,y,f,,Ellen,Isaacs,Principal Scientist and Ethnographer,"PARC, a Xerox company","PARC, a Xerox company",,,speaker,y,"Ellen Isaacs is a principal scientist and ethnographer at PARC, a Xerox company, where she has led the user experience component of a wide range of projects, including mobile interaction, urban parking, healthcare, and information visualization. Early in her career, Ellen studied and designed technology for remote communication and collaboration, e-commerce, and social interaction in virtual worlds. She published extensively in human-computer interaction journals and received seven patents for inventions related to this work. After working in research labs, product groups, and startups, she formed an interaction design consulting company. Ellen received her BS in psychology and semiotics from Brown University, and PhD in cognitive psychology from Stanford University, where she studied the collaborative process of language use in conversation. ",,,,,@PARCinc,
y,y,y,y,m,,Jason,Jacobs,CEO and Founder,RunKeeper,"CEO and Founder, RunKeeper",,,speaker,y,"Jason is the founder & CEO of RunKeeper, a mobile fitness platform that enables runners and other fitness enthusiasts to get motivated, stay motivated, and improve their results over time. Starting with a mobile app for runners, RunKeeper has built a large, passionate global user community, and recently opened up the platform so users can tie all of their health and fitness activities across a broad range of categories together in one cohesive experience. Prior to founding RunKeeper, Jason worked for 10 years in small, high-growth technology companies, always longing for the day when he could start his own. He holds a BA from Wesleyan University and an MBA from Babson College, where he was an Olin Fellow.",,,,http://www.facebook.com/jason.jacobs,@jjacobs22,http://www.linkedin.com/pub/jason-jacobs/0/449/171
y,y,y,y,m,,Chris,Jaffe , Director of Product Innovation,Netflix,"Director of Product Innovation, Netflix",,,speaker,y,"As Director of Product Innovation at Netflix, Chris Jaffe leads Netflix products on mobile phones, game consoles, and SmartTVs. His current work includes explorations on multi-device/N-screen experiences between mobile devices and television. Chris joined Netflix two years ago from Yahoo! where he founded and led AdUX, the web giant’s innovation team focused on new ad product experiences for video, rich media, mobile, and social. That followed nearly 10 years in user experience and product design consulting. He holds degrees from Cornell University and the University of Arizona and lives in the San Francisco Bay Area. ",y,"As Director of Product Innovation at Netflix, Chris Jaffe leads Netflix products on mobile phones, game consoles, and SmartTVs. Along with execs from Motorola Mobility and Verizon, Chris will take an insider's look at the next frontier for the multidevice, multiscreen connected home.",,,@chrisjaffe,http://www.linkedin.com/profile/view?id=7573838
y,y,y,y,m,,Tomer,Kagan,Co-Founder and CEO,Quixey,"Co-Founder and CEO, Quixey",,,speaker,y,"Tomer is the CEO and Co-Founder of Quixey--The Search Engine for Apps. Prior to Quixey, Tomer was the Founder and CEO of Your Logo Here, a branding solutions provider for companies such as Google and Slide. A lifelong entrepreneur, he founded a custom apparel printing business in college to pay his own tuition while studying Molecular, Cellular and Developmental Biology at the University of California, Santa Cruz. He is also an advisor to Innovation Endeavors, Mucker Labs Seed Fund and the Singularity Institute for Artificial Intelligence.",,,,,@gradish,http://www.linkedin.com/in/tomerkagan
y,y,y,y,m,,Derek,Kerton,"Principal Analyst, The Kerton Group and Analyst",GigaOM Pro,"Principal Analyst, The Kerton Group and Analyst, GigaOM Pro",,,speaker,y,"Derek Kerton is Principal Analyst and head of the Wireless Consulting Practice for The Kerton Group, a consulting firm focused on advanced telecom. Mr. Kerton is internationally recognized for his telecom industry insight and consults for companies throughout the telecom value chain (NTT Docomo, SKTelecom, Disney, ESPN, Sony...) and the financial community on the telecom market issues (Credit Suisse, Merrill Lynch, Dow Jones, Morgan Stanley...). He is chair of The Telecom Council of Silicon Valley and an advisor to Aegis Mobility. Mr. Kerton is quoted, published and interviewed globally on CNN, CNBC, BloombergTV, and Wall Street Radio, with his industry research and analysis available through TechDirt, articles, research reportsm and white papers. For full listings see: http://www.kerton.com/pressroom.html.
",,,,,@derekkerton,http://www.linkedin.com/in/kerton
y,y,y,y,m,,Ryan,Kim,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Before joining GigaOM, Ryan covered personal technology and wireless for the San Francisco Chronicle. He is based in New York and covers a number of topics including mobile development, app economies, mobile payments and East Coast start-ups. Ryan is an active member of the Asian American Journalists Association, and is a former president of the San Francisco chapter.",,,,,,
y,y,y,y,m,, Yoon,Kim,CEO,Novauris Technologies,"CEO, Novauris Technologies",,,speaker,y,"Dr. Yoon Kim, PhD is the CEO of Novauris Technologies, a provider of core speech recognition technology that is used by leading mobile operators and OEMs around the world. Prior to joining Novauris, he led two Silicon Valley startups and was a researcher at SRI International, where Nuance and Siri was started. Yoon has also served as a member of ETSI’s Speech Recognition Protocol Standards Workgroup and the Editorial Advisory Board of Speech Technology Magazine, which selected him as one of the most influential professionals in the industry. Yoon holds a Ph.D. in electrical engineering from Stanford University.",,,,,@NovaurisASR,http://www.linkedin.com/in/kimyoon
y,y,y,y,m,,David,Kirsch,Connected Technology Engineer,"Honda R&D Americas
","Connected Technology Engineer, Honda R&D Americas
",,,speaker,y,"David Kirsch is responsible for Connected Technology Strategy at Honda R&D, Americas, Inc., focused on the customer-related technologies spanning navigation, voice recognition, infotainment, and smartphone research. David is part of an Information Technology Research group that continuously improves current solutions while bringing forward new, innovative technologies from both the automotive and technology sectors, having a direct affect on the technology application strategies for Honda and Acura vehicles.",,,,,,http://www.linkedin.com/pub/david-kirsch/2/55/181
y,y,y,y,m,,Tom,Krazit,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Tom writes about one of the most important transitions in the history of computing – the shift from PC-based computing to mobile computing. He has written about nearly everything in the tech industry, including mobile, chips, and Web search, during a decade of work at CNET and IDG News Service. He joined paidContent in 2011 and lives and works in the Bay Area. In 2007, the Society of American Business Editors and Writers selected Tom for the award in Online Excellence, Breaking News for his story, “The Launch of the iPhone.”",,,,,,
y,y,y,y,m,,Mike,Krieger,Co-Founder,Instagram,"Co-Founder, Instagram",,,speaker,y,"Mike Krieger is co-founder of Instagram, one of the world's largest mobile-first applications. Instagram, available for iOS and Android, allows people to instantly share their lives with friends, family, and beyond, and has grown to over 85 million users in less than 2 years. Mike has led the technology team that has kept up with this growth, and designed & implemented many of the back-end systems that have allowed Instagram to scale. Mike's career began at Meebo, where he worked as a user experience designer and engineer. Mike's degrees are in Symbolic Systems from Stanford University.",,"Mike Krieger is co-founder of Instagram, one of the world's largest mobile-first applications. Instagram has grown to over 85 million users 
in less than 2 years. Om Malik hosts a discussion on the real history behind Instagram. ",,http://facebook.com/mikeyk/,@mikeyk,
y,y,y,y,m,,Kevin,Lacker ,CTO,Parse,"CTO, Parse",,,speaker,y,"Kevin is CTO and cofounder of Parse (http://www.parse.com). Parse offers a powerful cloud services platform that lets you build mobile applications without running your own servers. Prior to cofounding Parse, Kevin cofounded Gamador, a social gaming company, and designed algorithms at Google on the Search Quality team.",,,,,@lacker,http://www.linkedin.com/profile/view?id=6707928&trk=tab_pro
y,y,y,y,f,,Laurie,Lamberth,"Founder and VP, Business Development, Lamberth & Associates and Analyst",GigaOM Pro,"Founder and VP, Business Development, Lamberth & Associates and Analyst, GigaOM Pro",,,speaker,y,"Digital marketing, business development and strategy leader with 19 years’ experience driving high-value wireless and Cloud-based services and products from concept to market. Rich experience and contacts in mobile, location-based services, digital media and digital place-based advertising. Launched Nextel’s first market. Recruited content, device and application partners as Business Development Director for Sprint Nextel and Powerwave Technologies. Technology-savvy strategic thinker can create vision, inspire action and lead in any organization, Fortune 500 to startup. Now leads a digital marketing, business development and strategy practice serving high-growth technology companies. Rich experience and contacts throughout the mobile and digital media value chains: network operators, device manufacturers, semiconductor and module manufacturers, infrastructure vendors, device management platforms, content publishers, ad networks and technology enablers.",,,,,@laurielamberth,http://www.linkedin.com/in/laurielamberth
y,y,y,y,m,,Tim,Lee,Partner,Sequoia Capital,"Partner, Sequoia Capital",,,speaker,y,"Tim works with mobile, cloud and software companies. Prior to joining Sequoia Capital in 2009, Tim worked at Google where he managed European marketing and product launch strategy. While at Google, he also conceived the YouTube Symphony Orchestra. Earlier, Tim worked at McKinsey & Company in London and at microprocessor IP company, ARM, in Cambridge UK. Tim has a Masters in Electrical and Information Engineering from Cambridge University, and an MBA from Stanford University's Graduate School of Business.",,,,,,http://www.linkedin.com/in/timothytclee
,,,,,,Ben,Lilienthal,Co-Founder and CEO,OneTok,,,,,,"Ben has started and sold two Internet communications infrastructure companies. Nascent, to CMGI in 1999 and Vapps, in 2008, to Citrix.  With OneTok, he is leveraging his deep knowledge of packet-based voice networks to help re-invent how consumers interact with mobile devices.  OneTok provides a SaaS platform to quickly and easily voice-enable mobile apps by speaking to them in natural, conversational ways.  Ben is the Entrepreneur-in-Residence at the Peter J Solomon Company, a leading investment bank in NYC.   He earned his MBA from NYU and his BA from Amherst College.  Ben is a member of the Crown Fellows Class, 2010 at the Aspen Institute.  Ben helps WholesomeWave in demonstrating how locally grown produce can change health outcomes in the US. ",,,,,,
y,y,y,y,m,,Christian,Lindholm,Board Advisor,Fjord,"Board Advisor, Fjord",,,Speaker,y,"Christian is highly respected throughout the web and mobile space and has steered the development of a number of world-beating digital design solutions. This included linking up with Nokia to create the market-leading LifeBlog. In his role as board advisor at Fjord he helps ensure our creations continue to meet the needs of the mass market while remaining at the forefront of innovation. Previously, Christian was VP of Mobile Products at Yahoo, overseeing the development of several leading platforms including the award-winning Yahoo Go 2.0. Before that, he oversaw Nokia’s digital design when the company was at the height of its domination of the mobile handset marketplace.",,,,,@fjord,
,,,,,,Jerome ,Louvel,CEO,Restlet,,,,,,"Jerome is an engineer in computer science and management, graduate of Polytech'Montpellier in 1998 and became a certified Java architect in 2000. After six years of experience in IT consulting and software edition, in both Europe and USA, he launched the open source Restlet Framework project in 2005.Restlet was the first Java framework to expose and consume RESTful web APIs, with a community of about 100 thousands developers today. Jerome is a recognized expert on RESTful web APIs, member of the expert team that defined the standard JAX-RS API, contributor to the landmark ""RESTful Web Services"" book published by O'Reilly in 2007, and lead co-author of the ""Restlet in Action"" book published by Manning in 2012. ",,,,,,
