IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,,,,,,Clare'sNotes
y,y,y,y,m,Kevin,Brown,General Partner,Reed Elsevier Ventures,"General Partner, Reed Elsevier Ventures",,,speaker,y,"Kevin has been involved in early stage technology & venture capital since the late nineties. A founding partner of Reed Elsevier Ventures in 2000 he has specialised in digital media, Internet and big data & technology investments. Prior to REV Kevin was at SOFTBANK/ News Corporation’s European fund, eVentures. Prior to that he founded a venture backed derivatives pricing software company after starting his career in strategy consulting. Kevin serves as a director on the boards of Healthline, Fina Technologies, Intelligize, Martini Media, GigaOM & Struq & as a board observer at YCharts. He was previously a director at Inxight (acquired by Business Objects), Inpharmatica (acquired by Galapagos) and Recruiting.com & board observer at Intraspect (acquired by Vignette). He manages the fund’s investment in Palantir.",,,,,,http://uk.linkedin.com/in/kevinbrownrev/,,,,,,
y,y,y,y,m,Rene,Buest,"Principal Analyst, New Age Disruption and Analyst",GigaOM Research,"Principal Analyst, New Age Disruption and Analyst, GigaOM Research",,,speaker,y,"Rene Buest is Principal Analyst and Senior Advisor at New Age Disruption, covering cloud computing, business technology and collaboration. He is member of the GigaOM Pro Analyst Network, top cloud computing blogger in Germany and one of the worldwide top 50 bloggers in this area. In addition, he is one of the world's top cloud computing influencers. For more than 16 years he is focused on the strategic use of information technology in businesses and the IT impact on our society as well as disruptive technologies. Rene is the author of numerous professional cloud computing and technology articles, speaker and participant of experts rounds. On CloudUser.de he writes about topics from the fields of cloud computing, it-infrastructures, technologies, management and strategies. He is a fully qualified specialist for system integration and holds a diploma in computer engineering as well as a M.Sc. in IT-Management and Information Systems.",,,,@ReneBuest,,http://www.linkedin.com/in/renebuest,,,,,,y
y,y,y,y,m,Dave,Campbell,"CTO, Cloud and Enterprise",Microsoft,"CTO, Cloud & Enterprise, Microsoft",,,Speaker,y,"Dave Campbell is the CTO of Microsoft's Cloud and Enterprise group. In this role he helps formulate, implement and communicate Microsoft's cloud strategy. Dave has over 25 years of enterprise software experience and has been at Microsoft for 19 years. He has primarily focused on data management challenges and has held a variety of product development roles within Microsoft's SQL Server team. Over the last 4 years he has focused on the Azure platform and Microsoft's Big Data strategy. Dave has been around long enough to have lived through the tectonic computing shift from terminals connected to mainframe and minicomputers to client/server and web scale internet applications. He believes we are only in the first third of the full Cloud computing transition.",,,,,,http://www.linkedin.com/pub/david-campbell/4/33/10a,,,,,,y
y,y,y,y,m,Jason,Capitel,COO EMEA,EMC,"COO EMEA, EMC",,,speaker,y,"Jason Capitel is responsible for ensuring that the EMC Sales organization understands and communicates the unique value that EMC brings to its customers and business partners in EMEA. Capitel is also charged with building and maintaining relationships with EMC’s Outsourcing, System Integrator, Service Provider and Independent Software Vendor Partners. He is based at EMC’s London office. Since joining EMC in 2003, Capitel has held a variety of sales management positions within the company, including District Sales Manager and Area Sales Manager for Outsourcers, DVP America’s Alliance, and most recently moved his family to London as the DVP of EMEA Alliances. Starting in 2010 he led EMC’s Service Provider strategy and go-to-market, working with executive leadership and VCE.   Prior to EMC, Jason spent eight years at Parametric Technology in sales and leadership roles including Sector VP for Aerospace and Defense. Capitel holds a Bachelor of Science degree from Southern Illinois, in Carbondale, Illinois.",,,,,,http://www.linkedin.com/pub/jason-capitel/0/662/791,,,,,,
y,y,y,y,m,Lew,Cirne,Founder and CEO,New Relic,"Founder and CEO, New Relic",,,speaker,y,"Lew Cirne discovered the joy of building software in 1982 when he received his first computer from his parents. Three decades later, Lew has been recognized as the creator of the multi-billion dollar Application Performance Management (APM) market, and the founder of two companies with an aggregate value of over $1 billion. A developer at heart, Lew devotes time each week to building software alongside the world class engineers at New Relic. He's also a guest lecturer at Harvard and Stanford, and is the subject of a Harvard Business School case study, used to teach students the principles of successful entrepreneurship. Lew has an AB in Computer Science from Dartmouth College and serves on the boards of New Relic and the Thrive Foundation for Youth.",,,,@sweetlew,https://www.facebook.com/NewRelic,http://www.linkedin.com/in/lewcirne,,,,,,y
y,y,y,y,m,Brendan,Collins,VP of Product Marketing,"HGST, a Western Digital Company","VP of Product Marketing, HGST, a Western Digital Company",,,Speaker,y,"As the HGST Vice President of Product Marketing, Brendan Collins assures that HGST HDDs and SSDs are innovative, high quality and competitive while meeting the range of customer needs for digital storage. Under his management, HGST delivers HDDs and SSDs to enterprise, consumer and electronics, desktop and mobile computing, video and other customers. With more than 20 years of technical and management experience in the disk drive industry, Mr. Collins previously was director of Enterprise Market Development for Seagate Technology, where he focused on developing emerging business opportunities. He came to Seagate through the company’s acquisition of Maxtor Corporation, where he had advanced from senior director to vice president of Marketing, over time addressing the full range of Maxtor’s enterprise, desktop and consumer products.",y,,,@HGSTStorage,https://www.facebook.com/HGSTStorage,,,,,,,y
y,y,y,y,m,Jon,Collins,"Analyst, Inter Orbis and Analyst",GigaOM Research,"Analyst, Inter Orbis and Analyst, GigaOM Research",,,Speaker,y,"Jon Collins is principal advisor at Inter Orbis. With 25 years’ background in the technology industry, Jon has a deep understanding of the global technology infrastructures, architectures, security and governance models required, as well as hands-on experience of delivery in a variety of sectors. Jon is co-author of the IT strategy book The Technology Garden. He has written numerous papers and guides about getting the most out of technology, and is an accomplished speaker, facilitator and presenter. In Jon’s varied career he has acted as IT manager and software consultant, project manager, training manager, IT security expert and industry analyst. In recognition of his insightful, yet down-to-earth approach, Jon was named European analyst of the year by the Institute of Industry Analyst Relations in 2009.",,,,@jonno,https://www.facebook.com/quakerjon,uk.linkedin.com/in/jonnocollins/,,,,,,y
y,y,y,y,m,John,Cowan,Co-Founder and CEO, 6fusion,"CEO and Co-Founder,  6fusion",,,Speaker,y,"John is a 6fusion founder and co-inventor of 6fusion’s WAC algorithm. He is regarded as the company’s business model visionary. In addition to 6fusion’s day-to-day management responsibilities, John is responsible for the overall strategic vision and commercial direction of 6fusion. A 12-year veteran of business and product development within the IT and Telecommunications sectors, his tenure includes success creating new business during the period of telecommunications deregulation as well as developing and launching new technology products and services globally.",,,,@cownet,,http://www.linkedin.com/pub/dir/John/Cowan,,,,,,y
y,y,y,y,m,Erik,Dalen,System Engineer,Spotify,"System Engineer, Spotify",,,speaker,y,"Erik is a system engineer within the site reliability engineering at Spotify with a focus on configuration management, provisioning and automation. He is also a community contributor to Puppet and author of the puppetdbquery tool. Can be found at IRC and Github as dalen.",,,,@erik_dalen,https://www.facebook.com/erik.dalen,http://www.linkedin.com/in/dalen,,,,,,y
y,y,y,y,f,Barb,Darrow,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,Speaker,y,"Barb has covered technology and high-tech companies for longer than she’d care to admit. She started out as a reporter for InfoWorld, covering Boston-area software companies; then moved over to CRN where she managed the news staff and covered the business both in terms of technology and how technology is sold. She was also news editor for TechWeb and senior news director at TechTarget before joining GigaOM. Barb enjoys seeing how old-school IT companies are (mis)managing their transition into the cloud computing era. She has won several ASBPE awards for her news coverage. Outside of work, she loves gardening, movies and baseball.",,,,@gigabarb,,,,,,,,y
y,y,y,y,m,Richard,Davies,CEO,ElasticHosts,"CEO, ElasticHosts",,,Speaker,y,"Richard Davies is co-founder and CEO of global Cloud Hosting provider ElasticHosts, one of the first cloud providers to launch in Europe. Richard leads the team and plays a strategic role in the vision, growth and product development of the company. Richard played a pivotal role in the creation of the unique scalable platform for Elastichosts. Previous roles include Consultant at McKinsey & Company, Founding Software Engineer at Forbidden Technologies plc, a leader in web-based video tools. He is a published author from the early days of Java development.",y,,,@Elastichosts,https://www.facebook.com/ElasticHosts,http://www.linkedin.com/profile/view?id=1256498&authType=NAME_SEARCH&authToken=jo2L&locale=en_US&srchid=467583401370516264296&srchindex=1&srchtotal=1&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A467583401370516264296%2CVSRPtargetId%3A1256498%2CVSRPcmpt,,,,,,y
y,y,y,y,f,Margaret,Dawson,VP of Product Marketing and Cloud Evangelist,Hewlett Packard,"VP of Product Marketing and Cloud Evangelist, Hewlett Packard",,,speaker,y,"Margaret Dawson has more than 20 years of experience in global leadership for both start-ups and Fortune 500 technology companies, including Microsoft and Amazon.com. An avid speaker and technologist, Margaret is a frequent author and presenter on cloud computing, data management, network security, integration and other business and technology themes. She is currently Vice President of Product Marketing and Cloud Evangelist for HP Cloud Services. Prior to HP, she ran product management and marketing for two cloud start-ups in the B2B integration and data storage markets. Margaret serves on the Cloud Connect Advisory Council and the steering committee for the Cloud Network of Women (CloudNOW).",,,,@seattledawson ,,,,,,,,
y,y,y,y,f,Alexandra,Deschamps-Sonsino,Founder,Good Night Lamp,"Founder, Good Night Lamp",,,speaker,y,"I'm an interaction designer, product designer & entrepreneur based in London. I have been focusing on consumer-facing internet of things products & services since 2005. I am the founder of the Good Night Lamp, a family of internet-connected lamps. I was Co-Founder and CEO of Tinker London, a smart product design studio. Focused on creating connected product experiences that linked the digital to the physical, Tinker was the first distributor of the Arduino platform in the UK, ran workshops around the world and offered design and consultancy services to clients like BBC, BT, EDF and others. I help Xively run the London Internet of Things meetup, I am a mentor at Bethnal Green Ventures, and I used to co-curate This Happened London .",,,,@iotwatch,,,,,,,,y
y,y,y,y,m,Gavan,Egan,VP Sales,Verizon Terremark Europe,"VP Sales, Verizon Terremark Europe",,,speaker,y,"Gavan leads an organization driving the growth of Verizon Terremark’s Cloud/IT and Security Services in EMEA. Prior to assuming this leadership role Egan was responsible for Verizon’s Security Services business in EMEA. From 2005 and 2007, Egan worked as vice president and general manager of EMEA for security specialist Cybertrust.",y,,,@Terremark,https://www.facebook.com/pages/Terremark-a-Verizon-Company/242926049057477,http://www.linkedin.com/pub/gavan-egan/1/833/533,,,,,,y
y,y,y,y,m,Ulf,Ewaldsson,CTO,Ericsson,"CTO, Ericsson",,,Speaker,y,"Ulf Ewaldsson is enjoying his second year as CTO at Ericsson. He has more than 20 years' experience in product management, industry development and customer relations, which has taken him to leadership positions at Ericsson in China, Japan, Hong Kong, Hungary and Sweden. As head of Product Area Radio at Ericsson’s Business Unit Networks from 2007 to 2012, he was instrumental in helping create some of the products that reflect Ericsson’s technology leadership, including the multi-standard RBS 6000 and the antenna-integrated radio unit. He sees his primary task as CTO of Ericsson as leading the charge to re-define networks for the benefit of people, business and society. Ewaldsson has been a passionate builder of things since shortly after his birth in southern Sweden in 1965.",y,,,"@ericsson      
",www.facebook.com/ericsson,www.linkedin.com/ericsson,,,,,,y
y,y,y,y,f,Katie,Fehrenbacher,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Katie Fehrenbacher has been covering cutting-edge technology, startups and entrepreneurs in Silicon Valley for more than 7 years. She is the founding Editor of Earth2Tech, which she launched in July 2007. Prior to starting Earth2Tech she was a Staff Writer for GigaOM where she covered wireless and broadband technology. She has been a reporter at Red Herring, an editor at Engadget and began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun.",,,,@katiefehren,,,,,,,,n
y,y,y,y,m,Mike,Ferguson,CEO,Intelligent Business Strategies,"CEO, Intelligent Business Strategies",,,speaker,y,"Mike, CEO of Intelligent Business Strategies. An independent analyst, consultant and thought leader in Business Analytics, Big Data, Data Management and Smart Business - the integration of business processes and business intelligence for 'right-time' business optimisation.  Over 30 years in the industry, over 18 as an independent IT analyst, Mike has consulted for dozens of companies and spoken at events all over the world. Mike works at board level on business strategy and at detailed technical levels on BI, CPM, DG, MDM, enterprise architecture, operational BI, complex event processing, and business process management . Formerly a partner at DataBase Associates with Colin White, a Chief Architect at Teradata and a principal & co-founder of Codd and Date Europe – the inventors of the Relational Model.",y,,,,,,,,,,,y
y,y,y,y,m,Greg,Ferro,"Network Architect, Ca and Analyst",GigaOM Research,"Network Architect, Ca and Analyst, GigaOM Research",,,speaker,y,"Greg Ferro is a Network Architect and Engineer working in the UK. Over the last 25 years or so he has worked across the industry for FTSE 250 companies, and previously across Australia and Asia Pacific. Today, Greg specialises in the design and deployment of Data Centres including Network Fabrics, Data Security, Cloud and Internet. He has worked as a consultant for well known companies throughout Asia and Europe and now lives in the UK.",,,,@EtherealMind,https://www.facebook.com/Greg.Ferro.Etherealmind,http://uk.linkedin.com/in/etherealmind,,,,,,y
y,y,y,y,m,Matthew,Finnie,CTO,Interoute,"CTO, Interoute",,,speaker,y,"Matthew Finnie drives Interoute's advanced services strategy, developing the global platform that has seen the company launch its industry-leading Virtual Data Centre, Computing, Connectivity and Communications products. Interoute was named by Gartner as a leader in its pan-European Managed Hosting Magic Quadrant June 2013 (http://www.interoute.com/gartner-magic-quadrant-2013) and won Frost and Sullivan’s New Product Innovation Leadership Award, Infrastructure-as-a-Service, Europe 2013.Trained as an electrical engineer, Matthew helped develop early IP-products. As head of the Enterprise Service Development Group at Vocaltec, he worked with carriers and multi-national corporations to launch converged communication services. Matthew co-founded US-based Internet startup Insitu, which developed real-time IP collaboration tools. Matthew is a regular advisor to the European Commission on ICT research and innovation and a member of the CONNECT Advisory Forum (CAF).",,,,@interoute,https://www.facebook.com/pages/Interoute/161759680529086,,,,,,,
y,y,y,y,m,Andrew,Fogg,Founder and Chief Data Officer,Import•io,"Founder and Chief Data Officer, Import•io",,,speaker,y,"Andrew Fogg is co-founder and Chief Data Officer at London-based tech startup import.io. A scientist by training, Andrew has worked with data his entire career in both business and academia for organisations including Microsoft Research, Barclays Capital, Cambridge University and the Wellcome Trust. Andrew founded the Technology Innovation group at RBS along with fellow co-founder David White; and they have worked together ever since. After leaving RBS Andrew and David co-founded their first startup, Kusiri, with programing guru Matt Painter. After the success of Kusiri, the three founded import.io in order to make the technology behind Kusiri available to a wider audience.",,,,"@andrewfogg        
",https://www.facebook.com/andrewfogg,uk.linkedin.com/pub/andrew-fogg/7/146/1b,,,,,,y
y,y,y,y,m,John,Foreman,Chief Data Scientist,MailChimp.com,"Chief Data Scientist, MailChimp",,,speaker,y,"John Foreman is the Chief Data Scientist for MailChimp.com where he leads MailChimp's data science product development effort, the Email Genome Project (emailgenome.org). Prior to MailChimp, John worked as an analytics consultant at Revenue Analytics, Inc. and Booz Allen Hamilton where he created data science solutions for The Coca-Cola Company, Royal Caribbean International, Intercontinental Hotels Group, Dell, DoD, IRS, and the FBI.",,,,@John4man,,http://www.linkedin.com/in/johnwforeman,,,,,,y
y,y,y,y,m,Frank,Frankovsky,"VP, Infrastructure",Facebook,"VP, Infrastructure, Facebook",4,,speaker,y,"Frank Frankovsky is vice president of infrastructure at Facebook and chairman of the Open Compute Project, an initiative dedicated to reshaping the infrastructure hardware industry to be more open, more innovative, and more efficient. Prior to joining Facebook, Frank spent 14 years with Dell, where he was an integral part of building Dell's PowerEdge server business and co-founded Dell's Data Center Solutions business. Prior to Dell, he launched the industry's first rack-mounted x86 servers for Compaq. Frank holds a BA in Marketing from Stephen F. Austin State University in Nacogdoches, Texas.",y,,,,https://www.facebook.com/frankovsky,,,,,,,y
y,y,y,y,m,Adam,Fuchs,CTO,Sqrrl Data,"CTO, Sqrrl Data",,,speaker,y,"As the Chief Technology Officer and co-founder of Sqrrl, Adam Fuchs is responsible for ensuring that Sqrrl is leading the world in providing data-centric security and big data analysis infrastructure. Previously at the National Security Agency, Adam was an innovator and technical director for several database projects, handling some of the world’s largest and most diverse data sets. He is a co-founder of the Apache Accumulo project and a member of the Apache Software Foundation. Adam has a BS in Computer Science from the University of Washington in Seattle. In his spare time, Adam enjoys racing sailboats, trail running, and getting lost in the woods.",,,,@sqrrl_inc,,,,,,,,y
y,y,y,y,m,David,Fullagar,Director of Content Delivery Architecture,Netflix,"Director of Content Delivery Architecture, Netflix",,,speaker,y,"David Fullagar is Director of Content Delivery Architecture at Netflix, working on the Open Connect Network, a single purpose global video delivery infrastructure. Prior to Netflix, he led the development team for Level 3's Content Delivery Network (and before that, the same team at SAVVIS and Cable & Wireless). After growing up in Australia, he worked in Astronomy and at an ISP in the Netherlands and then a startup web development company in London before CDN architecture.",y,,,,,,,,,,,y
y,y,y,y,m,Brad,Garlinghouse,CEO,Hightail (formerly YouSendIt),"CEO, Hightail (formerly YouSendIt)",,,speaker,y,"Prior to Hightail (formerly YouSendIt), Brad was President of Consumer Applications and head of AOL's Silicon Valley operations, where he led the company's efforts to expand the global reach of its communications products and reinvigorate the company's mobile and social strategy. Brad was also the West Coast lead for AOL Ventures, the company's venture capital arm. Previously, Brad spent nearly six years at Yahoo!, serving as SVP of Communications and Communities. Under his leadership, Yahoo! Mail went from being ranked No. 3 to leading all competitors by a wide margin, and the company's messaging service rose to become the leader in that market. Brad holds a BA in economics from the University of Kansas and an MBA from Harvard.",y,,,@bgarlinghouse,,http://www.linkedin.com/in/bradgarlinghouse,,,,,,y
y,y,y,y,m,Andreas,Gauger,CMO,ProfitBricks,"CMO, ProfitBricks",,,speaker,y,"Andreas Gauger is co-founder and CMO of ProfitBricks, the IaaS company that completely reengineered the delivery of cloud computing. With headquarters in Berlin, Germany and a US office in Boston, Mass. ProfitBricks defined new levels of flexibility, price/performance and ease of use for IaaS offerings for enterprises and SMBs. Andreas started his first software company immediately after having graduated from high school and co-founded the first German web hosting company in 1995. He is a specialist in marketing and M&A and as a board member was responsible for all 1&1 products. As the 1&1 CEO 2000-2008, he was driving the internationalization of the 1&1 web hosting product line, which turned 1&1 into the largest web hosting provider in the world.",y,,,@gaugi,,,,,,,,y
y,y,y,y,m,Bhaskar,Ghosh,"Senior Director of Engineering, Data Infrastructure",LinkedIn,"Senior Director of Engineering, Data Infrastructure, LinkedIn
",,,speaker,y,"Bhaskar is Senior Director of Engineering at LinkedIn, where he leads the Data Infrastructure teams responsible for building and running the back-end platforms for data serving, analytics and warehousing that drive LinkedIn's business. Before LinkedIn, Bhaskar was Director of Engineering at Yahoo!, where he led the Serving and Marketplaces team of the Yahoo Rightmedia Ads Exchange and built one of the first real-time bidding engines in the display-ads industry. Bhaskar's initial interest in ""data"" grew from writing parallel database engines at enterprise database companies (Informix, Oracle). He has a CS PhD from Yale, has published widely in systems and dbms conferences, is passionate about open-source projects being the future of big-data (see http://data.linkedin.com/opensource) and has co-authored over twenty patents in d atabase and internet ads technologies.",,,,,,http://www.linkedin.com/in/ghoshbhaskar,,,,,,y
y,y,y,y,m,Dan,Gillmor,Author and Professor,Arizona State University,"Author and Professor, Arizona State University",,,speaker,y,"Dan Gillmor teaches media entrepreneurship and digital media literacy at Arizona State University’s Walter Cronkite School of Journalism and Mass Communication. He is author of two books, ""We the Media"" and ""Mediactive"" and writes a weekly column for the Guardian. His next book, tentatively entitled ""Permission Taken"", is about control of technology and communications -- how users are losing control while governments and corporations are gaining it, and why that is a dangerous trend for innovation and free speech. Dan co-founded two digital media startups, and is an investor and advisor to a number of others. He serves on several boards. From 1994-2005 Dan was a columnist and blogger for the San Jose Mercury News, Silicon Valley's daily newspaper.",y,,,@dangillmor,,http://www.linkedin.com/in/dangillmor,,,,,,y
y,y,y,y,m,Adrienne,Hall,"GM, Trustworthy Computing ", Microsoft ,"GM, Trustworthy Computing, Microsoft",,,speaker,y,"Adrienne Hall is a general manager of Microsoft’s Trustworthy Computing, a company tenet that focuses on creating and delivering secure, private and reliable computing experiences for everyone. Hall meets regularly with industry leaders and customers to share ideas, strategies and provide guidance and resources to advance collaboration across the industry. She speaks globally on security, privacy and online safety topics; meets with press and analysts; and manages response communications covering Microsoft software products, devices and cloud services. Hall provides Security Intelligence Report (SIR) with data from over a billion systems worldwide and analysis for 105 countries/regions to help customers manage risk within their environments. She also works with law enforcement and government agencies worldwide to address cybercrime, identity theft, and online safety issues.",y,,,,,,,,,,,y
y,y,y,y,m,Sam,Hamilton,"VP, Data Technology",PayPal,"VP, Data Technology, PayPal",,,speaker,y,"Sam Hamilton joined PayPal in April 2012 to lead the Data organization. He is responsible for building the data platforms that drive analytical insights, experimentation, risk, demand generation, machine learning, data science, and large-scale data infrastructures. Before joining PayPal, Sam was the CTO at Shopping.com leading all technology functions including research, architecture, product development, quality assurance, technical operations, infrastructure, and support. Sam’s roles prior to Shopping.com include VP of Engineering at Yahoo!, VP of Engineering at Selectica Inc., and Director of R&D and XML Evangelist at Informix (now IBM) Corporation. Sam holds a B.Sc. in Mathematics, Post B.Sc. in Computer Science, and Master of Computer Applications. He is listed as an inventor on several patent applications for Yahoo! related to online advertising and mobile monetization.",,,,,,,,,,,,y
