IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn
y,y,y,y,m,Gary,Grider,"Deputy Division Leader, HPC Division",Los Alamos National Laboratory,"Deputy Division Leader, HPC Division, Los Alamos National Laboratory",,,speaker,y,"Gary Grider is responsible for all aspects of High Performance Computing technologies at Los Alamos National Laboratory (LANL). He is one of the top experts in the country on high performance storage and high performance networks for use in large supercomputing sites. Grider was a founder of the Petascale Data Storage Institute, a SciDAC2 Institute award-winning project. Before working for Los Alamos, he spent ten years with IBM at Los Alamos working on advanced product development and test and 5 years with Sandia National Laboratories working on HPC storage systems. Gary's received a B.S. in Electrical Engineering from Oklahoma State University and an M.B.A. with emphasis in Management Information Systems, Statistics, Physics, and Mathematics also from Oklahoma State University.",y,Gary Grider is one of the top experts in the country on high performance storage and high performance networks for use in large supercomputing sites. ,,,,http://www.linkedin.com/pub/gary-grider/3/963/a10
y,y,y,y,m,Seth,Grimes,Principal Consultant,Alta Plana,"Principal Consultant, Alta Plana",,,speaker,y,"Seth Grimes is an analytics strategy consultant with Alta Plana Corporation, located near Washington DC, and a leading industry observer, focusing on business intelligence, text analytics, and decision support. He is a long-time InformationWeek contributing editor and founding chair of the Sentiment Analysis Symposium and the Text Analytics Summit.",,,,@sethgrimes,,http://www.linkedin.com/in/grimes
y,y,y,y,m,Arnab ,Gupta,CEO and Founder,Opera Solutions,"CEO and Founder, Opera Solutions",,,speaker,y,"Arnab discerned that the information explosion created an unprecedented opportunity for value creation. He knew that by combining superior talent with advanced analytics technology, a firm could distill insights from Big Data and deliver dramatic performance improvement. Accordingly, he founded Opera Solutions in 2004 and has since guided the company in providing rapid, significant, and sustained profit improvement to leading global organizations. Prior to Opera, Arnab founded and sold a number of other companies, including Mitchell Madison Group and Zeborg. He began his career at McKinsey & Co., where he was a partner; he also served as a partner at A.T. Kearney. Arnab earned an MBA from the Harvard Business School.",,,,@operasolutions,https://www.facebook.com/OperaSolutions,http://www.linkedin.com/company/18305?trk=tyah
y,y,y,y,m,David,Gutelius,Chief Social Scientist,Jive Software,"Chief Social Scientist, Jive Software",,,speaker,y,"As Jive’s Chief Social Scientist, David Gutelius is responsible for driving the enterprise social graph strategy. He was previously the CEO of Proximal Labs, a startup leveraging 'big data' for enterprise social networks that was acquired by Jive earlier this year. Prior to Proximal Labs, David was the co-founder and CTO at Social Kinetics. He additionally co-founded the Social Computing Group at SRI International's Aritificial Intelligence Center, and he served as the Product Manager on the DARPA CALO project -- the largest machine-learning project ever funded. David's background is in behavioral economics with a focus on social network theory. He was previously a visiting professor at Stanford University, and holds a Masters and PhD in economic history from Johns Hopkins.",,,,@gutelius,http://www.facebook.com/david.gutelius,http://www.linkedin.com/in/gutelius
y,y,y,y,m,Usman,Haque,Founder and CEO,Pachube,"Founder and CEO, Pachube",,,speaker,y,"Usman Haque is the founder of Pachube.com, a realtime data infrastructure for the Internet of Things used by thousands of people around the world to design, build, prototype and deploy connected devices (acquired by LogMeIn Inc in 2011). Trained as an architect, he has created responsive environments, interactive installations, digital interface devices and dozens of mass-participation initiatives. He received the 2008 Design of the Year Award (interactive) from the Design Museum, UK, a 2009 World Technology Award (art), a Wellcome Trust Sciart Award, a grant from the Daniel Langlois Foundation for Art, Science and Technology, the Swiss Creation Prize, Belluard Bollwerk International, the Japan Media Arts Festival Excellence prize and the Asia Digital Art Award Grand Prize.",,,,@uah,,http://uk.linkedin.com/in/usmanhaque
y,y,y,y,m,Derrick,Harris,Conference Chair and Writer,GigaOM,"Conference Chair and Writer, GigaOM",,,speaker,y,"Derrick has been a technology journalist since 2003 and has been covering cloud computing, big data and other emerging IT trends for GigaOM since 2009. He has written the words “cloud” and “Hadoop” possibly more than any other person on the planet. Derrick lives in Las Vegas and has a law degree from the University of Nevada, Las Vegas. Away from the office, Derrick trains in muay thai and is active in animal welfare issues.",,,,,,
y,y,y,y,m,Phil,Hendrix,"Founder and Director, immr and Analyst",GigaOM Pro,"Founder and Director, immr and Analyst, GigaOM Pro",,,speaker,y,"Dr. Phil Hendrix is the director of immr (www.immr.org), a research and consulting firm he founded to help clients bring innovative new products and services to market.  Phil works with clients to uncover customer needs, optimize product/service features, achieve competitive differentiation and accelerate market acceptance.  He is also an analyst in GigaOM's analyst network, focusing on mobile and location-based services, in particular. Before founding immr, Phil was a partner with DiamondCluster and a principal with Mercer Management Consulting (now Oliver Wyman).  Previously, he was a professor at Emory University and the University of Michigan, where he taught courses in research, buyer behavior and marketing strategy.  Phil received his PhD in Marketing from the Graduate School of Business, University of Michigan.",,,1273609845,@phil_hendrix,,http://www.linkedin.com/in/philhendrix
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Stacey is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last 11 years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas. At GigaOM, Stacey covers broadband, data center infrastructure, policy and regulation, and entrepreneurs/startups, and is particularly excited to discover news ways technology is changing the world. ",,,,,,
y,y,y,y,m,Jeremy,Howard,President and Chief Scientist,Kaggle,"President and Chief Scientist, Kaggle",,,speaker,y,"Jeremy is President and Chief Scientist at Kaggle. Previously, he founded FastMail (sold to Opera Software) and Optimal Decisions (sold to ChoicePoint). Previously he worked in management consulting, at McKinsey & Company and A.T. Kearney. Jeremy's passion is applying algorithms to data. At FastMail he used algorithms to automate nearly every part of the business . Optimal Decisions was a business entirely built to commercialise a new algorithm he designed for the optimal pricing of insurance. Jeremy competes regularly in data mining competitions, which he uses to test himself and stay on the leading edge of machine learning and predictive modelling technology. He is currently ranked #1 on Kaggle's overall competitor rankings, out of over 16,000 data scientists.",,"Jeremy Howard’s passion is applying algorithms to data, competing regularly in data mining competitions to stay on the leading edge of machine learning and predictive modelling technology.",,@jeremyphoward,,http://www.linkedin.com/pub/jeremy-howard/0/27/4a8
y,y,y,y,m,Eric,Huls,VP,Allstate Insurance Company ,"VP, Allstate Insurance Company ",,,speaker,y,"Eric is Vice President of Predictive Modeling in Allstate's Quantitative Research & Analytics Department. In this role he is responsible for rating plan design, price optimization, and data analytics.",,,,,,http://www.linkedin.com/pub/eric-huls/20/a2a/5b2
y,y,y,y,m,Jason,Hunter,Deputy CTO,MarkLogic,"Deputy CTO, MarkLogic",,,speaker,y,"Jason Hunter is the Deputy CTO at MarkLogic, and the co-inventor of MarkMail.org. Jason is the author of ""Java Servlet Programming"" (O'Reilly Media) and the creator of the JDOM open source project for Java-optimized XML manipulation. He's also an Apache Software Foundation Member and former Vice-President, and as Apache's representative to the Java Community Process Executive Committee he established a landmark agreement for open source Java. He's an original contributor to Apache Tomcat, a member of the expert groups responsible for Servlet, JSP, JAXP, and XQJ API development, and a recognized Java Champion.",,,,,,
y,y,y,n,m,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew Ingram is a senior writer with GigaOM. Prior to that he was an award-winning journalist with the Globe and Mail who spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Until January 2010 he was the Globe’s first online Communities Editor, helping the paper and its staff understand and appreciate the benefits of social-media tools such as blogs, comments and Twitter. He also launched the Globe’s ground-breaking Public Policy Wiki, writes for the Nieman Journalism Lab at Harvard University and is one of the founders of Mesh, Canada’s leading Web conference.",,,,,,
y,y,y,y,m,George,John,CEO,Rocket Fuel,"CEO, Rocket Fuel",,,speaker,y,"George John is CEO of Rocket Fuel. Prior to co-founding Rocket Fuel, George led teams building high-tech systems to optimize marketing at Yahoo!, salesforce.com, Epiphany, and IBM in roles spanning engineering, marketing, sales, and executive management. He served as senior director for behavioral targeting and personalization at Yahoo!, and t salesforce.com led product initiatives in dashboards and analytics. As employee number thirteen at Epiphany, George created a suite of data mining tools that helped the company grow from $0 to $127M in revenue and an IPO in three years. Previously, he was the first senior data mining analyst in the Global Business Intelligence Solutions division of IBM. He holds BA, MA, and PhD degrees in computer science from Stanford University.",,,,@rocketfuelinc,,http://www.linkedin.com/in/ghjohn
y,y,y,y,m,Jeff,Jonas,"Chief Scientist, Entity Analytics",IBM,"Chief Scientist, Entity Analytics, IBM",,,speaker,y,"Jeff Jonas is Chief Scientist, IBM Entity Analytics Group and an IBM Distinguished Engineer. The IBM Entity Analytics Group was formed based on technologies developed by Systems Research & Development (SRD), founded by Jonas in 1984, and acquired by IBM in January, 2005. Jonas designs next generation technology that helps organizations better leverage their enterprise-wide information assets. With particular interest in real-time “sensemaking” these innovative systems fundamentally improve enterprise intelligence which makes organizations smarter, more efficient and highly competitive. He is a member of the Markle Foundation Task Force on National Security, on the EPIC Board of Advisors, a Senior Associate at the Center for Strategic and International Studies and a board member of the US Geospatial Intelligence Foundation.",,,,@jeffjonas,,
y,y,y,y,m,Karthik,Kannan,"Co-Founder and VP Products 
",Cetas Software ,"Co-Founder and VP Products, Cetas Software ",,,speaker,y,"Karthik Kannan is VP of Products at Cetas, a Big Data analytics company. At Cetas he is responsible for product strategy and building a partner ecosystem around cloud-based business analytics. Prior to Cetas, he was VP of Marketing and Business Development at Kazeon, a leading eDiscovery company which was acquired by EMC in 2009. Karthik's background also includes running product management at NetApp where he was responsible for setting product strategy for the information management, compliance and near line storage (software) areas. He also worked in Goldman Sachs in the technology arm of the Investment Banking Division, as well as has held several technology consulting positions.",,,,@KarthikBigData,,http://www.linkedin.com/pub/karthik-kannan/3/323/5b0
y,y,y,y,m,Ryan,Kim,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Ryan has covered personal technology and wireless for the San Francisco Chronicle before joining GigaOM. He is based in New York and covers a number of topics including mobile development, app economies and East Coast start-ups.",,,,,,
y,y,y,y,m,Aaron ,Kimball,CTO,WibiData,"CTO, WibiData",,,speaker,y,"Aaron is the CTO of WibiData, Inc., a software company that engineers solutions for the large-scale user-centric data challenges that face today’s enterprises. He is a committer on the Apache Hadoop project and has been working with Hadoop since 2007. Aaron previously worked at Cloudera, a company which provides an enterprise platform, support and services built around Hadoop. Aaron founded the open source Sqoop data import tool and MRUnit Hadoop testing library projects. Aaron holds a B.S. in Computer Science from Cornell University and a M.S. in Computer Science from the University of Washington.",,,,@aaron_kimball,,
y,y,y,y,m,Jed,Kolko,Chief Economist and Head of Analytics,Trulia,"Chief Economist and Head of Analytics, Trulia",,,speaker,y,"Jed Kolko, Chief Economist and Head of Analytics, oversees Trulia's research programs. Applying a background in economic development and research methods, he transforms real estate data, economic trends, and public policy debate into digestible insights for home buyers, sellers and renters. In Jed’s prior role as Associate Director and Research Fellow at the Public Policy Institute of California, he led research projects and advised policymakers and business leaders on economic, housing and technology policies. Before his work at PPIC, Jed directed Forrester Research's consumer-technology market research, advising corporate executives on technology adoption and demand. Jed earned his A.B. in social studies and his Ph.D. in economics at Harvard University.",,,,@jedkolko,,http://www.linkedin.com/pub/jed-kolko/0/2b3/84
