Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
1:20 PM,Bonus Session: Olympics Video Preview,,"Come back early from lunch for a special sneak preview of the 2010 Vancouver Olympics online experience. A Bay Area agency named Vertigo has built the custom NBC Sports Silverlight player that will give U.S. viewers access to 23 different live video feeds in full HD with DVR capabilities. Get a glimpse of what the Games will look like and a peek behind the scenes of the workflow, logging, tracking, monetization and authentication involved.
",,,,Scott Stanfield,CEO,Vertigo,
1:30 PM,Flash-Forward to the Future,,"Adobe is the undisputed king when it comes to online video viewing. The company's acquisition of Macromedia and its Flash platform has enabled it to create a vertically integrated chain of production technology whose end point is the most popular video player on the planet. In this fireside chat, we ask Kevin Lynch, Adobe's chief technology officer, to talk about what he expects the big issues in the online video world to be.",Sebastian Rupley,Editor-in-Chief,GigaOM,Kevin Lynch,CTO,Adobe Systems,
1:50 PM,TV Network 2.0,,"Quincy Smith has led CBS Interactive through one of the most interesting times in television history and made some of the biggest bets on digital, such as with the acquisition of CNET; March Madness On Demand and other live sports stream; and the wide online syndication of CBS shows. He's on the front lines of TV Everywhere trials and knows firsthand the decisions that are being made about the next generation of content consumption offerings. We'll ask him to lay out what the TV network of the future looks like.",Om Malik,Founder,GigaOM,Quincy Smith,CEO,CBS Interactive,
"2:10 PM
",Making Katie Couric Sing,,"Combining technical mastery of Auto-Tune, green screening, actual singing and humor, the folks behind ""Auto-Tune the News"" set a high bar for themselves in absurd political commentary when they launched the show. The songs have since grown catchier and the commentary more pointed -- T-Pain even made a cameo. Hear the story of this breakout hit from creator Michael Gregory himself.",Liz Shannon Miller,Reviews Editor NewTeeVee,GigaOM,Michael Gregory,"Creator, ""Auto-Tune the News""","Gregory Residence Records
",
"2:30 PM
",The New Ratings Game,,"Nielsen has long been synonymous with TV ratings. But the long-held notion of what a television audience consists of is undergoing a massive shift. Audiences are no longer just crowding around the old TV in the living room. They are consuming video on TV, the web, mobile devices and more, and the networks want to make sure every set of eyeballs is counted. Brian Fuhrer will talk about how Nielsen is adapting to this newteevee world, and how efforts like TV Everywhere play into ratings measurement.",,,,Brian Fuhrer,"SVP, Media Program Leader",The Nielsen Company,
2:40 PM,Where YouTube Goes From Here,,"YouTube has done more than any company in the world for online video, but it's still trying to define a space that's in its infancy as a business. YouTube's head of product gives us some perspective on how the site is prioritizing its many challenges and opportunities.",Liz Gannes,Co-Editor NewTeeVee,GigaOM,Hunter Walk,Director Product Management,YouTube,
3:00 PM,Will Broadband TVs Connect with Consumers?,,"These aren't your grandfather's TV sets, or even your older brother's. Instead of just watching shows, net-connected TVs will let you catch up on news, check the weather and order movies (or a pizza) with your remote control. With VIZIO's new line of broadband TVs now rolling out, VP Matt McRae shows you what your TV is capable of, and what's in store.",Michael Wolf,"VP Research, GigaOM Pro",GigaOM,Matthew McRae,VP and GM Advanced Technology Products,VIZIO,
3:20 PM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,Rovi Workshop – Room 1,“What’s On” and “What’s Coming Up Next” on the TV:  What Do Consumers Really Want From Their Digital Home Entertainment Experience?   ,"Content distributors are fighting to get inside the TV. The incumbent, TV shows, are continuing to morph in order to stay relevant in the face of new content such as streaming radio, personal photos and online content. As a virtual “alphabet soup” of digital content, platforms and applications emerge, what are the compelling features that consumers crave for the ultimate home entertainment experience? This session will address what consumers expect to debut in prime time on today’s and tomorrow’s digital TV, and how the ecosystem can satisfy consumers’ insatiable appetite for downloading content while still monetizing this demand into profitability.",Michael Wolf,"VP Research, GigaOM Pro",GigaOM,Richard Bullwinkle,Chief Evangelist,Rovi Corporation,
,,,,,,,Itzik Cohen,Founder and CEO,ClipSync,
,,,,,,,Matt McKee,VP of Content Acquisitions and Business Development,ZillionTV,
,,,,,,,Paul Sweeting,"Curator, GigaOM Pro",The GigaOM Network,
,Cisco Workshop – Room 2,Shift Happens! A Contemporary Saga of Disruption and Strategy,"Shift is happening in consumer behavior,  content consumption and business models  across the video ecosystem.  This workshop discusses suggested strategies to manage these shifts effectively. Many examples of these strategies in action by service and content providers will also be provided.",,,,Pankaj Gupta,"Senior Manager, IP Video",Cisco,
4:00 PM,TV Gets Social,,"CNN and Facebook kicked off 2009 with a landmark integration for U.S. President Barack Obama’s inauguration. Signed-in watchers saw a live-updating stream of their friends’ comments on the event, creating an implicitly defined, ad-hoc chat room. Hear what works and what's next from the two companies who joined forces to spark what's fast becoming a social TV revolution.",Liz Gannes,Co-Editor NewTeeVee,GigaOM,Andy Mitchell,VP of Digital Marketing and Development ,CNN Worldwide,
,,,,,,,Randi Zuckerberg,Marketing,Facebook,
4:20 PM,"NewTeeVee's Next Big Thing, Session 2",,"The editors of NewTeeVee chose 10 of the most promising young players in the online video space to project the future. Each of the presenters from our diverse list of companies will tell us what's next on their respective road maps, and identify where they think the industry is going. Taken together, we'll get a heterogeneous yet cohesive look at the most interesting upcoming trends, technologies and projects in online video.",,,,Matt Cutler,VP Marketing and Analytics,Visible Measures,
,,,,,,,Brent Friedman,President,Electric Farm Entertainment,
,,,,,,,Angela Wilson Gyetvan,"VP, Sales and Marketing ","3ality Digital
",
,,,,,,,"Bismarck Lepe
",Co-Founder and President of Product Strategy,Ooyala,
,,,,,,,Jeremy Reed,"SVP, Content and Editorial",Demand Media,
5:00 PM,Roku's Little Box Has Big Plans for Your Living Room,,"Don't let its simplicity fool you. Roku's little set-top box is a powerful device and could be a game-changer when it comes to how people get their video. The company already has big-name partnerships with Netflix, Amazon VOD and MLB.TV, with more to come. Anthony Wood will talk about Roku's unique approach to the set-top world and show you the latest services available on the device.",Chris Albrecht,Co-Editor NewTeeVee,GigaOM,Chuck Seiber,VP Marketing, Roku,
5:20 PM,Transforming a MSM Brand,,"PBS has embarked on an ambitious strategy to use online video and social media to transform its brand.  Learn why the press and audience are hailing the change with words not always associated with public television, including “cool,” “modern,” and “sick nasty.” Hear about some industry firsts, including a  repurposing of linear television into an interactive melding of video and games that has driven a 10x growth in streams.",,,,Jason Seiken,"SVP, Interactive",PBS,
5:30 PM,Redbox Re-Invents Rentals,,"With more than 15,000 locations across the U.S. offering aggressive $1-a-night movie rentals, DVD kiosk company Redbox has quickly become a formidable force in the video industry. We'll talk with Gary Cohen about how the company is managing its meteoric growth, dealing with evolving industry sentiment, and what's in store (literally) for Redbox.",Chris Albrecht,Co-Editor NewTeeVee,GigaOM,Gary Cohen,SVP of Marketing and Customer Experience,"Redbox
",
5:50 PM,Money Talks,,"Though we chucked most of the NewTeeVee Live panels out the window this year, we had to bring back our popular VC panel. With so much of the video industry dependent on private funding, their opinion does matter! The VCs will cap off the day with straight talk on what interested them at the conference, what they want to invest in next, and what is simply never going to be a business.",Allen Delattre,"Managing Director, Electronics and High Technology","Accenture
",Dan Beldy,Managing Director,Steamboat Ventures,
,,,,,,,Bill Gurley,General Partner,Benchmark Capital,
,,,,,,,Chris Hollenbeck,Managing Director,Granite Ventures,
,,,,,,,David Horowitz,Managing Director,Comcast Interactive Capital,
6:30 PM,Closing Remarks,,,,,,,,,
6:35 PM,Cocktail Reception,,,,,,,,,
