Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp
y,y,y,y,m,David,Kaiser,CEO and Co-Founder,Coincident TV ,"CEO and Co-Founder, Coincident TV",,,speaker,y,"David Kaiser is the co-founder and chief executive officer of Coincident TV. A serial entrepreneur and founder of seven startup companies, in 1998 Kaiser established RespondTV, an earlier pioneer in the interactive TV space.  Previously, he was the co-founder and vice president of engineering at Navisoft, which was acquired by AOL in 1994. Kaiser was also the first vice president of engineering at Macromedia where he led the development for Director, a product that revolutionized digital animation. Kaiser started his career and worked for thirteen years at NASA Ames Research Center doing early work in computer graphics, virtual environments and super computing. Kaiser holds a Bachelor of Arts in computer science from the University of California, Berkeley.  ",
y,y,y,y,m,Jason,Kilar,CEO ,Hulu,"CEO, Hulu",1,,speaker,y,"Jason Kilar serves as the CEO of Hulu. Jason joined Hulu after nearly a decade at Amazon.com where he served in a variety of key leadership roles. After writing the original business plan for Amazon's entry into the video and DVD businesses, he ultimately became Vice President and General Manager of Amazon's North American media businesses, which included the company's books, music, video, and DVD categories. He later served as Senior Vice President, Worldwide Application Software, where he led an organization of hundreds of world-class technologists. He received his M.B.A. from Harvard Business School and graduated Phi Beta Kappa from the University of North Carolina, Chapel Hill, where he studied Business Administration and Journalism & Mass Communication.",
y,y,y,y,m,Tim ,Kring,Storyteller,TKE imperative ,"Storyteller, TKE imperative ",,,speaker,y,"76 million “Heroes” fans around the world know the name Tim Kring, and tuned in weekly across broadcast TV, cable, online and mobile to follow plotlines about ordinary people who discovered they possessed extraordinary abilities.  As part of the most watched television program in the history of TV, “Heroes Evolutions” won the Primetime Emmy® for Interactive Television in 2008. During the summer of 2010, Kring launched the “Conspiracy For Good”, a global movement that allows the audience to become part of the story to create positive real world change.  The first pilot, “Read the Signs”, engaged consumers online, via ARG elements, Nokia mobile apps, and on the streets of London while incorporating charitable and social benefits. ",
y,y,y,y,m,Jim,Lanzone,Founder and CEO,Clicker.com,"Founder and CEO, Clicker.com",,,speaker,y,"Jim Lanzone is the founder and CEO of Clicker.com, launched in November 2009, which provides the first comprehensive, unbiased, and structured programming guide for Internet television.  Clicker has been named one of the Top 100 Sites of 2010 by PCMagazine, OnMedia's Top 100 Private Companies, 8 Companies That Are Reinventing Television by Mashable, and 5 Best PC Movie & TV Services by PCWorld.  GQ called Clicker the ""TVGuide for Internet television"". Jim is the former CEO of Ask.com, where he held several executive roles between 2001 and 2008, including SVP of Product Management and GM of Ask.com US. Before moving to Ask.com, Lanzone was co-founder and president of eTour.com, an early website ""discovery engine"" that was acquired by Ask in May 2001.",
y,y,y,y,m,Ryan,Lawler,Editor NewTeeVee,GigaOM,"Editor NewTeeVee, GigaOM",,,speaker,y,"Ryan has spent the last 5 years covering business, technology, and telecom-related subjects for a variety of publications based in New York. He’s the newest staff writer for GigaOM and NewTeeVee, but spent the previous two years following online video and digital media trends at Contentinople. Prior to that, Ryan covered telecom infrastructure for Light Reading.",
y,y,y,y,m,Kevin,Lynch,CTO,Adobe Systems Incorporated,"CTO, Adobe Systems Incorporated",2,,speaker,y,"As chief technology officer, Kevin Lynch is responsible for shaping Adobe's long-term technology vision and driving innovation across the company, fueled by Adobe's mission to revolutionize how people engage with ideas and information. He oversees the company's advanced technology labs and experience design team, leveraging their talent and expertise to identify and pursue new research and technology initiatives. Lynch also has responsibility for Adobe's shared technologies across business units. Lynch joined Adobe through the company's 2005 acquisition of Macromedia, Inc., where he served as chief software architect and president of product development. Lynch studied interactive computer graphics at the University of Illinois, working with artists and engineers in the Electronic Visualization Laboratory.",
y,y,y,y,m,Olivier,Manuel,Director of Content,Samsung Electronics America,"Director of Content, Samsung Electronics America",8,,speaker,y,"Olivier Manuel is Director of Content at Samsung Electronics America, where he pioneered the launch of Samsung’s connected TV products--first with the InfoLink service in 2008 and then with Yahoo Widgets in 2009--achieving a #1 market share in the connected TV category.  Most recently, he launched Samsung Apps, the first app store for TVs and Blu-ray players. Olivier has experience leading successful innovation projects in the US, Europe, and Asia for companies ranging from startups to the Fortune 100. He has an MBA with Distinction from Harvard Business School and a BA with honors from Harvard College.
",
y,y,y,y,m,Peter,Merholz ,President ,Adaptive Path,"President, Adaptive Path",,,speaker,y,"Peter Merholz is a founding partner and president of Adaptive Path, an experience strategy and design firm, where he has been instrumental in developing the company's ability to provide world-class consulting, training, and public events. Peter has worked with a variety of clients, from large multi-national companies to smaller leading-edge startups, including Hallmark, Wells Fargo, and SK Telecom. Recognized internationally as a thought leader on user experience, Peter is perhaps best known for coining the term ""blog"" in 1999. He co-wrote _Subject to Change_: Creating Great Products and Services for an Uncertain World.",
y,y,y,y,m,Jeff,Miller,President and CEO,ActiveVideo Networks,"President and CEO, ActiveVideo Networks",,,speaker,y,"Over the past five years, Jeff has led ActiveVideo Networks’ transformation from a provider of interactive TV technology to an enabler of immersive CloudTV content experiences on the television.  Under Jeff’s leadership, ActiveVideo is powering a OnePlatform approach that is bringing Web-based channels and applications to approximately 5 million homes.  Jeff has accelerated deployments with cable and IPTV providers, has driven the integration of CloudTV capabilities into broadband-connected CE devices, and has built the worldwide footprint of ActiveVideo through shrewd acquisitions of TAG Games and Avinity Networks B.V. A successful entrepreneur, Jeff co-founded and served as president of embedded computer manufacturer RISQ Modular Systems, taking the company from the pre-revenue stage through five years of profitable growth and an acquisition  by SMART Modular Technologies (NASDAQ:SMOD).  Jeff joined ActiveVideo as Vice President of Engineering in 2000, after having served as Vice President of Consulting Engineering and Applications for SMART Modular Technologies. Jeff holds a BS in electrical engineering from the University of California, Santa Barbara and an MS in systems management from the University of Southern California. ",
y,y,y,y,m,Bill,Niemeyer,Senior Analyst,The Diffusion Group,"Senior Analyst, The Diffusion Group",,,speaker,y,"Bill Niemeyer is a New Video Strategist & Tactician. He provides leading firms with consulting and research regarding business topics for advanced video advertising on broadband, Over The Top video, VOD, DVRs, interactive TV, mobile/portable and other new digital video platforms, plus related issues in technology, content and consumer behavior. His work is widely regarded as providing market-leading insights informed by his 11 years in advanced TV/video. Bill previously served for four years as Chief of Analysis and Research for BlackArrow, provider of ad management technology for advanced TV and video.  He previously was an advanced TV consultant and an executive with interactive TV technology firm Spiderdance. Bill is a member of the Academy of Television Arts and Sciences.",
y,y,y,y,m,Bryan,Perez,SVP and GM,NBA Digital,"SVP and GM, NBA Digital",9,,speaker,y,"Bryan Perez is the senior vice president and general manager for NBA Digital responsible for the day-to-day operations of the NBA Digital portfolio which includes NBA TV, the league’s 24-hour digital television network, NBA.com, WNBA.com, NBADLeague.com, NBA League Pass, as well as the league’s broadband and wireless businesses. Perez oversees all aspects including programming, operations, editorial, ecommerce and marketing. Perez earned his juris doctorate degree and MBA from Stanford University and his bachelor of business administration from the University of Texas at Austin.",
y,y,y,y,m,Janko,Roettgers,Co-Editor NewTeeVee ,GigaOM,"Co-Editor NewTeeVee, GigaOM",,,speaker,y,"Janko has been covering all things tech for more than ten years. His career as a technology journalist began in Germany, where he published a number of books about subjects like the online music revolution and Internet subcultures. In the last few years, Janko has been reporting for radio networks, magazines and newspapers in Germany and beyond. He started to contribute to NewTeeVee soon after its launch and eventually became its co-editor at the end of 2009.",
y,y,y,y,m,David,Schleef,CEO,Entropy Wave,"CEO, Entropy Wave",,,speaker,y,"David Schleef is the founder and CEO of Entropy Wave, a San Francisco based company providing products and services that enable its customers to use open video technology such as WebM and Ogg/Theora for archival, professional editing, broadcasting, and content distribution. For 15 years, David has been an active member in the open source community, most recently focusing on projects such as GStreamer, a cross-platform multimedia framework, the Dirac video codec, and various Xiph.org projects.",
y,y,y,y,m,Michael,Seibel,Co-Founder and CEO,Justin.tv,"Co-Founder and CEO, Justin.tv",,,speaker,y,"Michael Seibel is the co-founder and CEO of Justin.tv. His responsibilities include overseeing all operations for the company as well as investor relations, business development and monetization strategy. During Michael’s tenure as CEO, Justin.tv has grown to be the largest live video site on the Web, and now boasts more than 30 million unique visitors each month. Before joining Justin.tv, Michael was the Finance Director for Kweisi Mfume’s U.S. Senate campaign. In addition to leading all fundraising activities for the former president of the NAACP, Michael organized and hosted major events across the Midwest, East and Southeast regions, and coordinated print and online fundraising efforts.",
y,y,y,y,m,Brian ,Seth Hurst,CEO,The Opportunity Management Company,"CEO, The Opportunity Management Company",,,speaker,y,"Brian Seth Hurst is CEO of The Opportunity Management Company, a strategic consultancy driving the next generation of entertainment. Referred to as “the father of cross platform”, Hurst coined the term in 1998 as MD of Convergent Media, Pittard Sullivan, where he launched TV Guide as the first ever cross platform brand. Hurst's credo “go to where your audience lives” continues to transform the relationship of audiences to brands and programming.
TOMC assists clients in extending their programming and building communities on new platforms; and has a rich practice in the building of “cross and transmedia ecosystems”. Clients have included: Showtime, Lifetime, NBCUniversal, Intel, and AOL and successful start-ups Nixle and Paltalk. Hurst is at work on Tim Kring’s next project the “Conspiracy For Good”. 
",
y,y,y,y,f,Liz,Shannon Miller,Co-Editor NewTeeVee ,GigaOM,"Co-Editor NewTeeVee, GigaOM",,,speaker,y,"As a co-editor of NewTeeVee, Liz Shannon Miller reviews the best and worst in web content, and has been called the Pauline Kael of online video by at least one person. She has been covering the online video space since 2006, is a member and co-founder of the International Academy for Web Television, and has curated the front page of YouTube with her web series picks. She is also a playwright and filmmaker in her very limited free time. Based in Los Angeles, she holds a degree in screenwriting and interactive multimedia from USC, and enjoys space battles, old school funk and videos of cats.",
y,y,y,y,m,Joshua,Siegel,"Product Lead, Live Streaming",YouTube,"Product Lead, Live Streaming, YouTube",,,speaker,y,"Joshua Siegel is YouTube's Lead Product Manager for Live Streaming and Video Creation.  In this role he drives the vision and roadmap for the YouTube Live platform, the cloud-based YouTube Video Editor, and for YouTube Upload – responsible for over 24 hours of video uploaded every minute.  Prior to YouTube, Joshua worked on Google's Mobile Search team, leading efforts to integrate user location and enhance the overall local search experience from mobile devices.  Before joining Google, Joshua worked in strategy and professional services for companies including Microsoft, VMware, and Oracle.  He holds a bachelor's degree in computer science from Brown University and an MBA in technology marketing from the Kellogg School of Management.",
y,y,y,y,m,Frank,Sinton,CEO and Co-Founder,MeFeedia,"CEO and CoFounder, MeFeedia",,,speaker,y,"Frank Sinton is the co-founder and CEO of Mefeedia, a multimedia search engine that aggregates 200, 000 video feeds in one place. MeFeedia also owns and operates The All Player, an advertising technology platform that makes it simple for video publishers and advertisers to monetize video across any format, player or device including HTML5. Frank has grown MeFeedia  5 million video consumers each month and developed direct distribution relationships with TV networks, studios and the web’s most popular publishers while The AllPlayer ad platform now serves more than fifty million video ads a month. Before founding MeFeedia.com, Sinton spearheaded the strategic technology vision at Sony Pictures Entertainment where he developed the search engine powering successful start up, Business.com. ",
y,y,y,y,m,Robin,Sloan,Media Partnerships,Twitter,"Media Partnerships, Twitter",,,speaker,y,"Robin Sloan works on media partnerships at Twitter, helping TV networks & websites use tweets in innovative, meaningful ways. Before that, he was a strategist at Current, an independent TV network co-founded by Al Gore and Joel Hyatt, and a reporter and producer at the Poynter Institute, a journalism school and think tank. Before Poynter, he graduated from Michigan State with a degree in economics. He's also a writer who works at the intersection of storytelling and technology. You can learn more about him at robinsloan.com, and follow along at @robinsloan.",
y,y,y,y,m,Buddy,Snow,"Senior Director, Solutions Marketing,Broadband Home Solutions",Motorola Mobility,"Senior Director, Solutions Marketing,Broadband Home Solutions, Motorola Mobility",,,speaker,y,"Snow’s experience includes over 20 years of engineering, marketing, and executive management for consumer, broadband, and digital video products. He has spent the last 12 years developing and selling products into the worldwide cable television and IPTV markets. His previous experience includes senior management positions with Terayon, Harmonic, DIVA Systems Corp., and General Instrument, responsible for a variety of product categories such as compression, video processing, VOD, SDV, back office software systems, and broadband modems and gateways including voice and home networking.  Prior to broadband, Snow spent eight years working for Apple Computer, Inc. Snow holds a BS degree from North Carolina State University in Computer Science with a minor in Mathematics, graduating Summa Cum Laude.   He also holds a patent in human interface design.
",
y,y,y,y,m,Nova,Spivack,Co-Founder and President,Live Matrix,"Co-Founder and President, Live Matrix",,,speaker,y,"Nova Spivack is co-founder and President of Live Matrix, the first guide to live and upcoming scheduled events on the Web. Nova is a top thought leader on the future of the Web and a leading pioneer in Semantic Web technology. He was most recently the founder and CEO of Radar Networks, the makers of Twine.com (a semantic search engine acquired by Evri, Inc. in 2010), and is a serial entrepreneur whose previous ventures have included one of the first Web companies, EarthWeb (IPO in 1998; now Dice.com), which Nova co-founded in 1994, SRI’s technology venture incubator nVention, and his own early stage startup factory, Lucid Ventures.",
y,y,y,y,m,Hardie,Tankersley,"VP, Innovation", Fox Broadcasting Company,"VP, Innovation,  Fox Broadcasting Company",10,,speaker,y,"Hardie develops online strategy and social media applications for FOX Broadcasting Company. He started creating online and interactive entertainment by building a local BBS on a 300 baud modem on an Apple II back in the 70s. In the intervening years he has managed the development of online entertainment products including internet access for Apple’s eWorld, the official backstage webcast of the Grammy Awards, the Moxi cable media center DVR, the online video portal for Real Networks, and Yahoo!’s TV and Movies properties. He thinks that conventional wisdom is almost always wrong.",
y,y,y,y,m,Hunter ,Walk,Director Product Management,YouTube,"Director Product Management, YouTube",3,,speaker,y,"Hunter leads consumer product management at YouTube, delivering 2+ billion playbacks a day to the world's largest video community.  Since joining Google in 2003, he has also lead the development of Google Video's Syndication & Distribution and managed product and sales efforts for AdSense, Google's contextual advertising business. Prior to this, as a founding member of the product and marketing team at Linden Lab, Hunter helped build the noted virtual world Second Life. Earlier, he was a management consultant and also spent a year at Late Night with Conan O'Brien, broadcasting to an audience of insomniacs, truckers and college students. Hunter has a BA in History from Vassar and an MBA from Stanford University.",1286838167
y,y,y,y,m,Michael,Wolf,VP Research,GigaOM Pro,"VP Research, GigaOM Pro",,,speaker,y,"Michael has spent more than 10 years as an industry analyst, starting at In-Stat and launching the company’s consumer networking and digital media research services, and more recently was the digital home practice director for ABI. He has been a columnist for Network World and has written a book on home networking for consumers. At GigaOM Pro, he oversees the overall research efforts and serves as curator for the Connected Consumer. He holds a Master’s in International Management from Thunderbird. Michael's expertise includes: Business of Technology, digital media, home networking, mobile content, online video, video games, social media, online publishing, media markets, pay-TV, pay and online video advertising, mobile advertising, silicon, connected entertainment.",
y,y,y,y,m,Merton ,,Improvisational Pianist,,Improvisational Pianist,,,speaker,y,"Merton is an improvisational pianist and comedic performer who rose to prominence earlier this year as a result of his ChatRoulette Piano Improv videos on YouTube.  His first video has now received over 11 million views, and it became the Highest-Rated YouTube Video of All Time. Merton now focuses on live performances, both in-person and via webcam.  He uses interactive improvisational songs to connect with strangers, and is currently planning to film a series of impromptu street piano performances in various cities around the world.",
