IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,David,Card,VP Research,GigaOM Research,"VP Research, GigaOM Research",,,speaker,y,"David Card has been following the intersection of technology, media, and consumer behavior 20+ years at GigaOM Pro, Jupiter Research, IDC and Forrester. At Jupiter, Card headed up digital media and marketing research, and acted as VP, research development. At IDC he was lead Microsoft and consumer Internet analyst. Aside from GigaOM, Forrester and Jupiter Forums, Card has spoken at major industry events such as E3, the Newspaper Association of America’s new media conference, the PBS/NPR new media forum, Texas University’s Online Journalism Symposium, Digital Music Forum East, Digital Hollywood, the Inverge conference, and Software Marketing Perspectives. He is frequently quoted in the traditional and online press and has appeared on ABC World News Tonight, ESPN, and NPR.",,,,@davidcard,,,http://www.linkedin.com/profile/view?id=2831692
y,y,y,y,m,Ken,Chahine,"SVP and GM, DNA",Ancestry.com,"SVP and GM, DNA, Ancestry.com",,,speaker,y,"Dr. Ken Chahine has served as Senior Vice President and General Manager for AncestryDNA, LLC since 2011. Prior to joining Ancestry.com, he held several positions, including as Chief Executive Officer of Avigen, a biotechnology company, in the Department of Human Genetics at the University of Utah, and at Parke-Davis Pharmaceuticals (currently Pfizer). He also teaches a course focused on new venture development, intellectual property, and licensing at the University of Utah’s College of Law. Dr. Chahine was recently invited to participate with the Presidential Bioethics Commission to discuss privacy issues facing the biotechnology industry. He earned a Ph.D. in Biochemistry from the University of Michigan, a J.D. from the University of Utah College of Law, and a B.A. in Chemistry from Florida State University.",,,,@ancestrydotcom,,http://www.linkedin.com/profile/view?id=14554200&locale=en_US&trk=tyah2,
y,y,y,y,m,Andrew,Cronk,CEO,TempoDB,"CEO, TempoDB",,,speaker,y,"Andrew Cronk is CEO and Co-Founder of TempoDB, the time series database service for sensors, smart meters, servers, and more. A 3x entrepreneur, he realized the incredible difficulty of storing and analyzing massive amounts of time series data while working in the geothermal industry. This data is necessary for companies to learn from the past, understand the present, and predict the future - and to prove real cost and energy savings. This is why he founded TempoDB with Justin DeLay and Mike Yagley.",,,,@ajcronk,https://www.facebook.com/andrew.cronk ,http://www.linkedin.com/in/andrewcronk,
y,y,y,y,m,Doug,Daniels,CTO,Mortar Data,"CTO, Mortar Data",,,speaker,y,"Doug Daniels is the CTO and co-founder of Mortar Data. Mortar's open source development framework and Hadoop platform-as-a-service make it easy for engineers and data scientists to build data pipelines using Pig (Hadoop) and Python. Prior to founding Mortar Data, Doug designed and built education data integration systems that move data for millions of US students and teachers every day. Doug holds a BA Computer Science from Rice University.",,,,@ddaniels888,,http://www.linkedin.com/in/ddaniels/,
y,y,y,y,f,Barb,Darrow,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Barb has covered technology and high-tech companies for longer than she’d care to admit. She started out as a reporter for InfoWorld, covering Boston-area software companies; then moved over to CRN where she managed the news staff and covered the business both in terms of technology and how technology is sold. She was also news editor for TechWeb and senior news director at TechTarget before joining GigaOM. Barb enjoys seeing how old-school IT companies are (mis)managing their transition into the cloud computing era. She has won several ASBPE awards for her news coverage. Outside of work, she loves gardening, movies and baseball.",,,,@gigabarb,,,
y,y,y,y,m,Jeffrey,Davitz,CEO,Solariat,"CEO, Solariat",,,speaker,y,"Jeffrey’s background includes an array of responsibilities with start ups including product management, core technical research and development, and marketing strategy. Prior to founding Solariat, Jeffrey was a Program Manager at SRI’s Artificial Intelligence Center where he founded and managed the Social Computing Group. While at SRI, Jeffrey was on the management team of the CALO project — the largest AI project in history involving research and system development efforts at over 22 universities. As part of that effort, Jeffrey’s Social Computing team developed a general framework for deploying real time agents in social networks.  The framework was used to develop the first social network-based QA system. Jeffrey has degrees from the University of Chicago and Columbia.",,,,@solariat ,,,
y,y,y,y,m,Gaurav,Dhillon,Chairman and CEO,SnapLogic,"Chairman and CEO, SnapLogic",,,speaker,y,"Gaurav Dhillon is the CEO of SnapLogic, which offers the market leading enterprise cloud integration product, and counts some of the leading companies in the Global 2000 as customers. SnapLogic helps these companies connect enterprise applications to the cloud for improved business agility and faster decision-making. Gaurav has spearheaded the rapid growth of the company since he joined as CEO in 2009 after seeing the tremendous potential in the company’s products, strategy and unique business model. Previously, Gaurav co-founded and served as CEO of Informatica (Nasdaq; INFA), which he led for more than twelve years – from a startup idea in 1992 to a public company and a leader in the data integration vision he pioneered for enterprise software.",,,,@gdhillon,,http://www.linkedin.com/pub/gaurav-dhillon/1/406/488,
y,y,y,y,m,Michael,Driscoll,CEO,Metamarkets,"CEO, Metamarkets",5,,speaker,y,"Michael Driscoll is a serial entrepreneur who has built data platforms in life sciences, online retail, and digital media over the past decade. Michael began his career as a software engineer for the Human Genome Project, and later founded CustomInk.com, an early pioneer in customized apparel. More recently, Michael conceived and led Dataspora, where he remains Chairman, helping deliver data science to telcos, insurance firms, and retail banks. He is currently the CEO and co-founder of Metamarkets, a big data SaaS solution. Michael holds an A.B. from Harvard College and a Ph.D. in Bioinformatics from Boston University. He enjoys speaking and writing about big data and analytics.",y,The CEO of Metamarkets will wrangle our Guru Panel as leading practioners and thought leaders in the data science space explore the problems they face with big data and their predictions for the future.,,@medriscoll,,http://www.linkedin.com/in/medriscoll,
y,y,y,y,m,Emil,Eifrem,CEO,Neo Technology / Neo4j,"CEO, Neo Technology / Neo4j",,,speaker,y,"Emil is the founder of Neo4j, the most widely deployed graph database on the planet, and CEO of its commercial sponsor Neo Technology. He plans to save the world with graphs and own Larry's yacht by the end of the decade. He tweets at @emileifrem.",,,,@emileifrem,,,
y,y,y,y,m,Timothy,Estes,Founder and CEO,Digital Reasoning,"Founder and CEO, Digital Reasoning",,,speaker,y,"Tim Estes is the Chairman, CEO, and founder for Digital Reasoning. Tim’s academic work at the University of Virginia focused in the areas of Philosophy of Language, Mathematical Logic, Semiotics, Epistemology, and Phenomenology. It was that eclectic academic background, coupled with the belief that in the future all software would learn from data as a core capability, which gave rise to Digital Reasoning. Tim and his team at Digital Reasoning work closely with leaders in government and industry to solve extraordinarily valuable and morally compelling problems in National Security, Finance, Legal, and Health Care by automating the understanding of unstructured data. Recent Speeches: London School of Economics (2013); O’Reilly Strata Conference New York (2012); DoDIIS Worldwide Conference (2012)",y,,,@dreasoning  ,,www.linkedin.com/pub/tim-estes/0/403/2a8/,
y,y,y,y,m,Phil,Francisco,"VP, Big Data Product Management",IBM,"VP, Big Data Product Management, IBM",,,speaker,y,"Francisco brings 20+ years of experience in technology development and global marketing. As VP of Product Management, he fosters new business and product strategies and directs the product portfolio. Francisco came to IBM from the Netezza acquisition. Previously, he was VP of Marketing at PhotonEx and VP of Product Marketing for Lucent Technologies. Francisco spent 10+ years in software, hardware and systems engineering at AT&T/Lucent Bell Laboratories. Francisco holds a patent in advanced optical network architectures. He received a B.S. in Electrical Engineering and B.S. in Computer Science magna cum laude, from the Moore School of Electrical Engineering at UPENN. He earned his Master's degree in Electrical Engineering from Stanford University and completed the Advanced Management Program at the Fuqua School of Business, Duke University.",y,"The VP of Product Management shares the stage with Denise Hatzidakis, the CTO of Premier Healthcare Alliance as they explain their successes in early deployments of their own data as a platform to an internal market.",,@frisco0303,,www.linkedin.com/pub/phil-francisco/0/322/569,
y,y,y,y,m,Robert,Frohwein,CEO,Kabbage,"CEO, Kabbage",,,speaker,y,"As CEO and Founder, Rob conceptualized and co-founded Kabbage. Prior to Kabbage, Rob was CEO of LAVA Group, Inc., an intellectual property and technology investment bank. Prior to LAVA Group, Rob held the positions of SVP, Business Development and General Counsel of ZapMedia, VP of Strategic Alliances and General Counsel of Security First Network Bank, and an attorney with Troutman Sanders LLP, an international law firm. He has co-authored and published three books on intellectual property and created and co-hosted a talk radio show about jobs & careers that was sponsored by USA Today. He also has a donor's lifetime pass to the Baseball Hall of Fame in Cooperstown, NY - ask him about it.",,,,@kabbagerob,,http://www.linkedin.com/in/frohwein,
y,y,y,y,m,Ryan,Garrett,VP of Product ,MemSQL,"Co-Founder and CEO, MemSQL",,,speaker,y,"Ryan Garrett is the Vice President of Product at MemSQL. Ryan has worked at numerous companies in the data warehousing and business intelligence space, including Aster Data, Teradata and most recently ClearStory Data, where he helped shape many early product features and requirements. Ryan holds an MBA from Boston University and a Bachelor's degree in journalism from the University of Kentucky",,,,@memsql,https://www.facebook.com/memsql,www.linkedin.com/in/ryangarrett,
y,y,y,y,m,William,Gerhardt,"Director, Service Provider Practice Internet Business Solutions Group",Cisco Systems,"Director, Service Provider Practice Internet Business Solutions Group, Cisco Systems",,,Speaker,y,"William Gerhardt is a Director responsible for service provider strategy within Cisco’s Internet Business Solutions Group (IBSG), an industry-leading consulting organization that works with customer executive teams to accelerate their success in leveraging new technologies for competitive advantage. His primary objectives are to cross global theaters and segments to implement business strategies that evolve the use of mobility, video and analytics to create new opportunities for monetization while also seeking out areas for greater efficiency. Current topic areas include Fixed Mobile Convergence, Next Generation Mobile Workforce, Multiscreen TV and SP Wifi. Bill brings over 20 years of engineering, sales and product marketing experience within the telecommunications industry. Prior to joining Cisco, Mr. Gerhardt was a line of business manager within Verizon.",,,,@CiscoIBSG,https://www.facebook.com/go.cisco.ibsg,http://www.linkedin.com/pub/william-gerhardt/4/2/2bb,
y,y,y,y,m,Bhaskar,Ghosh,"Senior Director of Engineering, Data Infrastructure",LinkedIn,"       Senior Director of Engineering, Data Infrastructure, LinkedIn",,,speaker,y,"Bhaskar is Senior Director of Engineering at LinkedIn, where he leads the Data Infrastructure teams responsible for building and running the back-end platforms for data serving, analytics and warehousing that drive LinkedIn's business. Before LinkedIn, Bhaskar was Director of Engineering at Yahoo!, where he led the Serving and Marketplaces team of the Yahoo Rightmedia Ads Exchange and built one of the first real-time bidding engines in the display-ads industry. Bhaskar's initial interest in ""data"" grew from writing parallel database engines at enterprise database companies (Informix, Oracle). He has a CS PhD from Yale, has published widely in systems and dbms conferences, is passionate about open-source projects being the future of big-data (see http://data.linkedin.com/opensource) and has co-authored over twenty patents in database and internet ads technologies.",,,,@linkedin,,http://www.linkedin.com/in/ghoshbhaskar,
y,y,y,y,m,George,Gilbert,"Principal, TechAlpha Partners and Analyst",GigaOM Research,"Principal, TechAlpha Partners and Analyst GigaOM Research",,,speaker,y,"George is co-founder of TechAlpha Partnersk, a management consulting and research firm that advises clients on the technology and business implications of the shift to data-driven services delivered by cloud computing. Previously, George was the lead enterprise software analyst for Credit Suisse First Boston, one of the leading investment banks to the technology sector. During 7 years as an analyst, he advised institutional investors on Microsoft, Oracle, BEA, Veritas, SAP, PeopleSoft, JDEdwards, i2 Technologies and Siebel, among others. George advised numerous companies in the capital raising process including Actuate, Baan, CommerceOne, E.piphany, i2 Technologies, JDEdwards, Retek, and Selectica.",,,,@ggilbert41,,http://www.linkedin.com/pub/george-gilbert/2/550/466,
y,y,y,y,m,Sean,Gourley,CTO,Quid,"CTO, Quid",,,speaker,y,"Sean Gourley, Quid co-founder and CTO, did research into the mathematics of war for his PhD thesis at Balliol College, Oxford. His findings appeared as the featured article in ""Nature"" (December 2009) and were the subject of a popular TED talk (2009). His work on statistical analysis, probability, and algorithm development applied to complex systems and large datasets inspired the creation of Quid. Sean is a Rhodes Scholar PhD in Physics (Complexity) from the University of Oxford; his undergraduate degree is in Physics from the University of Canterbury, Christchurch, New Zealand.",,"The CTO of Quid shares his vision of the future of ""big data,"" the major trends that will shape it and what products will be coming down the pipeline.",,@sgourley,,http://www.linkedin.com/in/sgourley,
y,y,y,y,m,Jonathan,Gray,Founder and CTO,Continuuity,"Founder and CTO, Continuuity",6,,speaker,y,"Jonathan Gray is an entrepreneur and software engineer with a background in startups, open source, and all things data. Prior to founding Continuuity, Jonathan was a software engineer at Facebook where he helped drive HBase engineering efforts including Facebook Messages and several other large-scale projects. As an open source evangelist, he was responsible for helping build the Facebook engineering brand through open source and developer outreach. Before joining Facebook, Jonathan was the founder of Streamy.com, a consumer Internet startup founded in 2006 focused on realtime sharing and discovery of content. Streamy’s data problems led Jonathan to become an early adopter of Hadoop and HBase and a core contributor and active committer in the community.  Jonathan holds a degree in Computer Engineering from Carnegie Mellon University.",y,,,@jgrayla,,http://www.linkedin.com/in/jgrayla,
y,y,y,y,m,David,Gutelius,Chief Social Scientist,Jive Software,"Chief Social Scientist, Jive Software",,,speaker,y,"David Gutelius is Chief Social Scientist at Jive Software, driving Jive’s Data R&D and strategy. Prior to Jive, he co-founded and served as CEO at Proximal Labs, acquired by Jive in 2011. Previously, he was co-founder and CTO at Social Kinetics (acquired by RedBrick Health), a machine learning spin-out from SRI International and was Product Manager on DARPA’s CALO project, the largest AI project in history. He has a PhD in Economic History from Johns Hopkins University and taught at Stanford University.",y,,,@gutelius,http://www.facebook.com/david.gutelius,http://www.linkedin.com/in/gutelius,
y,y,y,y,m,Jeff,Hammerbacher,Co-Founder and Chief Scientist,Cloudera,"Co-Founder and Chief Scientist, Cloudera",,,speaker,y,"Prior to co-founding Cloudera, Jeff conceived, built, and led the Data team at Facebook. The Data team was responsible for inventing and building powerful data analysis applications on Hadoop. That system is the core data platform at Facebook for improving the user experience and driving revenue. Before he joined Facebook, Jeff worked as a quantitative analyst on Wall Street. He earned his Bachelor’s Degree in Mathematics from Harvard University.",,"Before co-founding Cloudera, Jeff conceived, built, and led the Data team at Facebook. Hear his thoughts on the issues he sees impeding the progress of data science.",,"@hackingdata
",http://www.facebook.com/events/109949009040390/,http://www.linkedin.com/in/jhammerb,
y,y,y,y,m,Derrick,Harris,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Derrick has been a technology journalist since 2003 and has been covering cloud computing, big data and other emerging IT trends for GigaOM since 2009. He has written the words “cloud” and “Hadoop” possibly more than any other person on the planet. Derrick lives in Las Vegas and has a law degree from the University of Nevada, Las Vegas. Away from the office, Derrick trains in muay thai and is active in animal welfare issues.",,,,@derrickharris,,,
y,y,y,y,m,Phil,Hendrix,"Director, immr and Analyst",GigaOM Research,"Director, immr and Analyst, GigaOM Research",,,speaker,y,"Dr. Phil Hendrix is the founder and director of immr and an analyst with GigaOm Pro, specializing in market opportunities for disruptive new products and services. Utilizing innovative research methods, Dr. Hendrix helps clients verify opportunities, optimize strategy and accelerate adoption. Within the digital landscape, Phil focuses on the intersection of mobile, location and social (SoLoMo), M-commerce and mobile payments. Recent reports have examined Mobile and Loyalty, Consumers' Digital Signals, SoLoMo and its Impact on Advertising and Retailing, Hyperlocal Mobile Advertising, and Location-based Innovation. Before founding immr, Phil was a partner with DiamondCluster (now PwC strategy group) and principal with Mercer Management Consulting (now Oliver Wyman). Previously, he was a professor at Emory University and the University of Michigan, where he also received his PhD.",,,,@phil_hendrix,,http://www.linkedin.com/in/philhendrix,
y,y,y,y,f,Ki Mae,Heussner,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Ki Mae joins GigaOM from Adweek, where she was a staff writer covering technology. Prior to that, she produced the science and technology section for ABCNews.com and reported on topics ranging from social media and innovation to space and science fiction. Ki Mae’s previous roles include writing for an independent political news site in Malaysia, creating public advocacy campaigns for Lifetime Television and working for a U.S. Senator. She works out of GigaOM’s East Coast office and covers New York startups. ",,,,@kheussner,,,
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",8,,speaker,y,"Stacey is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last 11 years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas. At GigaOM, Stacey covers broadband, data center infrastructure, policy and regulation, and entrepreneurs/startups, and is particularly excited to discover news ways technology is changing the world. ",,,,@gigastacey,,,
y,y,y,y,m,Ira (Gus),Hunt,CTO,Central Intelligence Agency (CIA),"CTO, Central Intelligence Agency (CIA)",,,speaker,y,"Mr. Gus Hunt currently serves as the Chief Technology Officer for the Chief Information Officer at the Central Intelligence Agency (CIA). In this capacity, Mr. Hunt is responsible for setting the strategic technology direction to enable CIA’s missions, for driving the rapid insertion and adoption of new capabilities to keep pace with technology change in the commercial sector, and for engaging actively across the IC to share and communicate IT solutions.Before joining the Agency, Mr. Hunt spent seven years in the private sector as an Aerospace Engineer designing advanced manned space flight systems and satellite orbital transfer vehicles. He holds a ME in Civil/Structural Engineering from Vanderbilt University and is married with two grown children.",y,"Ira ""Gus"" Hunt is the CTO for the CIO at the CIA and is responsible for setting the strategic technology direction to enable CIA’s missions. He joins us this year at Structure:Data to share his strategies for dealing with really large data problems.",,,,,
y,y,y,y,m,Grant,Ingersoll,Chief Scientist,LucidWorks,"Chief Scientist, LucidWorks",,,speaker,y,"Grant Ingersoll is co-founder of LucidWorks and the Apache Mahout machine learning project, a member of the Lucene community and the Apache Software Foundation. Grant worked at the Center for Natural Language Processing at Syracuse University. Grant earned his B.S. in Math and Computer Science and his M.S. in Computer Science. Grant is co-author of “Taming Text” from Manning Publications.",,,,@gsingers,,,
y,y,y,y,m,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew covers media in all its forms — social and otherwise — as well as web culture and related issues. He is an award-winning journalist who has spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Prior to joining GigaOM, he was a blogger and technology writer for the Globe and Mail newspaper in Toronto, and was also the paper’s first online Communities Editor. Mathew is one of the founders of mesh, Canada’s leading web conference.",,,,@mathewi,,,
y,y,y,y,m,Naveen,Jain,Founder and CEO,inome,"Founder and CEO, inome",,,speaker,y,"Naveen Jain has an established record as a philanthropist, entrepreneur, and technology pioneer. Mr. Jain is founder of three companies - Moon Express, InfoSpace, and currently, Inome. He is also founder and CEO of the World Innovation Institute. Mr. Jain is a member of the Board of Trustees at the X Prize Foundation and of Singularity University. He also serves as member of the Board of Directors of Flow Mobile, a company dedicated to bringing innovative mobile broadband service to under-served and un-served rural towns in the US. Naveen Jain holds a bachelors degree in engineering from the Indian Institute of Technology at Rourkee and a masters of business administration degree from XLRI Graduate School of Business in Jamshedpur.",,"As CEO of Inome, this philanthropist, entrepreneur, technology pioneer and the founder of three companies addresses putting people before data.",,@Naveen_Jain_CEO,,www.linkedin.com/in/naveenjainintelius,
y,y,y,y,m,Robert,Jenkins,Co-Founder and CTO,CloudSigma,"Co-Founder and CTO, CloudSigma",7,,speaker,y,"Robert Jenkins is the co-founder and CTO of CloudSigma and is responsible for leading the technological innovation of the company’s pure-cloud IaaS offering. Under Robert’s direction, CloudSigma has established an unprecedented open, customer-centric approach to the public cloud.",y,,,@cloudsigma,http://www.facebook.com/pages/CloudSigma/302743663123174,http://www.linkedin.com/company/cloudsigma-ag,
y,y,y,y,m,Karim,Lakhani,Associate Professor ,Harvard Business School,"Associate Professor, Harvard Business School",,,speaker,y,"Karim R. Lakhani is an associate professor in the Technology and Operations Management Unit at the Harvard Business School. He is also a faculty affiliate of Harvard’s Institute for Quantitative Social Science and a faculty fellow of Harvard’s Berkman Center for Internet and Society. He specializes in innovation management and leadership in firms and communities. He has extensively studied the emergence of open source software communities and their unique innovation and product development strategies. He has also investigated how critical knowledge from outside of the organization can be accessed through innovation contests. He is the principal investigator and director of the Harvard-NASA Tournament Laboratory, which aims to systematize the use of innovation tournaments for the space agency. ",y,"Karim R. Lakhani is an associate professor in the Technology and Operations Management Unit at the Harvard Business School. He is also a faculty affiliate of Harvard’s Institute for Quantitative Social Science and a faculty fellow of Harvard’s Berkman Center for Internet and Society. He specializes in innovation management and leadership in firms and communities. He has extensively studied the emergence of open source software communities and their unique innovation and product development strategies. He has also investigated how critical knowledge from outside of the organization can be accessed through innovation contests. He is the principal investigator and director of the Harvard-NASA Tournament Laboratory, which aims to systematize the use of innovation tournaments for the space agency. ",,@HarvardHBS,,,
y,y,y,y,m,Anukool,Lakhina,Founder and CEO,Guavus,"Founder and CEO, Guavus",,,speaker,y,"Anukool founded Guavus with a vision to provide solutions for dynamic, data-driven decision-making. He brings more than a decade of thought leadership in large-scale data analytics and has published more than a dozen papers on the subject. His Ph.D. dissertation put forth the theory and algorithms for streaming analytics on high-dimensional data, which forms the basis for the technology at Guavus. Prior to Guavus, Anukool was at Intel Research and Sprint Labs. He holds a B.S., M.S. and a Ph.D. in Computer Science from Boston University.",,,,@guavus,http://www.facebook.com/pages/Guavus/130857533630652,http://www.linkedin.com/pub/anukool-lakhina/1/582/a94,
