Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL,,,,,,,Order
yes,yes,opgreen,Opportunity Green (OG),12,,mediapartner,http://www.opportunitygreen.com,"Founded in 2007, Opportunity Green (OG) is a trusted profes sional network of thousands of business leaders and influencers focused on driving profitability through innovation and sustainable enterprise. The 5th Annual Opportunity Green Conference held at Los Angeles Center Studios on Nov 9th-11th, 2011 is the largest B2B multidis ciplinary sustainability conference, bringing together today’s lead ing companies and visionaries, and showcasing authentic players, sought-after opportunities and profound innovations driving today’s new green economy. From Fortune 500 powerhouses to inven tive startups, OG attracts over 1000 professionals and executive decision-makers from around the globe. www.opportunitygreen.com
",,,,,,,,
yes,yes,pike,Pike Research ,13,,mediapartner,http://www.pikeresearch.com,"is a market research and consulting firm that provides in-depth analysis of global clean technology markets.  The company’s research methodology combines supply-side industry analysis, end-user primary research and demand assessment, and deep examination of technology trends to provide a comprehensive view of the Smart Energy, Smart Grid, Smart Transportation, Smart Industry, and Smart Buildings sectors. www.pikeresearch.com",,,,,,,,
yes,yes,svcleantech,SVCleantech ,14,,mediapartner,http://svcleantech.org,"is a network of emerging students, entrepreneurs, and professionals  driven and passionate about promoting clean technology, renewable energy, and sustainable living.",,,,,,,,
yes,yes,sustainableindustries,Sustainable Industries,15,,mediapartner,http://sustainableindustries.com/,"is an award-winning media company serving business leaders with news and analysis of key sectors, such as renewable energy, green building, clean technology, food, finance, marketing, and more.   We invite GigaOm audience to join the Sustainable Industries community through our dynamic website, handy email newsletters, educational webinars, informative magazine, and inspiring Sustainable Industries Economic Forum events.  Green:NET attendees qualify for half-price ($19/yr.) subscriptions to Sustainable Industries Magazine. Enter promo code “PRO” at www.sustainableindustries.com/subscribe ",,,,,,,,
yes,yes,techcentralsf,TechCentralSF,16,,mediapartner,http://www.techcentralsf.com/,"- San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",,,,,,,,8
yes,yes,tie,TiE,17,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",,,,,,,,9
yes,yes,ubergizmo,Ubergizmo,18,,mediapartner,http://www.ubergizmo.com/,"Launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as aTop100 Blog by PCMagazine, ranks Top100  in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today.",,,,,,,,
yes,yes,venturebeat,VentureBeat ,19,,mediapartner,http://www.venturebeat.com,"is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat. For more information, visit www.venturebeat.com",,,,,,,,
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,,,,,,,,
yes,yes,claremont,Claremont Creek Ventures,,,showtime,http://www.claremontvc.com/,,,,,,,,,
yes,yes,mayfield,Mayfield Fund,,,showtime,http://www.mayfield.com/,,,,,,,,,
yes,yes,nasdaqomx,NASDAQ OMX,,,showtime,http://www.nasdaqomx.com/,,,,,,,,,
yes,yes,wpcom,WordPress.com,,,showtime,http://www.wordpress.com,,,,,,,,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,,,,,,,,
yes,yes,greenpeace,Greenpeace,,,primetime,http://www.greenpeace.org/,,,,,,,,,
yes,yes,trilliant,Trilliant,,,showtime,http://www.trilliantinc.com/,,,,,,,,,
yes,yes,accenture,Accenture,,,primetime,http://www.accenture.com,,,,,,,,,
yes,yes,monsoon,Monsoon Company,,,showtime,http://www.monsoonco.com/,,,,,,,,,
yes,yes,justshareit,JustShareIt,,,showtime,http://www.justshareit.com,,,,,,,,,
yes,yes,pagewell,PageWell,,,showtime,http://www.pagewell.com,,,,,,,,,
