FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Facebook,P Twitter,P LinkedIn,,,,,,
y,y,y,y,m,Alex,Colon,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Alex covers mobile news, looking for all the exciting gadgets you’ll want to use tomorrow, and dispenses tips and tricks for how to best use the gadgets you have today. Before joining GigaOM in July 2013, he was a mobile analyst for PCMag, reviewing everything from smartphones and cellular modems to carriers and data plans. He lives in Brooklyn and works out of GigaOM’s New York office.",,,,,,,,,,,,
y,y,y,y,m,Rob,Coneybeer,Co-Founder and Managing Director,Shasta Ventures,"Co-Founder and Managing Director, Shasta Ventures",,,speaker,y,"Rob has always loved building things that go fast. He started his career as an aerospace engineer and auto engine tester, then became an investor in early stage technology companies. In the depths of a tech downturn, Rob launched a new venture firm, Shasta Ventures. Over the years Rob has supported more than 100 founders in their quests to build lasting businesses that deliver breakout products and services. Some of Rob’s recent, notable investments include smart-thermostat company Nest; Relay Rides, the leading peer-to-peer carsharing marketplace; and Mocana, which provides security for smart devices. Rob earned a master of science in mechanical engineering from the Georgia Institute of Technology and a BS in mechanical engineering from the University of Virginia.",,,,,@robconeybeer,http://www.linkedin.com/in/robconeybeer,,,,,,
y,y,y,y,m,Peter,Crocker,"Founder and Principal, Smith's Point Analytics and Analyst",GigaOM Research,"Founder and Principal, Smith's Point Analytics and Analyst, GigaOM Research",,,speaker,y,"Peter Crocker is the founder and principal analyst at Smith’s Point Analytics LLC, a full service market research and consulting firm focused on the mobile and wireless industry. Peter expertise in mobility is supported by 10 years experience in the mobile applications market both as an analyst and as a marketing professional. Prior to founding Smith’s Point Analytics LLC in 2009, Peter was a Senior Analyst with VDC Research covering the enterprise mobility and mobile software markets. Peter was also instrumental in generating business and guiding strategy at mobile software start-ups including Pyxis Mobile (now Verivo) and Medxforms. Peter holds an MBA from The College of William and Mary.  ",,,,,@pbcrocker,http://www.linkedin.com/profile/view?id=1100543&trk=nav_responsive_tab_profile,,,,,,
y,y,y,y,m,Daniel,Csoka,Managing Director,Mobile Money Matters,"Managing Director, Mobile Money Matters",,,speaker,y,"Daniel Csoka is a visionary mobile payments expert and has emerged as the global authority at the convergence of the mobile and financial services industries.  He has successfully created and brought to market award-winning emerging payments systems and mobile technologies that have been utilized by over 200M people worldwide.  He has assembled complex patent-pending ecosystems of mobile network operators, financial institutions, money transfer operators, retailers and POS networks and successfully brought to market innovative Mobile, Prepaid, Payments, E-Commerce, and Mobile Money Transfer services globally. He has been quoted on various issues related to mobile and payments in many payments industry related business publications including, among others, Fierce Wireless, Wireless Week, Chicago Tribune, Prepaid Press, Center for Financial Services Innovation (CFSI), Payments News and Business Week.",,,,https://www.facebook.com/daniel.csoka.10,@DanielCsoka,www.linkedin.com/in/danielcsoka,,,,,,
y,y,y,y,m,Mike,Curtis,VP of Engineering,Airbnb,"VP of Engineering, Airbnb",,,speaker,y,"Mike is the VP of Engineering at Airbnb, he is responsible for delivering simple, elegant ways to find and stay at the most interesting places in the world. Mike is building a team of engineers that will have a big impact as Airbnb continues to build the bridge between the online and offline worlds. Mike's team is particularly focused on search and matching, systems infrastructure, payments, trust and safety and mobile. Prior to joining Airbnb, Mike served as a Director of Engineering at Facebook focused on user growth and engagement. Previously he was at Yahoo where he led the engineering team for Yahoo Mail.
",,,,,@mikecurtis,,,,,,,
y,y,y,y,m,Alan,Dabbiere,Chairman,AirWatch,"Chairman, AirWatch",,,speaker,y,"Alan Dabbiere is the chairman of AirWatch, driving the company’s vision, direction and growth plans. Mr. Dabbiere is also the president of AJD, LLC, a privately held investment company, and he serves on the Board of Directors of the Technology Association of Georgia (TAG). Prior to AirWatch, Dabbiere founded Manhattan Associates (NASDAQ:MANH), the world’s leading supply-chain execution software company, where he served as president and chief executive officer from 1990 through the end of 1999.",,,,,@airwatch,http://www.linkedin.com/company/airwatch,,,,,,
y,y,y,y,f,Bridget,Dolan,VP of Interactive Media,Sephora,"VP of Interactive Media, Sephora",2,,speaker,y,"Bridget runs Social Media, Mobile, Digital Store Experience and Business Development. Bridget has led Sephora's direct marketing efforts for the last 12 years, launching social site features such as Ratings & Reviews, BeautyTalk, SephoraTV and Pinterest, as well as expanding Sephora’s social presence and engagement in Facebook, Twitter, YouTube, Pinterest, and Instagram. Bridget is driving the vision for Sephora’s mobile strategy, for which Sephora secured the top spot in L2’s first Prestige Mobile IQ report. Prior to Sephora, Bridget directed online marketing at Eve.com, an early beauty start-up, and at the Left Field agency driving online advertising for clients such as Amazon, drugstore.com and Hotmail. Before she crossed into the online sector, Bridget worked in brand management for Castrol Sports.",y,,,,@sephora,http://www.linkedin.com/pub/bridget-dolan/1/9b4/75a,,,,,,
y,y,y,y,m,Lance,Donny,Founder and CEO,OnFarm Systems,"Founder and CEO, OnFarm Systems",,,speaker,y,"Lance Donny is the Founder and CEO of OnFarm. OnFarm’s unique software integrates nearly any type of data from any provider; from real-time soil moisture data to weather data, to image data. OnFarm allows farmers to make better more informed decisions resulting in immediate impact on farm inputs such as water, energy, and labor while increasing profitability. Lance is a 20 year executive of early stage, venture backed and public companies. Lance is known for crafting strategy and vision that drive profitability and achieve business success. Previously he was the CFO and V.P. of Business Development for PureSense, a VC backed leader in soil moisture monitoring for farmers throughout North America. Lance grew up on his family’s vineyard and graduated from CSU Fresno.",,,,,@onfarmsystems,www.linkedin.com/in/lancedonny,,,,,,
y,y,y,y,m,Greg,Duffy,Co-Founder and CEO,DropCam,"Co-Founder and CEO, DropCam",3,,speaker,y,"Greg Duffy is the co-founder and CEO of Dropcam, maker of the award-winning Dropcam HD Wi-Fi video camera with cloud monitoring service. At age 13, Greg received a full scholarship from UT-Arlington. At just 26, Greg has over a decade of software engineering experience. He founded VOIP-infrastructure company NCF Technologies and has held roles at IBM and Microsoft. Most recently, Greg was the Principal Software Engineer at Xobni, where he created Xobni search, the fastest email search for Microsoft Outlook. After seeing his father’s frustrations with IP cameras, Greg sought to create an easier way to incorporate video into everyday life. A year later Dropcam was born. In his spare time Greg pilots helicopter tours for Dropcam employees and friends.",y,,,,@Dropcam,http://www.linkedin.com/in/gregduffy,,,,,,
y,y,y,y,f,Katie,Fehrenbacher,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Katie has been covering cutting-edge technology, startups and innovators in Silicon Valley for close to a decade. She launched GigaOM’s greentech channel in 2007 and closely tracks energy entrepreneurs and investors. She has been a reporter at Red Herring, an editor at Engadget, and began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun. Her work has appeared online for The Economist, The BBC, Fortune, CNN, Business Week, The New York Times, Salon and Red Herring. In 2008, Katie was recognized as a Forbes Energy Genius. She has been a speaker at events like COP 16, The Commonwealth Club’s Climate One, Greenbiz’s VERGE event, The Churchill Club, The Gridwise Forum, GreenBeat, and South by Southwest, and has appeared on American Public Media, ABC and NBC, among others.",,,,,,,,,,,,
y,y,y,y,m,David,Feller,Founder and CEO,Yummly,"Founder and CEO, Yummly",,,speaker,y,"David Feller is the founder and CEO of Yummly, a digital kitchen platform that is the fastest growing food site in the world. Dave was an early member of Half.com and StumbleUpon (prior to their acquisitions by eBay). Additionally, Dave was GM of a $500M eBay business. Dave is an active mentor, advisor and investor with MuckerLab, Philz Coffee, Culinary Institute of America, Proprly, and Symptomatica.",y,,,,@davefeller,http://www.linkedin.com/in/lindentibbets,,,,,,
y,y,y,y,m,Hugo,Fiennes,CEO and Co-Founder,Electric imp,"CEO and Co-Founder, Electric imp",,,speaker,y,"Hugo Fiennes is CEO and Co-founder of Electric Imp, a complete solution ranging from hardware to cloud service that makes it simple to connect devices to the Internet. Starting in the mid-1980s, when he built bulletin board software for the first wave of online consumers, Hugo has been involved in thin client computing, laser tag games, the first in-car MP3 player (then many more Rio MP3 players), and mobile phone software, concluding the 2000s by managing the iPhone hardware team through the first four generations of the groundbreaking Apple smartphone. Frustrated with how hard it was to connect his under-cabinet bathroom lighting to the weather forecast, Hugo decided it was time someone made Internet connectivity for devices simple, and founded Electric Imp.",y,,,www.facebook.com/electricimp,@electricimp,http://www.linkedin.com/pub/hugo-fiennes/0/3a3/110,,,,,,
y,y,y,y,m,JP,Finnell,Head of Mobile Strategy and Innovation for SAP Services in North America,SAP,"Head of Mobile Strategy and Innovation for SAP Services in North America, SAP ",,,speaker,y,"JP Finnell is Head of Mobile Strategy & Innovation for SAP Services in North America, leading mobile strategy projects that extend industry processes and transform customer engagement.  His current innovation focus is working with banks and retailers to accelerate their multi-channel strategy leveraging the SAP Mobile Innovation Program, e/mBanking solutions and cloud-based precision marketing. Previously, JP was a General Manager at Nokia and Managing Partner of Mobility Partners. He played a founding role in Mobile Monday Mid-Atlantic, and his research on collaboration and enterprise mobility has been published by GigaOM Pro. JP was a Fellow at the Joseph H. Lauder Institute of Management & International Studies, where he received an MA from the University of Pennsylvania. He holds an MBA from the Wharton School and a BS from the Georgetown University.",y,,,,@JPFinnell ,,,,,,,
y,y,y,y,m,Kevin,Fitchard,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Kevin covers mobile broadband, carriers and wireless infrastructure for GigaOM. He has been writing about wireless networks and technology for 11 years, working first at Telephony Magazine and its online successor Connected Planet. Kevin spent his early career at several small Texas newspapers. He made the shift to tech writing upon moving to Chicago, where he now lives.",,,,,,,,,,,,
y,y,y,y,m,Lars,Fjeldsoe-Nielsen,Head of Mobile Business Development,Dropbox,"Head of Mobile Business Development, Dropbox",,,speaker,y,"Lars Fjeldsoe-Nielsen is Head of Mobile Business Development at Dropbox. He is responsible for the company’s mobile strategy and consumer electronics partnerships, including the recently announced global deals with Samsung and HTC. Over the last decade his deals have resulted in over one billion phones embedded with software and services globally. Prior to Dropbox Lars was VP of Business Development for Skyhook Wireless. He came from Voicesignal as VP of Market Development after it was acquired by Nuance, powering voice search embedded in mobile handsets, the predecessor to Apple’s Siri service. He holds an MBA from London Business School, an MSc from Oxford University and a BSc from Kings College London. Lars is Danish Portuguese and grew up in Africa.",y,,,,@dropbox,,,,,,,
y,y,y,y,m,Cormac,Foster,"Research Director, Mobility",GigaOM Research,"Research Director, Mobility, GigaOM Research",,,speaker,y,"Cormac Foster is a Research Director at GigaOM Research covering Mobile Technologies and Enterprise Operations. He has spent nearly 20 years in enterprise technology as a QA manager, product manager, industry analyst and writer. As an Analyst at Jupiter Research, he covered content management, security and enterprise operations. He has worked with a number of enterprise technology providers, spoken at a number of industry events, appeared on CNN and ABC News, and has written for CNET, ReadWrite, and several other technology publications.",,,,,,,,,,,,
y,y,y,y,m,Paul,Gaudio,"VP, adidas Interactive",adidas,"VP, adidas Interactive, adidas",4,,speaker,y,"As Vice President of adidas Interactive, Paul Gaudio leads the creation, development and operations of new end-to-end interactive businesses. With the aim of building a deeper connection to consumers through interactive services, Paul has led key initiatives in the areas of CRM/Consumer Marketing, miadidas Mass Customization, micoach Wearable Technologies and Connected Experiences. Paul earned a degree in Industrial Design from Carnegie-Mellon and over the last 25 years has held a variety of key roles including: Director of Design at adidas America, Co-Founder, i-Generator, a boutique innovation consulting firm in Portland OR, Director of Design and Development, Norton Motorcycles, and most recently Head of Strategy, adidas Sport Performance, where he championed the idea of extending the adidas brand into the interactive space.",y,,,,@adidas ,de.linkedin.com/pub/paul-gaudio/15/359/81a,,,,,,
y,y,y,y,m,Peter,Gerstberger,"Senior Merchant, New Business Development",Staples,"Senior Merchant, New Business Development, Staples",,,speaker,y,"Peter Gerstberger is Senior Buyer for the New Business Development team at Staples, where he leads all new technology initiatives for the company's new business development. In his role, Gerstberger is focused on driving product development, strategic growth initiatives, and partnerships with vendors and other companies. Previously, Gerstberger served as a senior technology buyer for Staples where he was responsible for managing a $450 million P&L within the organization. Gerstberger has been at Staples for over ten years where he has built a proven track record of leading and implementing successful strategies that drive the business. A graduate of Babson College in Wellesley, MA, Gerstberger is the driving force behind the Staples Connect connected home initiative.",y,,,,@GerstBuyer,www.linkedin.com/pub/peter-gerstberger/43/a1a/37,,,,,,
y,y,y,y,m,Colin,Gibbs,Mobile Analyst and Consultant,GigaOM Research,"Mobile Analyst and Consultant, GigaOM Research",,,speaker,y,"Colin is a Senior Mobile Analyst and Curator for GigaOM Research and also serves as an independent consultant and freelance writer. He started in tech journalism in 2004 at RCR Wireless News after several years as a general assignment reporter and sportswriter. Gibbs' work has appeared on NYTimes.com, Reuters.com and BusinessWeek.com, and he has appeared as an expert on Fox Business News as well as outlets such as CNN.com, BBC.co.uk and the Los Angeles Times. He is based in Denver.",,,,,@colin_gibbs,http://www.linkedin.com/profile/view?id=18502713&trk=nav_responsive_tab_profile,,,,,,
y,y,y,y,m,Mike,Harris,CEO,Zonoff,"CEO, Zonoff ",,,speaker,y,"Mike Harris is a serial entrepreneur who has founded or led numerous venture-backed technology companies to successful exits, including a NASDAQ IPO. Harris’s background is in computer and electrical engineering, though he credits much of his companies’ successes to their innovative business models. Harris’s previous company AnySource Media was a pioneer connected TV technology and was acquired by DivX in 2009. In 2011 Harris co-founded Zonoff with the vision to provide the core technology for the connected home. Serving as the ""brains"" of the connected home, Zonoff provides a comprehensive software platform that enables retailers, device manufacturers, and service providers to deliver new connected products and services to the consumer mass market.",y,,,,@mbrharris,http://www.linkedin.com/in/mbrharris,,,,,,
y,y,y,y,m,Hans,Hartman,"President, Suite 48 Analytics and Analyst",GigaOM Research,"President, Suite 48 Analytics and Analyst, GigaOM Research",,,speaker,y,"Hans Hartman is principal researcher at Suite 48 Analytics (suite48A.com), a user and market research practice for the mobile imaging industry, chair of the Mobile Photo Connect conference, and GigaOm Pro analyst. He has recently been named as a “Power Player in Mobile” by the AlwaysOn Network. Hartman previously was Sr. director of market research at multimedia software company, Nero, and director of product strategy at desktop publishing software company, Quark. Previously, he has chaired various Seybold Seminars PDF Conferences, as well as the Electronic Publishing Magazine Print Workflow Summit.  Hartman also co-founded photo sharing site, Piczo, and was director of professional solutions at imaging software company, Live Picture. Hartman holds a Masters degree in Industrial Economics from Erasmus University, Rotterdam, The Netherlands.",,,,,@suite48a,http://www.linkedin.com/pub/hans-hartman/6/211/205,,,,,,
y,y,y,y,m,Alex,Hawkinson,CEO and Co-Founder,SmartThings,"CEO and Co-Founder, SmartThings",,,speaker,y,"Alex is an entrepreneur and thought leader in the emerging “Internet of Things” space. Alex believes that the physical graph represents the next major phases of the Internet that will create revolutionary change in every facet of life from home to the office to the gym. Prior to founding SmartThings, Alex has spent the past 15 years in leadership positions with cloud-based technology companies. Most recently, he was Chief Product Officer of ReachLocal, a global provider of online marketing solutions for small and medium sized businesses that acquired SMBLive, a cloud-based software company that Alex founded in 2005. ",y,,,http://www.facebook.com/smartthings?ref=ts&fref=ts,@smartthings,,,,,,,
y,y,y,y,f,Christine,Herron,Director,Intel Capital,"Director, Intel Capital",5,,speaker,y,"Christine Herron is a Director at Intel Capital, where she invests in Internet and digital services companies. At Intel, Christine has led investments including betaworks, E la Carte, Goldbely, Jelli, Movable Ink, and Storenvy. She previously was an investor at First Round Capital and Omidyar Network, working with companies such as Double Verify, Get Satisfaction, Mint (ACQ: INTU), and Common Sense Media. At Geocapital Partners, Christine led early funding for AXON Networks (ACQ: 3COM), D-Vision (ACQ: ADSK), Netcom (IPO: NETC), and ViaGrafix (IPO: VIAX). She was also a founder or early employee at Mercury2, Mission Research, and NetObjects (NASDAQ: NETC). Christine earned an MBA from Stanford University and a BA from Columbia University, and is a founding advisor to both 500 Startups and StartX.",y,,,https://www.facebook.com/christineherron,@christine,http://linkedin.com/in/christineherron,,,,,,
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Stacey is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last 11 years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas. At GigaOM, Stacey covers broadband, data center infrastructure, policy and regulation, and entrepreneurs/startups, and is particularly excited to discover news ways technology is changing the world. ",,,,,@gigastacey,,,,,,,
y,y,y,y,m,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew covers media in all its forms — social and otherwise — as well as web culture and related issues. He is an award-winning journalist who has spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Prior to joining GigaOM, he was a blogger and technology writer for the Globe and Mail newspaper in Toronto, and was also the paper’s first online Communities Editor. Mathew is one of the founders of mesh, Canada’s leading web conference.",,,,,@mathewi,,,,,,,
y,y,y,y,m,Soulaiman,Itani,Founder and CEO,Atheer Labs,"Founder and CEO, Atheer Labs",,,speaker,y,Soulaiman has spent his career trying to understand how the world operates and how to leverage that knowledge to improve everyday life. With that core belief he created Atheer Labs. The goal is to advance human-centric computing technologies and empower users to have technology work with them in ways never thought possible only a few short years ago. His previous work includes designing cancer tests and treatments as well as creating models for robotics and unmanned aerial vehicles. He received his Masters of Science and PhD in Electrical Engineering and Computer Science from the Massachusetts Institute of Technology.,,,,"https://www.facebook.com/Atheerlabs     
",@Atheerlabs,http://www.linkedin.com/company/atheer?trk=cp_followed_name_atheer,,,,,,
y,y,y,y,m,Kaivan,Karimi,Executive Director of Global Strategy and Business Development,Freescale Semiconductor,"Executive Director of Global Strategy and Business Development, Freescale Semiconductor",,,speaker,y,"Kaivan is responsible for defining and driving the technology, product and business strategies related to the Internet of Things at Freescale Semiconductor. He has authored multiple influential  IoT white papers, addressed many forums and panels, and is one of the semiconductor industry’s most active subject matter experts on IoT matters. Kaivan has been with Freescale for more than nine years serving in a variety of leadership roles, including leading the cellular handset wireless product management  and networking baseband processing, and serving as the head of Corporate Development (M&As). Kaivan has more than 19 years of experience in the semiconductor and telecomm industry. He has a Master’s of Science in Electrical Engineering from Florida Atlantic University and a Master’s of Business Administration from Baylor University.",,,,https://www.facebook.com/freescale,@Freescale,www.linkedin.com/in/kaivankarimi,,,,,,
y,y,y,y,m,Derek,Kerton,"Principal Analyst, The Kerton Group and Analyst",GigaOM Research,"Principal Analyst, The Kerton Group and Analyst, GigaOM Research",,,speaker,y,"Derek Kerton is Principal Analyst and head of the Wireless Consulting Practice for the Kerton Group. For 15 years, his focus has been the junction of Silicon Valley innovation and communications. Mr. Kerton is internationally recognized for his telecom industry insight and consults for companies throughout the telecom value chain (NTT DoCoMo, Sprint-Nextel, British Telecom, SK Telecom, Disney, ESPN, Sony...) and the financial community on the telecom market issues (Credit Suisse, Merrill Lynch, Dow Jones, Morgan Stanley...). He is chair of The Telecom Council of Silicon Valley, a GigaOm Expert, and on advisory Boards of startups. Mr. Kerton is quoted, published and interviewed globally on CNN, CNBC, BloombergTV, and Wall Street Radio, with his industry research and analysis available through websites. For full listings: http://www.kerton.com/pressroom.html.",,,,,derekkerton,http://www.linkedin.com/in/kerton,,,,,,
y,y,y,y,m,Jim,Kohlenberger,"Former White House technology policy advisor & Mobile Future Advisor
","Mobile Future     
","Former White House technology policy advisor & Mobile Future Advisor, Mobile Future     
",,,speaker,y,"Jim Kohlenberger is a former White House policy advisor to two U.S. Presidents and is President of JK Strategies- a public policy consulting practice. Most recently, Kohlenberger served as Chief of Staff for the White House Office of Science and Technology Policy (OSTP) where he helped craft the President’s innovation strategy, advanced policies to help spur a mobile broadband revolution through spectrum reform, worked to secure cyberspace, helped put the U.S. space program on a bold new course for the future and sought to harness innovation to advance economic growth and opportunity for all Americans. He also served 8 years in the Clinton White House as Senior Domestic Policy Advisor to the Vice President. Jim currently serves as an Advisor to Mobile Future.",y,,,,@mobilefuture,http://www.linkedin.com/pub/jim-kohlenberger/2a/a3a/325,,,,,,
y,y,y,y,m,Tom,Krazit,Executive Editor,GigaOM,"Executive Editor, GigaOM",,,speaker,y,"Tom is a veteran technology journalist, writer, and editor who has never worked in any other medium than the internet. He is responsible for overseeing all aspects of GigaOM’s editorial mission. Tom has written and edited stories about nearly everything important to us as a tech media company — enterprise computing, the rise of mobile, and consumer internet companies — at one time or another over twelve years at IDG, CNET, and paidContent before joining GigaOM in 2012 and becoming executive editor in 2013. Tom holds a business degree with a concentration in marketing from Boston College, and has appeared as an industry expert on media outlets including CNBC, ABC, CBS, Revision 3, NPR, TWiT, and several others.",,,,,,,,,,,,
