IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Twitter,P Facebook,P LinkedIn
,yes,yes,yes,m,Dave,Asprey,"VP, Technology and Corporate Development","Blue Coat Systems
","VP, Technology and Corporate Development, Blue Coat Systems",28,,speaker,yes,"Dave Asprey is Vice President of Technology and Corporate Development for Blue Coat Systems. He is responsible for ensuring the company leverages disruptive business and technology strategies through partnering, investment, or acquisition. He is a technology and marketing executive with experience in strategic planning, product management, and business development, from startup to F500, for service providers, telcos, networking, virtualization, CDN, cloud computing, and SaaS, at Citrix/NetScaler, Zeus, Speedera/Akamai, Exodus/Savvis, and 3Com. He ran the Internet Engineering Certification Program for UCSC and is a published author and accomplished public speaker. Dave sits on a variety of advisory boards for startups, public companies, and VC firms. He studied Computer Science at UCSB, Computer Information Systems at Cal State, and has an MBA from Wharton.",,,,
,yes,yes,yes,m,Kia,Behnia,"Chief Corporate Architect, CTO",BMC,"Chief Corporate Architect, CTO, BMC",,,speaker,yes,"As Chief Corporate Architect, Mr. Behnia is responsible for leading the design of BMC's industry-leading Business Service Management architecture and the critical enabling Atrium technologies. Mr. Behnia was previously Chief Technology Officer for the Change and Configuration products at BMC Software; Mr. Behnia is responsible for the direction of product development and product strategy for the Change and Configuration products at BMC including the BMC Atrium CMDB. Mr. Behnia was previously Chief Technology Officer for Marimba Inc. In that role, he led Marimba’s product strategy and technology partnerships. During his tenure at Marimba, Mr. Behnia was instrumental in the design and delivery of Marimba’s innovative configuration and patch management solutions across servers, client systems and mobile devices. Prior to joining Marimba, Mr. Behnia served as a senior member of the technical team for Tivoli Systems Inc., which was acquired by IBM. Mr. Behnia has over fourteen years’ experience in the management of distributed systems and databases. Mr. Behnia holds a B.A. degree in Computer Science from University of California at Davis.
",,,,
,yes,yes,yes,m,James ,Urquhart,"Technology Strategist, Cloud Computing and Virtualization
",Cisco,"Technology Strategist, Cloud Computing and Virtualization, Cisco
",,,speaker,yes,"James Urquhart manages cloud computing and data center virtualization strategy for the Data Center Solutions group at Cisco. One of the most respected subject matter experts on the cloud, and author of the popular C|NET Blog Network blog, The Wisdom of Clouds (http://news.cnet.com/the-wisdom-of-clouds), Mr. Urquhart brings a deep understanding of these disruptive technologies and the business opportunities they afford.Mr. Urquhart is a seasoned field technologist with almost 20 years of experience in distributed systems development and deployment, focusing on service-oriented architectures, cloud computing, and virtualization. Prior to joining Cisco, Mr. Urquhart held leadership roles at Forte Software, Sun Microsystems, and utility computing infrastructure vendor Cassatt Corporation.",,,,
,yes,yes,yes,m,Jeff,"Hammerbacher
","Chief Scientist
","Cloudera
","Chief Scientist, Cloudera",27,,speaker,yes,"Jeff Hammerbacher was an Entrepreneur in Residence at Accel Partners immediately prior to joining Cloudera. Before Accel, he conceived, built, and led the Data team at Facebook. The Data team was responsible for driving many of the applications of statistics and machine learning at Facebook, as well as building out the infrastructure to support these tasks for massive data sets. The team produced two open source projects: Hive, a system for offline analysis built above Hadoop, and Cassandra, a structured storage system on a P2P network. Before joining Facebook, Jeff was a quantitative analyst on Wall Street. Jeff earned his Bachelor's Degree in Mathematics from Harvard University.
",,,,
,yes,yes,yes,m,Chuck,Hollis,"VP, CTO of Global Marketing","EMC Corporation
","
VP, CTO of Global Marketing, EMC Corporation
",,,speaker,yes,"A 14-year EMC veteran, Chuck is a key member of EMC’s management team, working on strategic aspects of marketing, business development and technology. He is a popular industry blogger (http://chucksblog.emc.com) and also is leading EMC’s social media proficiency initiative. Previously, Chuck ran EMC’s Technology Alliances organization, building strong partnerships that deliver customers superior multi-vendor solutions. Prior to that, he was VP of Strategic Marketing, where he helped map out key aspects of EMC’s transformation strategy, messaging and field execution. Prior to EMC, Chuck worked at several UNIX and database companies in Silicon Valley. Chuck has received degrees in Computer Science and Economics from University of California at Santa Cruz.",,,,
,yes,yes,yes,m,Paul ,Kedrosky,Senior Fellow,"Ewing Marion Kauffman Foundation
","Senior Fellow, Ewing Marion Kauffman Foundation
",17,,speaker,yes,"As Senior Fellow at the Kauffman Foundation, Paul Kedrosky shares his experience as a technology entrepreneur, venture capitalist, and academic to explore new programming opportunities for the Foundation in the areas of entrepreneurship, innovation, and capital markets. Kedrosky is a venture capitalist, media personality, and entrepreneur. He is a sought-after speaker; an analyst for CNBC television; a columnist for TheStreet/RealMoney; the editor of Infectious Greed, one of the best-known business blogs on the Internet; and he is frequently quoted in major publications around the world. He has published more than 300 articles in academic and non-academic publications. Kedrosky also is a venture partner with Ventures West, one of North America's longest-standing institutional venture capital firms.
",,,,
,yes,yes,yes,m,Jonathan, Heiliger,"VP, Technical Operations",Facebook,"VP, Technical Operations, Facebook",6,,speaker,yes,"Jonathan Heiliger is the Vice President of Technical Operations at Facebook, where he oversees global infrastructure, site architecture and IT. Prior to Facebook, he was a technology advisor to several early-stage companies in connection with Index Ventures and Sequoia Capital. He formerly led the engineering team at Walmart.com, where he was responsible for infrastructure and building scalable systems. Jonathan also spent several years at Loudcloud (which became Opsware and was later acquired by HP) as the Chief Operating Officer. Earlier in his career, Jonathan was the CTO of Frontier GlobalCenter, and later founded Global Crossing's corporate venture capital group.
",,,,
,yes,yes,yes,m,Avinash,Lakshman,Engineer,"Facebook
","Engineer, Facebook",29,,speaker,yes,"I am an engineer in the infrastructure group at Facebook. At Facebook I helped architect and build Cassandra, a large scale distributed storage system, which powers multiple applications within Facebook. Prior to Facebook, I spent close to three years at Amazon.com as an engineer in the Distributed Systems group started by Werner Vogels, CTO of Amazon. In that time I helped architect and build a system called Dynamo which resulted in a publication at SOSP 2007, details of which can be found over here - http://s3.amazonaws.com/AllThingsDistributed/sosp/amazon-dynamo-sosp2007.pdf. In short I can claim I have some reasonable experience in building systems at Internet scale.
",,,,
,yes,yes,yes,m,Geir ,Magnusson,"Consulting Architect, Platform",Gilt Groupe,"Consulting Architect, Platform, Gilt Groupe",31,,speaker,yes,"Geir is a consulting architect for Gilt Groupe, Inc. His professional career includes a range of experiences in systems infrastructure, from data distribution at Bloomberg to video distribution for Joost. He's worked on Java application servers for Gluecode (acquired by IBM), and middleware architecture for Intel. Most recently he worked on cloud technology as VP of Engineering at 10gen. In addition to his commercial software experience, Geir is an internationally-known leader in open source. He is currently a Director of the Apache Software Foundation and represents the ASF in the Java Community Process. He's a co-founder of several open source projects, including Apache Geronimo and Apache Harmony. He holds degrees in Electrical and Computer Engineering as well as Physics from the Johns Hopkins University.
",,,,
,yes,yes,yes,m,Vijay,Gill,"Senior Manager, Engineering and Architecture",Google,"Senior Manager, Engineering and Architecture, Google
",12,,speaker,yes,"Vijay Gill is Senior Manager, Engineering and Architecture, at Google.He is responsible for all network design, expansion and datacenter infrastructure for Google's production network, as well as participating in various industry organizations and advancing the company's efforts in the standards arena. Vijay has co-authored a variety of RFCs on traffic engineering, multihoming, and routing. He has also given talks and presentations on network design, BGP scaling issues, and traffic engineering in forums such as NANOG and IETF. Vijay is also currently serving on the IETF Internet Architecture Board (IAB).
Prior to joining Google, Vijay worked as Sr. Technical Manager for AOL Global Network Operations and was responsible for setting the technical direction and strategy for AOL production. Before AOL, Vijay worked as Manager of Architecture at MFN/Abovenet where he participated in revamping the global backbone, standardization of routing policy and product development. Earlier in his career, Vijay worked as a senior engineer at UUNET, participating in the MPLS and multicast engineering projects.
",,,,
,yes,yes,yes,m,James ,Lindenbaum,Co-Founder and CEO,"Heroku
","Co-Founder and CEO, Heroku
",,,speaker,yes,"Having founded an enterprise software consultancy that was one of the earliest to see the potential of Ruby on Rails, James Lindenbaum and his co-founders set out to build Heroku, a cloud platform committed to being the fastest and easiest place to develop and deploy web applications of any scope through provisionless hosting and other breakthroughs.  James was a managing partner of the consultancy, Bitscribe, which focused on bringing agile software practices into the enterprise.  Prior to Bitscribe, James built a large-scale distributed software system to track copyright piracy across peer-to-peer networks.  James has been programming for 20 years, studied finance at Boston University, and is technical advisor to several next-generation cloud startups.",,,,
,yes,yes,yes,m,Russ,Daniels,"VP and CTO, Cloud Services Strategy",HP,"VP and CTO, Cloud Services Strategy, HP",4,,speaker,yes,"Russ Daniels is vice president and chief technology officer of Cloud Services Strategy at HP. In this role, he sets the overarching business and technology strategies for HP’s approach to the cloud. Daniels has more than 25 years of experience in the technology industry, specializing in software architecture, enterprise management, and software development methodologies. He has filled a wide range of staff and line management roles and run his own Internet Services business. In 2006, InfoWorld declared Daniels one of the industry’s top 25 chief technology officers. From 2002 to 2007 Daniels was the chief technology officer of HP Software. During his tenure, the business tripled in revenue and emerged as a significant player in the software industry. He joined HP in 1999. Prior, Daniels spent 15 years at Apple, where he held a variety of technical and management positions, culminating in his role as a senior software architect. Daniels holds a bachelor’s degree from Ohio University. ",,,,
,yes,yes,yes,m,Willy,Chiu,"Vice President, IBM Cloud Labs & HiPODS 
",IBM,"Vice President, IBM Cloud Labs & HiPODS, IBM ",,,speaker,yes,"Dr. Chiu has been leading the worldwide Cloud Labs, driving IBM's cloud computing initiative. He has worked with companies such as Google on major academic initiatives and technology collaboration, as well as implementing real cloud solutions for enterprise customers. In addition, his team launched nine new cloud labs around the world to help high profile customers design and implement cloud computing solutions. Previously, Dr. Chiu held numerous executive positions within IBM Software Group, from leading a team of experts in high volume web performance technologies and scalability, to creating IBM's first ""digital library"" content management project in the emerging area, digitizing the world's most treasured collections, including those at the Vatican Library. 
",,,,
,yes,yes,yes,m,Rohit,Sharma,Investor,"Independent
",Independent Investor,30,,speaker,yes,"Rohit Sharma works with early stage entrepreneurs in the area of infrastructure for cloud computing, networking, and storage systems.  He was most recently a partner at Mohr, Davidow Ventures. He serves on the board of Vdopia, India's leading iPhone & online video advertising network and is an angel investor in Pacific Biosciences, a real-time DNA sequencing platform. 
Previously, Rohit was an entrepreneur in the valley ecosystem, creating the optical switching technology for ONI Systems in 1997 (funded by MDV, KPCB, Canaan, Fidelity, Chase, Bowman). He served as ONI Systems EVP and CTO.  He holds a PhD from the University of Alberta, Canada where he supports a Chair position in Digital Communications and BSc from National Institute of Technology, Kurukshetra, India.",,,,
,yes,yes,yes,m,Jason,Hoffman,CTO and Founder,Joyent,"CTO and Founder, Joyent",33,,speaker,yes,"Jason A. Hoffman is a founder and the CTO of Joyent, an on-demand infrastructure and cloud computing company that serves billions of page views and traffics hundreds of millions of emails per month. Joyent is dedicated to the singular mission that developers should be able to start at a small scale and flex to a global scale with minimal friction. Joyent is among the world's largest OpenSolaris installations and while supporting all unix-based languages and datastores, Joyent's products have included the first production support of Ruby on Rails, inclusion of the ZFS file system, and Joyent's DTrace-enabled Ruby ships on MacOS X Leopard and soon on OpenSolaris. Jason is a systems scientist with BS and MS degrees from UCLA, and a PhD from UCSD, and is an expert in scalable architectures. He has applied his knowledge and experience from the Web to Games to Computational Chemistry, Proteomics and Cancer biology.",,,,
,yes,yes,yes,m,David,Yen,"EVP and GM, Data Center Business Group ",Juniper Networks,"EVP and GM, Data Center Business Group, Juniper Networks",10,,speaker,yes,"David Yen, Ph.D., serves as the Executive Vice President of the Data Center Business Group (DCBG), for Juniper Networks. Dr. Yen came to Juniper from Sun Microsystems, Inc., where he served in a broad range of executive assignments during his nearly 20-year tenure. In the '90s, his team developed Sun's first- and second-generation multi-CPU SMP servers, which transformed Sun from a workstation company to a leading enterprise server company. After Dr. Yen took over Sun's Microelectronics group in 2001, he turned around Sun's declining SPARC business by focusing on execution and innovation. His group introduced the industry's first 8-core, 32-thread general-purpose processor in 2005 and developed it into a multi-billion dollar business. He also managed Sun's storage business for one year. Prior to joining Sun Microsystems in 1988, Dr. Yen was a cofounder of Cydrome, Inc., a mini-supercomputer start-up. He also served in engineering roles at IBM Research and TRW, Inc. Dr. Yen earned a bachelor's in electrical engineering from the National Taiwan University in 1973, and received an MS and Ph.D. in electrical and computer engineering from the University of Illinois at Urbana-Champaign in 1980. He also completed a General Management Program at Stanford Business School in 1993. Dr. Yen holds three U.S. patents.",,,,
,yes,yes,yes,m,K. Scott ,Morrison,Chief Architect,Layer 7 Technologies,"Chief Architect, Layer 7 Technologies",,,speaker,yes,"K. Scott Morrison is the Chief Architect at Layer 7 Technologies, where he works to scale, simplify and secure Web applications. He has extensive IT and scientific experience in a number of industries, was previously Director of Technology at Infowave Software, and has also held senior architect positions at IBM. Scott has published over 50 book chapters, articles, and papers in various publications, including: ComputerWorld, ZDNet, Web Services Unleashed, Professional JMS, Ajax World Magazine, SOA World Magazine, Communications News, and the Business Integration Journal. Scott has spoken at 70 shows around the world, including InfoWorld, JavaOne, Gartner and IDC conferences. ",,,,
,yes,yes,yes,m,Mark,Taylor,"VP of Product Management, Content Delivery and Vyvx",Level 3 Communications,"VP of Product Management, Content Delivery and Vyvx, Level 3 Communications",,,speaker,yes,"Mr. Taylor is vice president of product management for Level 3 Communications' Content Delivery Network and Vyvx Services. Over the past five years, he has held a variety of positions within the company, including head of Strategy and Mergers & Acquisitions in Europe and head of IP and Data Services Strategy in Europe. Prior to joining Level 3, Mr. Taylor spent two years as a Business Leader for Concert, a joint venture between AT&T and British Telecommunications, where he managed global customer contract origination and execution. He also worked with BT Syncordia Solutions, the Information & Communications Technology unit of BT. He holds a Bachelor of Science in Telecommunications Engineering from Plymouth University and a post graduate Diploma in Management Studies from Kingston Business School.",,,,
,yes,yes,yes,m,Lloyd,Taylor,"VP Technical Operations
",LinkedIn,"VP Technical Operations, LinkedIn",18,,speaker,yes,"Lloyd Taylor is the VP Technical Operations for LinkedIn, where he is responsible for cost-efficient scaling, performance, and reliability. Prior to LinkedIn, Lloyd was Director of Global Operations for Google where he was responsible for developing and running massive-scale production datacenters worldwide. Earlier responsibilities included VP Technology & Operations for Keynote Systems, and founding VP Technology & Operations for Digex Web Hosting in the late 90's. Lloyd started his career in the early 80's at Johns Hopkins Applied Physics Lab where he designed flight hardware and software for the Space Shuttle, and was involved in early DARPANet work.
",,,,
,yes,yes,yes,m,Navin ,"Chaddha
",Managing Director,Mayfield Fund,"Managing Director, Mayfield Fund",26,,speaker,yes,"Navin Chaddha is a proven serial entrepreneur and venture investor.
Navin was named a Young Global Leader by the World Economic Forum in 2009, ranked on the Forbes Midas List of top 100 dealmakers as #11 in 2009, #10 in 2008 and #58 in 2007. He invests in the energytech, internet/digital media, enterprise, semiconductor, and service provider sectors and leads Mayfield's investments efforts in India.  Navin has made over 25 investments, of which 9 have had IPOs and 6 have been acquired. His current investments include Consim Info, CPower, Gigya , Lattice Power, Mimosa Systems , Tejas Networks, WiChorus  and WideOrbit.
Navin holds an MS degree in electrical engineering from Stanford University and a B.Tech degree in electrical engineering from IIT Delhi.",,,,
,yes,yes,yes,m,Jim ,Smith,General Partner,"MDV-Mohr Davidow Ventures
","General Partner, MDV-Mohr Davidow Ventures
",20,,speaker,yes,"At MDV Jim Smith leads investments in software and systems companies, and extends MDV’s relationships with leading universities and research centers. He serves as a board member for companies including Mantara, Packet Motion, ParAccel, RingCube, Vast Systems, Vivaty, and Xambala. Prior to MDV, Jim developed computing architectures and integrated circuits for high performance multimedia systems at Silicon Graphics, Inc., including the O2 and Octane workstation lines. He authored and refereed numerous papers on computing systems and circuit design. He was also a researcher in the Computer Systems Laboratory at Stanford University. Jim received a doctorate in electrical engineering and a master’s in industrial management from Stanford University. He also earned a bachelor’s in computer systems engineering and a master’s in electrical engineering from Stanford.",,,,
,yes,yes,yes,m,Najam,Ahmad,"General Manager, Global Networking Services",Microsoft,"General Manager, Global Networking Services, Microsoft
",,,speaker,yes,"As General Manager of Global Networking Services, Najam Ahmad is responsible for the overall architecture, design, implementation and operations of Microsoft's global online network. Prior to joining Microsoft in September of 2004, Najam worked at MCI/UUNET as the Senior Manager of Global IP Network Engineering. In this role, he was responsible for the architecture and engineering of MCI’s global public IP backbone, it’s connectivity to the other IP networks (peering) and the design of IP access products. Prior to joining UUNET, Najam worked for Netrix Corporation, a developer of switching and routing equipment. 
Najam holds a Master of Science in Telecommunication Protocols and Computer Science from The George Washington University and a Bachelor of Engineering in Electrical Engineering from NED University of Engineering and Technology. 
",,,,
,yes,yes,yes,m,Brandon,Watson,"Director, Azure Services Platform",Microsoft,"Director, Azure Services Platform, Microsoft",24,,speaker,yes,"Brandon Watson is an entrepreneur on loan to Microsoft, having returned to the company after selling IMSafer, the last company he founded.  Upon returning to the Pacific Northwest, he was lured back to the company where he cut his teeth to work on their cloud computing efforts.  In his role as a Director for the Azure Services Platform team, Brandon is responsible for technical product management and competitive analysis of cloud offerings.  Brandon has done stints as an operator at all stages of the funding cycle, and at Soros Private Equity, investing over $70M in technology deals.  He’s got an MBA from Wharton, and a BSEcon and Systems Science Engineering undergrad from the University of Pennsylvania.  Follow him at twitter.com/brandonwatson or read his blog www.manyniches.com.",,,,
,yes,yes,yes,m,Yousef ,Khalidi,Distinguished Engineer,"Microsoft Corporation
","Distinguished Engineer, Microsoft Corporation
",13,,speaker,yes,"Yousef Khalidi is a Distinguished Engineer in the Windows Azure team. Windows Azure is a platform for developing, deploying, managing, and hosting cloud services. Yousef is responsible for several aspects of the platform, centered on the goal of building a low-cost, automated, large-scale computing system, using commodity hardware, with efficiently managed shared resources. Before joining Microsoft, Yousef was a Distinguished Engineer at Sun Microsystems. During his 14 years tenure at Sun, he held several development, architecture, and management positions in Sun's software division as well as in Sun Labs. Yousef was the CTO and Chief Architect of Solaris, Chief Architect and Director of the Sun Cluster product line, Chief Architect of Sun's N1 utility computing initiative, as well as a principal architect of Solaris MC and Spring operating systems. Yousef has a Ph.D. and an M.S. in Information and Computer Science from Georgia Institute of Technology (Georgia Tech).",,,,
,yes,yes,yes,m,Richard,Buckingham,VP of Technical Operations,MySpace,"VP of Technical Operations, MySpace",15,,speaker,yes,"Richard is in charge of the MySpace datacenters, server farms, storage, and general technical operations at MySpace. Prior to MySpace, Richard worked at Stamps.com, leaving there six years later to join MySpace in August 2005. He also held a few short IT contracts around London at the BBC, GlaxoWellcome and BancBoston’s now defunct Robertson Stephens Investment Bank before settling in Los Angeles in 1999. Richard graduated from Leeds University, UK in 1995 with BSc Honors in Computer Science. He is also a former Glider pilot and RAF Reserve pilot, an aging PC gamer, avid Golfer, weekend car racer and an all-round technology geek
",,,,
,yes,yes,yes,m,David,Lipscomb,"SVP, Engineering and Co-Founder","NetSuite
","SVP, Engineering and Co-Founder, NetSuite",,,speaker,yes,"Dave Lipscomb is charged with driving the overall strategy of engineering and IT operations for NetSuite. He has been with NetSuite since its inception in 1998. As a high tech engineering veteran, Mr. Lipscomb leads a team of 85 engineers. Under his leadership, NetSuite provides unbreakable and reliable back-end support for thousands of NetSuite customers worldwide to do business in real-time; and NetSuite has achieved unprecedented uptime in the on-demand industry. Prior to joining NetSuite, Mr. Lipscomb founded mBED Software with Evan Goldberg. He was also a director in Oracle's New Media Division. Mr. Lipscomb has been building client/server and Web server software products for seventeen years. He holds a B.S. in Computer Science from Stanford University.
",,,,
,yes,yes,yes,m,Allan,Leinwand,Venture Partner,Panorama Capital,"Venture Partner, Panorama",32,,advisor,yes,"Mr. Leinwand is a venture partner in the firm and focuses ontechnology investments. Prior to this role, he joined JPMorganPartners as an operating partner in 2004. From 2001 to 2004, he wasPresident and Co-founder of Proficient Networks, Inc. From 2000 to2001, he was Chief Technology Officer and Vice President ofEngineering at Telegis Networks, Inc. In 1997 Mr. Leinwand joinedDigital Island, Inc. (NASDAQ: ISLD) at inception and served as theirVice President of Engineering and Chief Technology Officer through thecompany's IPO and secondary offering. From 1990 to 1997, Mr. Leinwandserved as Manager of Consulting Engineering and Senior SoftwareEngineer at Cisco Systems, Inc. helping to build and engineer serviceprovider and enterprise networks worldwide. He co-authored ""CiscoRouter Configuration"" and ""Network Management: A PracticalPerspective"" and has been granted a patent in the field of datarouting. He currently is an Adjunct Professor at the University ofCalifornia, Berkeley where he teaches the subjects of computernetworks, network management, and network design. Mr. Leinwand holds aB.S. in Computer Science from the University of Colorado at Boulder.He presently serves on the board of directors of GridNetworks andVyatta, Inc. He is also a board observer to Belair Networks, CedarPoint Communications and Sylantro Systems.",,,,
