Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
,,,,,,,Michelle Munson,President and Co-Founder,Aspera,
,,,,,,,Mark Taylor,"VP, Product Management, Content Delivery and Vyvx",Level 3 Communications,
,,,,,,,David Yen,EVP and GM of the Data Center Business Group,Juniper Networks,
3:30 PM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,JUNIPER NETWORKS – Room 1,"If you could build the ideal data center network for the Cloud computing world, what would it look like?","Cloud computing to set to take off, but today’s legacy data center networks just won’t fly. Learn about next-generation networks where the simple solution lies in a simpler architecture. ",,,,Viswesh Ananthakrishnan,"Director, Product Marketing",Juniper Networks,
,MICROSOFT – Room 2,Spinning the Web to the Cloud,"“Combining the Power of Rich Internet Applications with Cloud Computing” - Join industry analyst Michael Cote as Microsoft announces the winner of the first Azure Services Platform Developer Challenge: newCloudApp().  Also learn about the evolution of the web towards rich internet applications combined with the benefits of the cloud, unlocking new business opportunities through new user experiences and business models.",,,,Michael Cote,Software Industry Analyst,RedMonk,
,,,,,,,Brian Goldfarb,Director Developer Platform and Tools,Microsoft,
,,,,,,,Steve Yi,Director Azure Services Platform,Microsoft,
4:00 PM,PANEL,On The Shoulders of Giants,"Innovation occurs when you push at the edge of reasonable practice. When your job is to manage some of the worlds largest infrastructures, with demands that test the limit of technology and budgets, innovation is your only option. Keepers of six of the largest collections of boxes, bits and bandwidth on the planet will share their successes with current technology and their desires for and opinions on the future. 
",Jonathan Heiliger,"VP, Technical Operations",Facebook,Najam Ahmad,"General Manager, Global Networking Services",Microsoft,
,,,,,,,"Richard Buckingham
",VP of Technical Operations,MySpace,
,,,,,,,Vijay Gill,"Sr. Manager, Engineering and Architecture",Google,
,,,,,,,Raj Patel,"VP, Infrastructure and Operations Strategy",Yahoo!,
,,,,,,,Lloyd Taylor,VP Technical Operations,"LinkedIn
",
4:45 PM,FIRESIDE CHAT,Perspectives on Cloud Computing,Om and Vishal Sikka of SAP will explore the challenges to the general adoption of cloud computing and ask whether cloud computing is ready for prime time use in the corporation. The conversation will also delve into the position that SAP will take in the cloud computing landscape's evolution and what steps it will take in setting industry standards.,Om Malik,Founder,GigaOM,Vishal Sikka,CTO ,SAP,
5:05 PM,MININOTE,Cloud Success Stories: Lessons Learned and Best Practices,,,,,Willy Chiu,"VP, IBM Cloud Labs & HiPODS",IBM,
5:25 PM,PANEL,The VC Panel: Downturn? Double Down on Infrastructure!,The Cloud Computing boom is racing ahead full steam ahead and gaining much momentum. Is this a sign that there will be an upturn in investments into infrastructure startup's even considering the prevailing economic climate? The Valley's finest investors present their views on the challenges and upsides on the road ahead.,Paul Kedrosky,Senior Fellow,"Ewing Marion Kauffman Foundation
",Navin Chaddha,Managing Director,Mayfield Fund,
,,,,,,,Kevin Efrusy,Partner,Accel Partners,
,,,,,,,Peter Fenton,General Partner,Benchmark Capital,
,,,,,,,Renu Raman,Executive-in-Residence,Tallwood Ventures,
,,,,,,,Jim Smith,General Partner,MDV-Mohr Davidow Ventures,
6:10 PM,CLOSING REMARKS,,,,,,,,,
6:20 PM,CANAAN COCKTAIL RECEPTION,,,,,,,,,
