Publish?,Filled out Fulfillment Form,List On Front Page?,Photo Ready?,Gender,Prefix,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
Yes,y,Yes,Yes,m,,Evan,Tana,Director of Product Management and Marketing,Loopt,Director of Product Management and Marketing,,,speaker,y,"Evan Tana is responsible for product management and product marketing at Loopt, a Palo Alto-based Sequoia and NEA backed company building a revolutionary social mapping service to change the way people use mobile phones to keep in touch with friends. Most recently Evan was a Product Manager at Digital Chocolate, one of the world's largest publishers of mobile games. Before following his passion for mobile technology, Evan spent time at private equity firm in Beijing and Goldman Sachs in San Francisco. Evan earned his BS and MS from Stanford University.",maunaully uploaded
Yes,y,Yes,Yes,m,,Frank ,Meehan,General Manager of 3G Handsets and Products,Hutchinson Whampoa/3,General Manager of 3G Handsets and Products,,,speaker,y,"Frank has been with Hutchison since March 2001, initially working with the network integration and launch for 3 UK. After a successful network launch, Frank was given the responsibility of managing the 3G handset procurement, specification, selection, UI and supply for handsets for all of Hutchison’s 3G operations. In March 2006, Frank was additionally asked to develop and launch Hutchison’s open mobile internet proposition (X-Series) for all 3G operations, and he now also manages the key application partners such as Google, Skype, Microsoft, Sling, Novarra, Orb and others for the Group. Previously, Frank held roles with Ericsson in the UK, Asia and Sweden.",1243907689
Yes,y,Yes,Yes,m,,Fred,Kitson,Corporate Vice President,"Motorola, Inc.","Corporate Vice President, Applied Research and Technology Center",,,speaker,y,"Dr. Kitson leads Motorola’s Applied Research and Technology Center where his global team focuses on uncovering and developing disruptive breakthroughs and technology foundations for the next big things in media mobility. Dr. Kitson joined Motorola in 2005 from Hewlett-Packard, where he had world-wide responsibility for mobile and media systems research in their corporate research labs. His expertise includes mobile systems, computer systems, consumer appliances and specific technologies such as multimedia digital signal processing, communications, and computer graphics. Dr. Kitson is a prolific publisher of technical papers and holds five patents.",1251181936
Yes,y,Yes,Yes,m,,Gary,Kovas,Vice President and General Manager,Adobe,"Vice President and General Manager, Mobile and Devices",,,speaker,y,"Kovacs is responsible for Adobe’s mobile marketing strategy, communications and market intelligence. Prior to joining Adobe in 2004, he led the successful creation of Zi Corporation, a NASDAQ-listed technology company specializing in embedded software and services for mobile and consumer devices. As president of Zi Corporation, Kovacs envisioned a technology to bridge the usability gap between humans and computing devices. He developed the company from initial traction to a repeatable product business with more than 100 major customers shipping over 50 million mobile devices annually. Kovacs also spent 10 years at IBM in positions of increasing seniority including product management and marketing, corporate marketing, sales leadership, and general management within the global software division based in New York.",
Yes,y,Yes,Yes,m,,Greg ,Sterling,Analyst,Sterling Market Intelligence/Local Mobile Search,"Analyst, Sterling Market Intelligence/Opus Research",,,speaker,y,"Greg Sterling founded Sterling Market Intelligence, a consulting and research firm that tracks the Internet's impact on offline consumer purchase behavior. SMI covers a range of market segments, including local search, online yellow pages, verticals and classifieds, mobile, social media and multi-channel shopping. Sterling is also the lead analyst for LocalMobileSearch, an advisory service from Opus Research dedicated to the mobile Internet. In addition, Sterling blogs for Search Engine Land, Screenwerk and LocalMobileSearch.net. Previously, Sterling ran the Interactive Local Media service of The Kelsey Group. Prior to that, Sterling was at TechTV where he helped produce ""Working the Web."" Before TechTV he was an editor and executive producer at AllBusiness.com. And before joining AllBusiness, Sterling was a practicing attorney in San Francisco.",1246977872
Yes,y,Yes,Yes,m,,Gregg ,Davis,"Senior Vice President, Chief Information Officer",Webcor Builders,"Senior Vice President, Chief Information Officer",,,speaker,y,"Gregg Davis has been involved in the technology industry for more than 20 years. As CIO of Webcor Builders, his responsibilities include leading offshore software development, client consulting, virtual building design, and daily internal IT planning and operations. Mr. Davis has been instrumental in helping to transform Webcor Builders into a recognized technology leader of the construction industry. He has helped create strategic alliances with technology companies which allow Webcor to increase its efficiency to a degree that is unparalleled by any other contractor.",
Yes,y,Yes,Yes,m,,Gustaf,Alströmer,Co-founder,heysan!,Co-founder,,,speaker,y,Gustaf is from Sweden and co-founder and CEO of Heysan. Previously he was Director of Business Development at the mobile community Upoc Networks in New York where he managed Upoc's mobile dating service. He left Upoc and co-founded Heysan as a part of the Y Combinator startup program in Mountain view in January 2007. Heysan has since raised seed funding from Khosla Ventures and the founders or Skype. Gustaf graduated with a degree in New Media Business &amp; Management from Hyper Island School of New Media Design in 2002.,1248797456
Yes,y,Yes,Yes,m,,Ian,Freed,VP of Amazon Kindle,Amazon.com,VP of Amazon Kindle,,,speaker,y,"Ian Freed joined Amazon in 2004 as director of mobile products and services. Now in Amazon's Digital Services division, he oversees the business division including product marketing and engineering for end-to-end product and services in digital media, including Kindle, Amazon's wireless reading device. Before joining Amazon Digital, Freed was vice president of mobile products and services with RealNetworks, Inc. where he oversaw business development, marketing, product management, and product development globally. He previously served as president of his own company, Ian Freed Consulting where he worked from 1991 to 1997. Prior to that, he was a consultant at Richard A. Eisner &amp; Company and Kalba International. Freed earned his bachelor's degree in Physics from Dartmouth College and his master's degree from Harvard University.",1251218682
Yes,y,Yes,Yes,m,,Jake,Seid,Managing Director,Lightspeed Venture Partners,Managing Director,,,speaker,y,"Jake has over eight years of venture capital experience and has helped complete more than 20 investments at Lightspeed across mobile (Skyfire, Rhythm New Media, Icebreaker), Internet (Kosmix, TutorVista), systems (Aerohive, Identity Engines), software (Personeta, Sailpoint, Skybox) and components (Teknovus, SiPort, Unity). Jake also co-leads Lightspeed's India initiative. Prior to Lightspeed, Jake was responsible for the industry's first DOCSIS-based cable modems and routers, which won ""Best of Show"" and ""Best Networking Hardware"" at Comdex'99. Jake serves on the Board of the MIT-Stanford Venture Lab and the Advisory Board of Nexus India Capital, an India-focused venture capital firm. He holds a BS and MEng in Electrical Engineering from MIT. At MIT, he earned the Karl Taylor Compton Prize, the highest honor given to an MIT student.",1248456703
Yes,y,Yes,Yes,m,,Jason,Devitt,Chief Executive Officer,Skydeck,Chief Executive Officer,,,speaker,y,"Jason is CEO and co-founder of Skydeck. Previously Jason co-founded Vindigo, one of the first companies in the US to publish content and applications for mobile phones. Jason led the company from inception to over $10 million in revenue and profitability in 2005. An advocate for open networks, open devices, and open development platforms, Jason has testified on these issues before Congress and the FCC. He holds a US patent related to location-based services. Prior to Vindigo Jason spent four years working for the investment firm D. E. Shaw &amp; Co. in London and New York. Jason grew up in Ireland and has a Master’s Degree in Electronic Engineering and a Diploma in Law from UCD and the King’s Inns in his hometown of Dublin.",1243906631
Yes,y,Yes,Yes,m,,Jeff,Belk,Managing Director,"ICT168 Capital, LLC",Managing Director,,,speaker,y,"Jeffrey Belk is a principal in ICT168 Capital, LLC, focused on developing and guiding global growth opportunities in the Information and Communication Technology space.  Formerly, Belk spent almost 14 years at Qualcomm, where prior to his departure in early 2008, he was SVP of strategy and market development. From 2000 until 2006, Belk was senior vice president, global marketing, leading a team responsible of all facets of the company’s corporate messaging, communications, and marketing worldwide.  In 1999-2000, Belk was SVP &amp; GM of Qualcomm Eudora Products. Prior to Qualcomm, Belk spent ten years in the PC industry, primarily with Proxima Corporation, in distribution, product management, and international roles.",1249329133
Yes,y,Yes,Yes,m,,Jeff,Clavier,Founder,SoftTech VC,Founder,,,speaker,y,"Jeff Clavier is the Founder and Managing Partner of SoftTech VC, a seed stage venture capital firm. Since 2004 Jeff has become one of the most active investors in the Web 2.0 space, financing 40+ early stage startups. Announced in September 2007, his last fund, $12M SoftTech VC II, has invested in 22 companies in a year – most of them being stealth. Jeff's areas of interest include Social Media and Communities, Search, Monetization, Consumer Infrastructure and Gaming. Before founding SoftTech VC, Jeff was a Partner with RVC (the venture capital arm of Reuters) investing in enterprise software and media. While studying Computer Science in Paris, Jeff developed (in C/Unix) real-time front-office applications for a tiny French startup, Effix, which became a market leader internationally and was acquired by Reuters in 1993.",1243603840
Yes,y,Yes,Yes,m,,Jeff,Taylor,Director of Global Marketing and Product Strategy,Hutchinson Whampoa/3,"Director of Global Marketing and Product Strategy, Hutchison Whampoa 3G Handsets & Applications Group",,,speaket,y,"Jeff Taylor spent the past ten years making the mobile web a global reality. He has worked with many major mobile and Internet brands throughout Asia Pacific, Europe and the U.S. He was instrumental in the launch of the 3 Skypephone, the world’s first fully integrated Skype mobile heralded for its ease of use, as well as X-Series, a breakthrough initiative to drive mobile internet adoption into the mainstream. Prior to that, Taylor was director of customer marketing for the 3 mobile network in the UK, a Hutchison Whampoa company and the world’s first, pure 3G mobile network. He continues to be a staunch advocate for ruthless simplicity in both product development and communication.",
Yes,y,"Yes
",Yes,m,,Jerry,Panagrossi,"VP, North American Operations",Symbian,"VP, North American Operations",,,speaker,y,"Jerry Panagrossi is vice president and general manager of the Symbian operations in North America, responsible for strategic planning, market development and communications.  A 15-year veteran of the mobile industry, Jerry is a featured keynote speaker, panelist and company spokesperson, offering his unique perspectives on macroeconomic and technology trends.  Jerry launched the Symbian partner program in North America and co-created the Symbian venture capital forum in which he advises startup companies on best practices for obtaining funding and engaging with handset manufacturers and operators.  Jerry serves on the board of directors of Symbian, Inc. and recently completed a four-year assignment on the board of directors of the Open Mobile Alliance (OMA)―a non-profit organization committed to providing service enabler specifications for the mobile industry worldwide.  Jerry earned a BSc in computer science from Southern Connecticut University and is a graduate of the distinguished Executive Program at the Stanford Graduate School of Business.",1249943457
Yes,y,Yes,Yes,m,,John,Faith,General Manager and Vice President of Mobile,MySpace,General Manager and Vice President of Mobile,,,speaker,y,"John Faith is the General Manager and Vice President of MySpace Mobile, and is responsible for all aspects pertaining to the growth and success of the business unit. Prior to his current role, John contributed to multiple initiatives for the company as Vice President of Engineering including the expansion of MySpace into 29 local versions, the development of MySpace’s mobile product line, the maturation of its post sales production processes, and the delivery of a custom content management system. Prior to MySpace, John was a software engineer and technical manager at Experian Consumer Direct and GoldPocket Interactive where he developed credit monitoring and interactive television software respectively.",
Yes,y,Yes,Yes,m,,John,Koller,Director of Hardware Marketing,Sony Computer Entertainment America,Director of Hardware Marketing,,,speaker,y,"As Director, Hardware Marketing, at Sony Computer Entertainment America (SCEA), John Koller is responsible for the management and marketing of the PLAYSTATION 3, PSP (PlayStation Portable), PlayStation 2, PLAYSTATION Network marketing, and all related peripherals in North America. In his current role, Koller is tasked with the management of all aspects of PlayStation hardware platforms, including brand management, product features, strategic initiatives, movie studio and music label content development, peripheral launches and more. He has managed or assisted with the launches of all current SCEA hardware products, including the PS3, PSP, PlayStation 2, as well as many PlayStation 2 peripherals. Koller has more than 12 years of consumer product marketing experience, including 11 years directly in the videogame industry.",1251335108
Yes,y,Yes,Yes,m,,John,O'Rourke,"General Manager, Windows Mobile",Microsoft Corp.,"General Manager, Windows Mobile",,,speaker,y,"O’Rourke is responsible for the ISV and Developer ecosystem, and Strategic planning for Microsoft Mobile strategy and Windows Mobile product and services. John has been responsible for all Product Planning and Product Management of Windows Mobile platform of products since 2006. From 2003 to 2006, John was Senior Director for Microsoft’s Consumer Strategy, and responsible for shaping Microsoft’s marketing and business strategies in the consumer marketplace. Before that, John was Director of Marketing for Xbox, responsible for building the Xbox brand and driving consumer demand for Xbox and games published under the Microsoft label. Prior to that, John was Director of Marketing for the Learning, Entertainment, and Productivity Division of Microsoft and also served as the Group Product Marketing Manager for the Desktop Applications Division.",1245889537
Yes,y,Yes,Yes,m,,John,Roese,Chief Technology Officer,Nortel,Chief Technology Officer,,,speaker,y,"Roese is responsible for leading Nortel’s overall R&amp;D strategy and execution and for directing future research across all product portfolios. He also works closely with the Chief Strategy Officer on emerging technologies, market opportunities and strategic partnerships. Roese is the functional leader of Nortel's 12,000 scientists, engineers and designers worldwide. Prior to joining Nortel, Roese was vice president and CTO for networking technologies at semiconductor company Broadcom Corporation, and, before joining Broadcom, Roese served as CTO at Enterasys Networks. Roese hosts his own blog on Nortel.com, sits on the boards of the One Laptop Per Child association and ATIS, and is actively involved in the IEEE and IETF, as well as other standards bodies. He has co-authored a number of IEEE standards and related documents.",1243464204
Yes,y,Yes,Yes,m,,John,SanGiovanni,"Co-founder and VP, Product Design",Zumobi,"Co-founder and VP, Product Design",,,speaker,y,"John SanGiovanni has more than eight years of experience as a wireless strategist and mobile user interface designer. He is to blame for Zumobi's obsession with design and to-the-nanosecond interest in technical and cultural trends. Before Zumobi, John was Technical Evangelist and Program Manager for Microsoft Research, where he managed external academic research funding in the areas of mobile technologies and user interfaces. In this role, he filed several patents concerning information visualization, hardware interfaces and interaction techniques for next-generation mobile devices, some of which provide the foundation for Zumobi's core user experience. Before joining Microsoft, John worked on the Advanced Technology Learning Solutions team at PPI/Knowledge Universe and worked in Studio Entertainment for the Walt Disney Company. John graduated from the University of Florida.",1248746559
Yes,y,Yes,Yes,m,,JP,Finnell,Founder & CEO,"Mobility Partners, LLC",Founder & CEO,,,speaker,y,"JP Finnell is co-chair of the Mid-Atlantic chapter of Mobile Monday (one of 60+ chapters in the world's leading wireless mobility community with 90,000+members) and CEO of Mobility Partners, a pure-play wireless mobility consultancy that enables enterprises to realize optimal return on wireless and mobility investments. JP was General Manager of Mobility Professional Services worldwide for the Enterprise Solutions division of Nokia. Prior to this role, he headed up client services, solutions management, and business development groups for startups (United Messaging) and global technology leaders (Novell, Xerox, Deloitte), where he developed expertise in wireless mobility, messaging, Software as a Service (SaaS), secure identity management, service-oriented architecture (SOA) and open source software. JP was a Fellow in the Leadership New York program run by Coro's New York Leadership Center, and a Fellow at the Joseph H. Lauder Institute of Management &amp; International Studies, where he received an MA from the University of Pennsylvania. He holds an MBA from the Wharton School and a BS from the Georgetown University.",1243907689
Yes,y,Yes,Yes,m,,Jyri,Engeström,Entrepreneur,Google,Entrepreneur,,,speaker,y,"Jyri is co-founder of Jaiku (www.jaiku.com), a microblogging service acquired by Google in 2007. He has over a decade of experience in the Internet and mobile industry. Prior to co-founding Jaiku he was Senior Product Manager at Nokia. He co-founded ShiftControl Finland, a job site acquired a Finnish publishing house, worked at Tera Group venture capital partnership, and Satama Interactive the leading Nordic Web consultancy. He holds patents in mobile communications and near-field communications. He runs the Aula conference and has written extensively on mobile technology and social networking. Jyri holds a Master's Degree in Social Science from the University of Helsinki and is currently a Ph.D. candidate at the Lancaster University Management School.",1246987171
Yes,y,Yes,Yes,m,,Ken,Fisher,Founder and Editor-in-chief,ArsTechnica,Founder and Editor-in-chief,,,speaker,y,"Ken is Editor-in-Chief and Founder of Ars Technica, a leading online technology news and analysis destination since 1998. Ken is also a Ph.D. candidate in the Study of Religion at Harvard University, where he focuses on the intersection of philosophy and religion in antiquity.",1243792231
Yes,,Yes,Yes,m,,Ken,Kershner,Senior Vice President of Engineering,"Dash Navigation, Inc.",Senior Vice President of Engineering,,,speaker,y,"For nearly 20 years, Ken Kershner has held key engineering roles in the digital media field with a focus on product innovation and customer experience. Prior to joining Dash, Ken spent seven years at TiVo serving in a number of engineering leadership positions including Vice President of Service Engineering. In this position, Ken was charged with building the division focused on developing products for satellite and cable providers. Before TiVo, Ken was the Engineering Vice President of TenTV.com, a streaming media educational services firm. For more than eight years, Ken held engineering and program management positions at Silicon Graphics, Inc., focusing on digital media and web applications. Ken holds a BSEE degree from Duke University and an MBA from M.I.T.'s Sloan School.",
Yes,y,Yes,Yes,m,,Lee,Ott,"Global Director, Yahoo! oneSearch",Yahoo!,"Global Director, Yahoo! oneSearch",,,speaker,y,"Lee Ott is the director of Yahoo!’s oneSearch product team. His team has global responsibility for Yahoo! oneSearch, a redefined mobile search experience that fundamentally changes the way consumers access and use Internet content and services on their mobile devices. Lee is a veteran at Yahoo!, where he has worked for almost 6 years. Most recently at Yahoo! he ran the Advanced Products Group. While a member of that team he launched the Webby Award-winning Yahoo! Podcasts product. Prior to working in the Advanced Products Group Lee built many of the products that are part of Yahoo!’s co-branded broadband services with partners including AT&amp;T, Verizon, Rogers and BT. He graduated Magna Cum Laude from Duke University with a Bachelors of Science degree in Electrical Engineering.",1247271040
Yes,y,Yes,Yes,m,,Marc,Davis,Chief Scientist of Yahoo! Connected Life and Director of ESP,Yahoo!,Chief Scientist of Yahoo! Connected Life and Director of ESP,,,speaker,y,"Marc Davis is Chief Scientist of Yahoo! Connected Life and Director of ESP. His work focuses on creating the technology and applications that will enable the billions of daily media consumers to become daily media producers. His research encompasses the theory, design, and development of sociotechnical systems that leverage contextual metadata and the power of community to enable people around the world to produce, describe, share, and remix media, and to connect to each other in new ways. From 2002 to 2006, Marc served as Assistant Professor at the UC Berkeley School of Information where he directed Garage Cinema Research and co-founded the UC Berkeley Center for New Media.",1248134440
Yes,y,Yes,Yes,m,,Matt,Murphy,Partner,Kleiner Perkins Caufield & Byers,Partner,,,speaker,y,"Matt Murphy is a Partner at Kleiner Perkins Caufield &amp; Byers; he joined in 1999. Matt manages the iFund at KPCB, a collaborative initiative with Apple and the iPhone platform, which focuses on defining applications for the mobile internet. His expertise is in network communications, compute infrastructure, and mobile applications. Matt is either a Director or works closely with the management teams of Autonavi, Dash, Pelago, M2Z, Movius , Kodiak Networks, GOGII, RGB Networks, Stoke, Aerohive Networks, Ocarina, Xsigo, and eASIC. Previously Matt was a board observer at Google (from initial investment to IPO) and director at Peakstream (acquired by Google).",1245774566
Yes,y,Yes,Yes,m,,Matthew,Fix,Principal,Vodafone Ventures,Principal,,,speaker,y,"Matthew is a principal at Vodafone Ventures, a $200M fund focused on mobile and digital media. He has invested in and is an active board observer for Amobee, Evolution Robotics, and Caringo. Previously, he was an investment manager at Intel Capital, where investments included Financial Engines, Datallegro, SpikeSource, BlackDuck, BayPackets (acquired by Genband) and Incesoft. He founded a small communications company while an undergraduate at UC Berkeley.",1249346472
Yes,y,Yes,Yes,m,,Michael ,Woodward,"Vice President, Mobility Business Marketing",AT&T,"Vice President, Mobility Business Marketing",,,speaker,y,"Michael Woodward manages the P&amp;L, product roadmap, and go-to-market strategy for AT&amp;T's mobile business solutions. His product responsibility spans from wireless networked voice and IP telephony solutions to integrated data applications and services for the mobile enterprise. For the past six years, Michael has directed the launch and growth of an extensive AT&amp;T wireless product portfolio of enterprise solutions, including BlackBerry, Microsoft, and Good Mobile Messaging, and dozens of PDAs and smart devices. Michael’s industry experience includes more than fifteen years in telecommunications, including executive positions he held at Motorola and PacketVideo prior to joining AT&amp;T. Michael is a graduate of the University of Arizona, with an MBA in Marketing and served as a U.S. Naval Intelligence Officer with domestic and international field operations experience.",1247587086
Yes,y,Yes,Yes,m,,Mike,Nolan,Product Manager,Pyxis Mobile,Product Manager,,,speaker,y,"Mike Nolan is a Product Manager at Pyxis Mobile, Inc.  Mike is responsible for working to define the future of the Pyxis Mobile solutions, managing internal and external product-related communication, and providing management and processes for product ideas and changes.  In addition to his role as a Product Manager, Mike manages the delivery process for partner mobile applications, helping companies realize their mobile goals through Pyxis Mobile technology. Prior to Pyxis Mobile, Mike was at Thomson Financial, where he was an early member of the Corporate Executive Services (CES) group.  Within CES, Mike was responsible assisting in the creation and distribution of two secure portal technologies aimed at executives, ExecutiveEdge and BoardLink.  In his role, Mike worked with executive management to determine technical, sales, pricing and marketing strategies. Mike has also has extensive experience in the consulting and software spaces for companies like Darwin Partners and Oracle.  He holds a BA from St. Michael's College in Winooski, VT.",
Yes,y,Yes,Yes,m,,Morgan,Gillis,Executive Director,LiMo Foundation,Executive Director,,,speaker,y,"Morgan Gillis joined the LiMo Foundation in August 2007 as executive director. He has overall responsibility for leading the Foundation and all operational affairs including marketing, membership development, commercial and legal. Prior to joining LiMo Foundation, Gillis served for six years as the operational board member for Symbian Limited, with global responsibility for sales and professional services. He established licensing agreements with all major handset makers, negotiated global agreements with several Tier One operators and oversaw the support of numerous customer implementation projects, which helped establish the smart phone as a new industry category. Before entering the mobile industry, Gillis held CEO and managing director positions with two leading European IT services businesses. He holds a Master's degree in mathematics and computer science.",
Yes,y,Yes,Yes,m,,Nagraj,Kashyap,Senior Director,QUALCOMM Ventures,Senior Director,,,speaker,y,"Nagraj Kashyap is Senior Director at QUALCOMM Ventures and heads up worldwide activities for the group. Mr. Kashyap has over 12 years of experience in the telecommunications industry. Prior to his current role, Nagraj worked in various engineering and management capacities at Nortel, 3COM, Motorola, PRTM and QUALCOMM. He currently actively manages and serves as a board observer for QUALCOMM Ventures investments in Obopay, WaveMarket, Airplay Networks, GoTV Networks, Triage Wireless and Novarra. Mr. Kashyap also led QUALCOMM Ventures investments in Airvana (AIRV) and Bitfone (acquired by HP in 2007). Mr. Kashyap has an MBA from the J.L. Kellogg Graduate School of Management and an MS in Computer Science from the University of Texas at Austin.",1249388379
Yes,y,Yes,Yes,f,,Noelia,Amoedo,VP Mobile,hi5,VP Mobile,,,speaker ,y,"Noelia leads the hi5 mobile team and overall mobile strategy. From product design to strategic partnerships, Noelia is responsible for all aspects of hi5's mobile business. Noelia joins hi5 from Buongiorno, a worldwide provider of mobile value added services, where she was first Vice President of Sales &amp; Operations and then COO for the company's North American division. She previously ran international business development at Buongiorno and was instrumental in the company's commercial successes across a diverse set of international markets including United Kingdom, South Africa, Greece, Australia, and Kuwait. Prior to Buongiorno, she worked in professional services at iPIN (now Valista). Noelia holds a Physics Degree from Santiago de Compostela University and a Masters in Electrical Engineering from Stanford University.",1245422566
