Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp
y,y,y,y,m,Ken,Denman,CEO,Openwave Systems,"CEO, Openwave Systems",19,,speaker,y,"Ken Denman is chief executive officer for Openwave Systems (NASDAQ: OPWV) where he is focused on executing Openwave's corporate strategy and growing the company's global market share with innovative software infrastructure products and services for mobile and broadband operators. Ken's career spans more than 20 years in the global telecommunications and IT industries. Before Openwave, Ken served as chairman and CEO of iPass, a world leader in platform-based enterprise mobility services where he guided the company in leveraging the explosion in new broadband and wireless access technologies to make them real and globally available to any enterprise or service provider. Under Mr. Denman's leadership, iPass grew its revenue by 200 percent and went public in 2003.",
y,y,y,y,m,Walt,Doyle,President and CEO,Where,"President and CEO, Where",22,,speaker,y,"Walt’s passion for emerging technology has kept him on the leading edge of consumer media and technology for over 15 years. Prior to joining Where, Inc. in 2005, Walt was a GM of MapQuest (TWX). His career began in Hong Kong with Dow Jones (DJ), then spanned executive level appointments with GameSpot (CNET), Net2Phone (IDT), and DialPad (YHOO). Walt’s ability to identify emerging technology trends, create corporate strategy, and build winning teams puts him squarely at the helm of Where, Inc. Walt was named a finalist in the Ernst & Young Entrepreneur Of The Year® 2010 New England program, honoring his accomplishments at Where.",1280843178
y,y,y,y,m,Jonathan,Ebinger,General Partner,BlueRun Ventures,"General Partner, BlueRun Ventures",,,speaker,y,"Jonathan Ebinger, General Partner, focuses on mobile, media, and internet opportunities. Jonathan has 15 years of marketing and finance experience in the telecommunications industry. Previous experience includes Vice President of Marketing for Qwest Communications, and senior level positions at Bell Atlantic Internet Solutions and MCI Communications. In addition, Jonathan founded and successfully exited Simply Savings, Inc., an Internet shopping service.  Some of Jonathan's current investments include Payvment, Fwix, and Motally. He received his M.B.A. from Darden Graduate School of Business Administration at the University of Virginia, and holds a B.S. in Finance from Virginia Tech. ",1281041830
y,y,y,y,m,JP,Finnell‎,Managing Partner,Mobility Partners,"Managing Partner, Mobility Partners",,,speaker,y,"JP Finnell is Managing Partner of Mobility Partners, LLC a boutique wireless mobility consultancy. JP is Chair and co-founder of Mobile Monday Mid-Atlantic, one of 100 chapters in the world’s leading mobile community. He is also a GigaOm analyst, with a focus on enterprise mobility and B2C/B2E/B2B mobile apps. JP previously served as General Manager of Mobility Professional Services worldwide for the Enterprise Solutions division of Nokia, where he and his team consulted to financial institutions, healthcare organizations, public sector, and carriers.  JP was a Fellow in Coro's New York Leadership Center, and a Fellow at the Lauder Institute of Management & International Studies, University of Pennsylvania, where he received an MA. He holds an MBA from the Wharton School.",1280196225
y,y,y,y,m,Mike,Gallagher ,CEO,SpiderCloud Wireless,"CEO, SpiderCloud Wireless",17,,speaker,y,"Prior to joining SpiderCloud in late 2007 (pre Series A), Mr. Gallagher was the CEO of FiberTower, Inc., a company he joined via the merger with First Avenue Networks in 2006 where Mr. Gallagher was the CEO. Mr. Gallagher was previously the president of Flarion Technologies, a company acquired by Qualcomm. Before joining Flarion in March 2001, he was the SVP for worldwide sales and operations for Nortel Networks' IP Services business unit (formerly Shasta Networks acquired by Nortel in April 1999). Prior to Shasta Networks, Mr. Gallagher led Bay Networks’ North American sales operations. Mr. Gallagher has also held positions with Synoptics, AT&T and Network Equipment Technologies. He holds an MBA from Pace University and a bachelor’s degree in business from Fordham University.",1279551235
y,y,y,y,m,Colin,Gibbs,Mobile Curator,GigaOM Pro,"Mobile Curator, GigaOM Pro",,,speaker,y,"Before joining GigaOM Pro, Colin spent five years as a reporter and columnist for the trade publication RCR Wireless News, where he focused on mobile content, applications, social networks, marketing and advertising. He is a mainstay at industry events, having served as a panelist and judge for initiatives such as the Mobile Marketing Awards and Forum Nokia PRO Awards. His work has been cited by mainstream publications including the New York Times and New York Daily News. Prior to joining the tech world, Colin covered college and high-school sports for the Denver Post and was a general-assignment reporter for the independent Denver Daily News.",1249943457
y,y,y,y,m,Alistair,Goodman,CEO,Placecast ,"CEO, Placecast ",,,speaker,y,"Alistair Goodman leads an award-winning team at Placecast, developing leading-edge mobile programs for brands to monetize location-based technology. Placecast runs mobile marketing for brands like The North Face, Sonic Drive-In, American Eagle Outfitters, Vans and Chicos. Alistair began his career on Wall Street, then worked as management consultant for CSC Index. He was a founder at Impli, a digital media company acquired by PRN, and then became the VP of Strategic Marketing at the Tribal Fusion ad network which grew to be one of the largest privately-held online advertising companies in the US. Alistair received a BA from Haverford College, an MBA from the J.L. Kellogg School of Management, and was a Henry Luce scholar.",1280248601
y,y,y,y,m,Phil,Hendrix,Founder and Director,immr,"Founder and Director, immr ",,,speaker,y,"Dr. Phil Hendrix is the director of immr (www.immr.org), a research and consulting firm he founded to help clients bring innovative new products and services to market.  Phil works with clients to uncover customer needs, optimize product/service features, achieve competitive differentiation and accelerate market acceptance.  He is also an analyst in GigaOm's analyst network, focusing on mobile and location-based services, in particular. Before founding immr, Phil was a partner with DiamondCluster and a principal with Mercer Management Consulting (now Oliver Wyman).  Previously, he was a professor at Emory University and the University of Michigan, where he taught courses in research, buyer behavior and marketing strategy.  Phil received his PhD in Marketing from the Graduate School of Business, University of Michigan.",1273609845
y,y,y,y,m,Ron,Hirson,SVP Marketing and Business Development,BOKU,"SVP Marketing and Business Development, BOKU",16,,speaker,y,"Ron brings over fourteen years experience in product and general management in the consumer Internet space to the BOKU team. Most recently, Ron served as VP of Product at AT&T Interactive, which he joined through the acquisition of Ingenio. Ron spent 6 years at Ingenio, where he served as VP of Product Management.  Prior to his role at BOKU, Ron served as Entrepreneur-in-Residence at Khosla Ventures and actively advises several companies in the consumer Internet space. Ron is frequently sought out for opinions and advice in the mobile payments space, and has been quoted recently in Business Week, The San Jose Mercury News, and Bloomberg News.",1277935674
y,y,y,y,m,Will ,Hunsinger,CEO,Evri,"CEO, Evri",,,speaker,y,"Will brings a deep knowledge of consumer Web marketing and product management to Evri. Hunsinger, former CEO of Adeze, an interactive advertising platform, has recently been an entrepreneur-in-residence (EIR) at Maveron LLC, a venture capital firm based in Seattle. Prior to Adeze, Will was vice president and general manager of Gap Online and vice president of product management for Gap’s Direct Division. He also served as senior director of strategy and new business development for Overture Services prior to its acquisition by Yahoo! and as vice president of business development and product management at Business.com. Will began his career at Andersen Consulting, now Accenture, and graduated from the Georgetown University School of Foreign Service.",
y,y,y,y,m,Geoff,Iddison,"Group Executive, e-Commerce and Mobile",MasterCard Worldwide,"Group Executive, e-Commerce and Mobile, MasterCard Worldwide",5,,speaker,y,"Geoff Iddison is Group Executive, e-Commerce and Mobile at MasterCard.  In this capacity, he is responsible for providing overall strategic leadership for global electronic commerce and mobile efforts.  He leads the evaluation of consumer and competitive trends in these areas; formulates strategies to anticipate and address new opportunities; and, ensures that MasterCard is positioned to prevent or thwart disintermediation plays from both traditional and emerging forces.  Before joining MasterCard, Geoff was the Chief Executive Officer of Jagex, and before that, was the Chief Executive Officer of PayPal Europe.  Previously, he held the simultaneous roles of Chief Executive Officer of Butterfields, one of the largest auction houses in the U.S., and Vice President/General Manager of eBay High-end Business.",1281643688
,y,y,y,m,Bill,Joll,President,Velocitude,"President, Velocitude",,,speaker,y,"As Velocitude's President, Mr. Joll's responsibilities include managing day-to-day operations, short and long term strategic planning by leveraging over 20 years of global executive operational experience and managing P&Ls exceeding $1B across a broad spectrum of technology operations. Mr. Joll has extensive industry expertise in streaming media, IPTV, telecom, wireless and mobile enterprise technologies. Mr. Joll was most recently the President & CEO of On2 Technologies in current acquisition by Google. Prior to joining On2, he served as Vice President of Marketing for Carrier Solutions at Real Networks. Mr. Joll, served as President and Chief Executive Officer of successive technology start-ups, Maple Optical Systems, Maple Networks and Threshold Networks. Previously, he spent 18 years at Nortel serving as President of Marketing for Europe, General Manager of two carrier product lines, and head of Product Management in Asia and Latin America. Mr. Joll holds a B.S. and M.S. in Electrical Engineering from the University of Manitoba.",
y,y,y,y,m,Lars,Kamp ,Executive,Accenture,"Executive, Accenture",,,speaker,y,"Lars is a Senior Manager in Accenture's Strategy Practice and has over nine years of experience in the mobile industry. He's based in San Francisco and previously worked for Accenture's offices in Vienna, Rome and Seoul. In his work he mainly focuses on the mobile web, digital services and devices at the intersection of consumers, media and technology. When not working, Lars is a Crossfit practitioner and spends his free time skiing in Tahoe and on the Bay sailing. Lars is Accenture's Global Segment Lead for Consumer Technology. He is also one of the organizers of sfmobile.org, a San Francisco-based networking group with focus on mobile and digital media.",1280963764
y,y,y,y,m,Evan ,Kaplan,President and CEO,iPass,"President and CEO, iPass",,,speaker,y,"Evan L. Kaplan is president and CEO of iPass, Inc., a leading provider of enterprise mobility services with more than 3,500 customers. An experienced entrepreneur, Evan founded Aventail Corporation, a pioneer of SSL VPN access, in 1996. He served as president and CEO of the company until it was acquired by Sonicwall in July 2007. Evan has been honored as one of Network Worldâ€™s 50 Most Powerful People in the Networking Industry, and as a 1999 Ernst and Young Entrepreneur of the Year in the Pacific Northwest. He currently serves on the advisory boards of Mpire, CityID and HomePipe Networks. Evan holds an MBA from the University of Washington.",1278541893
y,y,y,y,m,Thomas,Keys,COO,MetroPCS Communications ,"COO, MetroPCS Communications ",6,,speaker,y,"Thomas C. Keys became MetroPCS Communications Inc's (MetroPCS) Chief Operating Officer in June 2007. Since joining the company in April 2005, Keys previously served as the Senior Vice President of Market Operations, and as Vice President and General Manager. Prior to joining MetroPCS, Keys served as the Chief Operating Officer for VCP International Inc., a Dallas-based wholesale distributor of wireless products. He also served as the Senior Vice President of Business Sales for Weblink Wireless Inc. (formerly PageMart, Inc.), during which he managed national sales and distribution efforts and held other senior management positions.",1254754363
y,y,y,y,m,Samir,Khazaka,"Senior Director, Technical Marketing",Qualcomm,"Senior Director, Technical Marketing, Qualcomm",,,speaker,y,"As Senior Director of Technical Marketing at QUALCOMM, Samir Khazaka leads the company’s corporate technology messaging efforts. Khazaka joined QUALCOMM’s engineering team in 1997 and has since held positions in engineering, product management and technical marketing. His team plays a key role in the development and communication of the company’s technology messaging. As an inventor, he holds ten patents, and has several patents in pending status covering a range of telecommunications related designs. Khazaka holds a Bachelor of Science in Electrical Engineering and a Master’s in Engineering Management from Old Dominion University in Norfolk, Virginia. Prior to joining QUALCOMM, he held various engineering positions at Schlumberger and ABB.",
,y,y,y,m,Srinivas,Krishnamurti,Senior Director for Mobile Solutions,VMware,"Senior Director for Mobile Solutions, VMware",18,,speaker,y,"Srinivas Krishnamurti is a Senior Director for Mobile Solutions in the CTO Office.  He is responsible for defining and driving VMware's product and go to market strategy for mobile phones and emerging devices.  Previously, as part of the emerging markets group, he led VMware's Linux Strategy and was responsible for launching VMware Fusion into the consumer market.  Prior to that, he led the product management team for VMware's developer products.  Before joining VMware, Srinivas was responsible for product management of the software configuration management product line at Rational Software.Srinivas has a bachelor's degree in Computer Science from Arizona State University and an MBA from Leavey School of Business.
",
y,y,y,y,m,Mike ,Kuniavsky,CEO,ThingM,"CEO, ThingM",8,,speaker,y,"Mike Kuniavsky is a writer, designer, researcher and entrepreneur. His focus is the intersection of people and technology. His 2003 book, ""Observing the User Experience,"" has helped thousands of people understand the relationship between people and products, and it is used as a textbook by top universities around the world. His 2010 book, ""Smart Things: ubiquitous computing user experience design"" is a guide to the user-centered design of digital consumer electronics, appliances, and environments.  He has designed dozens of award-winning product experiences that are used by tens of thousands of people every day. He is a cofounder of ThingM, an electronic hardware design, development and manufacturing company, and was a founding partner of Adaptive Path, an influential San Francisco internet consultancy.",
y,y,y,y,m,Amir,Lahat,Head of Corporate Business Ventures,Nokia Siemens Networks,"Head of Corporate Business Ventures, Nokia Siemens Networks",,,speaker,y,"Amir Lahat is Head of Global Business Ventures for Nokia Siemens Networks (NSN), one of the largest telecommunications hardware, software and services companies in the world. With over 65,000 people, NSN is serving more than 600 mobile operators across 150 countries. Amir heads NSN's business ventures that expands NSN activities to new domains. In this role Amir runs the internal incubation program, external venturing activities and cloud business domain. Amir joined NSN through Atrica’s acquisition, the Carrier-Ethernet company he co-founded. Prior Amir co-founded Dyyno, and had business and technical roles at 3Com/NiceCom and Nortel/Telrad. Amir's operational background includes telecom/mobile and media industries where he had marketing, strategy and engineering roles. Amir holds Engineering & MBA from Tel-Aviv university, continued studies from Standford and 10 patents.",
y,y,y,y,m,Ilja,Laurs,Founder and CEO,GetJar,"Founder and CEO, GetJar",13,,speaker,y,"Ilja Laurs is Founder and CEO of GetJar, the world’s largest cross-platform mobile application store. In 2009, Informa Telecoms & Media included Ilja in the “Top 40 most influential people in mobile communications”. As a recognized industry's thought leader, Ilja speaks on all major conferences and is regularly quoted in such respectable news sources as BBC, CNN, Forbes, The New York Times, WSJ, USA Today and others. In February 2010, Ilja made the cover of the America's leading entrepreneurship magazine ""Entrepreneur"". Ilja received his degree in Economics at Vilnius University. Serial entrepreneur since 1999, Ilja's launched over 10 successful projects, as diverse as Lithuania's largest hotel reservation system LithuanianHotels.com, mobile payments service MicroPay and mobile games studio Gaxo Interactive. ",
y,y,y,y,m,Quinn,Li,Managing Director,Qualcomm Ventures,"Managing Director, Qualcomm Ventures",,,speaker,y,"Quinn Li is Managing Director of Qualcomm Ventures. Quinn focuses on investments in mobile, devices and enabling technologies and also leads investment activities in North America. He manages and serves as a board observer for Qualcomm Ventures investments in AMEC, Consert, InvenSense and Tela Innovations. Quinn also led Qualcomm Ventures investment in A123 Systems (AONE). Prior to Qualcomm Ventures, he worked as a product manager in IBM, and also worked in the wireless infrastructure group at Lucent Technologies and mobile communications group at Broadcom. Quinn holds an MBA from Cornell University and an MS and PhD in Electrical Engineering from Washington University in St. Louis.",
y,y,y,y,m,Christian,Lindholm,Managing Partner,Fjord,"Managing Partner, Fjord",7,,speaker,y,"Christian is an internationally recognized visionary on mobility and digital lifestyle. He was Vice President of Global Mobile Products at Yahoo and worked for ten years at Nokia in various roles in the areas of user interface, product creation and venturing. Helsingin Sanomat, Finland's largest daily newspaper called Christian the 'godfather of mobile phone users', a tribute to the long-term efforts making Nokia phones easier to use. Christain believes that everything can always be simplified and made more delightful to use, and that everything that can be mobile will be mobile. He has a master's degree in Economics and takes a strategic and unified perspective on design, design management and product creation. ",
y,y,y,y,m,Michael,Manos,VP Hosting Operations Production,Nokia,"VP Hosting Operations Production, Nokia",14,,speaker,y,"Mike is responsible for global service operations and infrastructure for Nokia’s Ovi brand of mobile internet services. As a seasoned technology management executive, Mike has over 17 years of management experience and technical industry certifications with a strong background in data center management, information technology platforms, network architecture, service management (ITIL) and telecommunication technologies. Previously, Mike has held roles with Digital Realty Trust and Microsoft where he had data center design, construction, ongoing operations and professional services. He has also held leadership roles at Walt Disney, Rhythms NetConnections, and Nuclio Corporation (now part of Sun Microsystems).  He holds multiple IT and Data Center technology sector patents and is an active voice in the data center community.
",1279663190
y,y,y,y,m,David,Marcus,Founder and CEO,Zong,"Founder and CEO, Zong",14,,speaker,y,"David Marcus is the founder and CEO of Zong, the leading mobile payment service used by online gaming and social networking sites. Zong is the mobile payment provider for Facebook Credits and also works with hundreds of leading destination sites, such as Gaia Online, IMVU and Aeria Games. An experienced entrepreneur, David has created a number of successful venture-backed businesses. David started his first company, GTN telecom in 1996.  By 2000, David founded Echovox, a leading mobile media monetization company that helps large media companies connect with their mobile audiences. In developing Echovox, David built a wide network of direct relationships and connections with mobile operators around the world. This formed the foundation for Zong, which was spun out of Echovox in 2010. ",1277911114
y,y,y,y,f,Emily,Melton,Partner,Mayfield Fund,"Partner, Mayfield Fund",,,speaker,y,"Emily Melton is an experienced investor having worked in venture capital for nearly a decade. Emily’s primary areas of interest include technology enabled services and consumer-oriented technologies. Emily joined Mayfield from Draper Fisher Jurvetson, where she was actively involved in the firm’s consumer investment portfolio. Emily previously served on the boards of MyShape, NearbyNow, RedFin and ShareThis. She was also responsible for DFJ’s investments in Meebo, Kudo, RichRelevance and Flux (acquired by MTVNetworks). Emily holds a BA with honors and distinction in Political Philosophy and an MBA, both from Stanford University.",
y,y,y,y,m,Steve ,Mollenkopf,EVP and Group President,Qualcomm,"EVP and Group President, Qualcomm",3,,speaker,y,"Steve Mollenkopf serves as executive vice president of Qualcomm, Incorporated and president of Qualcomm CDMA Technologies (QCT), the world's largest provider of wireless chipsets and software solutions. Mollenkopf is also a member of Qualcomm’s Executive Committee, helping to drive Qualcomm’s overall global strategy.  He currently serves on the Board of Directors of the The Global Semiconductor Alliance (GSA) and the Semiconductor Industry Association (SIA). During his sixteen-year tenure at Qualcomm, Mollenkopf’s technical and business leadership have been critical to the development and implementation of multiple industry-leading innovations. He holds two electrical engineering degrees, including a BSEE from Virginia Tech and an MSEE from the University of Michigan at Ann Arbor.  ",manual
y,y,y,y,m,Ted,Morgan,Skyhook,CEO ,"Skyhook, CEO",,,speaker,y,"Ted Morgan founded Skyhook Wireless with Michael Shean in 2003 to capitalize on the explosive growth of Wi-Fi usage and the emerging demand for location-based services. Prior to founding Skyhook, Mr. Morgan was the Vice President of Marketing for edocs Inc., a provider of customer self-service solutions that was sold to Siebel Systems in January 2005. Prior to edocs, Mr. Morgan was Group Product Manager for Open Market. Prior to that, he was product manager for Harbinger Net Services in Atlanta. Prior to the technology industry, Mr. Morgan spent four years in finance, as part of Donaldson, Lufkin & Jenrette, Alliance Capital, and Allen & Company. Mr. Morgan has an undergraduate degree in mathematics from Georgetown University and an MBA from the University of Chicago.",1278709041
y,y,y,y,m,Michael,Mullany,VP Products and Marketing,Sencha ,"VP Products and Marketing, Sencha ",,,speaker,y,"Michael Mullany is VP of products at Sencha. Prior to Sencha, he held product and executive marketing roles at influential Silicon Valley market pioneers Netscape, Loudcloud and VMware. At virtualization leader VMware, he served as the vice president of worldwide marketing during its break-out into server computing. Most recently, he was VP marketing & products for startups Engine Yard and Peakstream, the latter acquired by Google during his tenure. Michael has an extensive track record in defining and executing business and product strategy as well as creating high-impact, go-to-market plans for software infrastructure companies. He holds an MBA from Stanford University and a BA in economics from Harvard College.",
,y,y,y,m,Matt,Murphy,Partner,Kleiner Perkins Caufield & Byers,"Partner, Kleiner Perkins Caufield & Byers",,,speaker,y,"Matt Murphy is a Partner at Kleiner Perkins Caufield & Byers; he joined in 1999. Matt manages the iFund at KPCB, a collaborative initiative with Apple focused on funding and building defining applications on the iPhone OS platform and the mobile internet. His expertise is in network communications, compute infrastructure, and mobile applications. Matt is either a Director or works closely with the management teams of Booyah!, GOGII, Pelago, Shazam, shopkick, Kodiak Networks, RGB Networks, Stoke, Aerohive Networks, and Puppet Labs. Previously, Matt was a board observer at Google (from initial investment to IPO) , led KP's investment in Autonavi (NASDAQ: AMAP '10), and was a Director at Ocarina Networks (acquired by Dell '10), Peakstream (acquired by Google '08), Dash Navigation (acquired by RIM '09). Prior to KPCB, Matt led product management at a semiconductor start-up (Netboost acquired by Intel) and worked at Sun Microsystems where he led business development for the Network Systems Group and was a Product Line Manager for networking platforms. He also worked in strategic and technical consulting for a number of years at Booz, Allen, & Hamilton and Accenture. Matt holds a BS in Electrical Engineering from Tufts University and an MBA from the Stanford Graduate School of Business.
",
y,y,y,y,m,Nicholas,Negroponte,Founder and Chairman,One Laptop per Child,"Founder and Chairman, One Laptop per Child",2,,speaker,y,"Nicholas Negroponte is founder and chairman of the One Laptop Per Child non-profit association. He is currently on leave from MIT, where he was co-founder and director of the MIT Media Laboratory, and the Jerome B. Wiesner Professor of Media Technology. A graduate of MIT, Negroponte was a pioneer in the field of computer-aided design, and has been a member of the MIT faculty since 1966. He is also author of the 1995 best seller, Being Digital, which has been translated into more than 40 languages. Negroponte serves on the board of directors for Motorola and as general partner in a venture capital firm specializing in digital technologies for information and entertainment. He has provided start-up funds for more than 40 companies, including Wired magazine.",1278634475
y,y,y,y,m,John ,Occhipinti,Managing Director,Woodside Fund,"Managing Director, Woodside Fund",,,speaker,y,"John Occhipinti has over 19 years of experience in software technology. As Managing Director of Woodside Fund, John dedicates his expertise to the development of ventures in cloud computing, open source software, and mobile technologies.  John serves on the Board of Directors of Intalio, (private cloud computing, open source), VeriWave (mobile wireless tools company), and Tacit Software (Enterprise Expertise Automation software). Prior to joining Woodside Fund, John was an early executive at Netscape Communications.  John ran Netscape’s Electronic Software Distribution and Strategic Channel Sales divisions. Prior to Netscape, John worked at Oracle Corporation, marketing and selling large-scale enterprise database technologies. John has an MBA from the University of California, Berkeley, Walter A. Haas School of Business, and a BA from the University of California Berkeley. ",1283899679
,y,y,y,f,Maggie,Overfelt,Senior Editor,The Street,"Senior Editor, The Street",15,,speaker,,,
y,y,y,y,m,Pooj,Preena ,CEO,Group Hi-Media USA,"CEO, Group Hi-Media USA",,,speaker,y,"Pooj Preena is the CEO of online media conglomerate Hi-media USA, and runs the company's payments business unit - Hi-media Payments - out of its San Francisco office. To address the phenomenal growth of micropayments, driven by virtual goods economies and a need for publishers to directly monetize online content, Pooj is bringing Hi-media’s industry leading Allopass payment platform to the North American market. Most recently, Pooj was at Jangl, where , he drove a number of partnership and distribution efforts.  He came to Jangl from Skype, where as the first US employee he developed and executed key partnerships that comprised the Skype hardware partner ecosystem and contributed significantly to the company's value at acquisition by eBay in 2005 for over $2 billion. ",1281032770
y,y,y,y,m,Sam,Ramji,"VP, Strategy",Apigee,"VP, Strategy, Apigee",,,speaker,y,"Sam brings over 15 years of industry experience in enterprise software, product development, and open source strategy.  Prior to Sonoa, Ramji led open source strategy across Microsoft. He was a founding member of the AquaLogic product team and has built large-scale enterprise and Web-scale applications, leading the Ofoto engineering team through its acquisition by Kodak. Other experience includes hands-on development of client, client-server and distributed applications on Unix, Windows and Macintosh at companies ranging from Broderbund to Fair Isaac. Sam holds a Bachelor of Science degree in Cognitive Science from the University of California at San Diego, and is a member of the Institute for Generative Leadership. ",
