FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,f,Laura,Chambers,Senior Director of PayPal Mobile,PayPal,"Senior Director of PayPal Mobile, PayPal",3,,speaker,y,"Laura Chambers is senior director of PayPal Mobile with overall responsibilities focused on “mobilizing PayPal” and bringing outstanding PayPal applications and features onto the mobile platform. Chambers leads the design and development of PayPal mobile, ensuring excellent end-to-end mobile experiences for all PayPal customers. She also directs the development of mobile Web technologies and helps to develop and communicate PayPal strategy and financial plans across the organization. Throughout her five year career at PayPal and eBay, Chambers has held numerous strategic roles in PayPal, Marketplaces, Skype and eBay Inc. Chambers headed PayPal’s funding mix product team and was a member of the strategy team, where she developed new product ideas and led several strategy projects for merchant services.",,,,
y,y,y,y,m,Nathan,Clevenger,Chief Software Architect,ITR Mobility,"Chief Software Architect, ITR Mobility",,,speaker,y,"With more than a decade of experience, Nathan Clevenger is an expert in the design and execution of enterprise mobility strategy and solutions. As chief software architect at ITR Mobility, Clevenger works with Fortune 500 enterprises to help realize his personal vision of ""mobile apps in the hands of every worker."" He is the author of ""iPad in the Enterprise"" from Wiley, the enterprise editor for iPhone Life magazine, and a featured speaker at mobile and IT conferences, where he shares his passion for capturing the unrealized potential for mobile technology within the enterprise.",,, @n_clevenger,http://www.linkedin.com/in/nathanclevenger
y,y,y,y,m,Tom,Conrad,CTO and EVP of Product,Pandora,"CTO and EVP of Product, Pandora",1,,speaker,y,"Tom Conrad leads Pandora’s product organization, including product management, user interface design, software development and, network operations. Tom has led numerous engineering and product design teams across several applications. Before joining Pandora, Tom was VP of Engineering at Kenamea and was responsible for the design and development of an award-winning messaging system. Tom previously was the Technical Director for the video game, ""You Don't Know Jack."" Past experience includes positions at Berkeley Systems, Relevance Technologies, Documentum, Pets.com, and Apple Computer. He holds three U.S. patents and a B.S. in Computer Engineering from the University of Michigan. Tom holds both technology and music close to his heart. He likes to say the only instrument he plays well is his stereo.",,,@tconrad,
y,y,y,y,m,Paul,Cousineau,VP Mobile Products,Walmart Global eCommerce,"VP Mobile Products, Walmart Global eCommerce",6,,speaker,y,"Paul is the Vice President of Mobile Product for Walmart's Global eCommerce group. He is responsible for developing mobile software products across mobile web, apps, and tablets for Walmart's businesses around the world. Prior to joining Walmart, Paul had a long career with Palm and Handspring, where he most recently led the Software Product Management team that launched the webOS operating system. A native of Canada, Paul earned his BS in Material Engineering from Queen’s University.",,,,http://www.linkedin.com/pub/paul-cousineau/0/11a/815
y,y,y,y,m,Steve,Douty,"VP, Applications and Mobile Product Management",Yahoo!,"VP, Applications and Mobile Product Management, Yahoo!",10,,speaker,y,,,,,
y,y,y,y,m,Nathan,Eagle,CEO,txteagle,"CEO, txteagle",9,,speaker,y,"Nathan Eagle serves as the CEO of txteagle Inc. txteagle enables global organizations to conduct large-scale surveys and engagement campaigns in emerging markets via the mobile phone. Through partnerships with over 220 mobile operators in almost 100 countries, txteagle has the unique ability to not only communicate with, but compensate, 2.1 billion people with mobile airtime. Nathan also holds dual Adjunct Professor appointments at the MIT Media Laboratory and Harvard University. His PhD from the MIT Media Laboratory on Reality Mining was declared one of the '10 technologies most likely to change the way we live' by the MIT Technology Review. In 2009, he was elected to the TR35, a group of the top innovators under 35. ",,,,
,y,y,y,m,Bob,Egan,Managing Director,MGI Research and Analyst GigaOM Pro,"Managing Director, MGI Research and Analyst GigaOM Pro",,,speaker,,,,,,
y,y,y,y,m,JP,Finnell‎,"Senior Director, Enterprise Mobility, SAP America","and Analyst, GigaOM Pro","Senior Director, Enterprise Mobility, SAP America and Analyst, GigaOM Pro",,,speaker,y,"JP Finnell is Senior Director, Enterprise Mobility at SAP America, Inc. and founder of Mobile Monday Mid-Atlantic, one of 100 chapters in the world’s leading mobile community. His research on collaboration and enterprise mobility is published by GigaOM Pro and he currently serves as the Enterprise Mobility Track Chair for Mobilize 2011. Previously, JP consulted to enterprise, technology, and carrier clients as Managing Partner of Mobility Partners and as General Manager of Mobility Professional Services at Nokia. He was a Fellow in Coro's New York Leadership Center, and a Fellow at the Lauder Institute of Management & International Studies, University of Pennsylvania, where he received an MA. He holds an MBA from the Wharton School.",1280196225,,@JPFinnell,http://www.linkedin.com/in/jpfinnell
y,y,y,y,m,Bill‎‎,Geiser ,CEO,Meta Watch,"CEO, Meta Watch",,,speaker,y,"Bill Geiser is the CEO for Meta Watch Ltd. Meta Watch is a design and technology development company focused on reinventing the watch as a glanceable display for mobile devices and mobile-oriented web services. Meta Watch was recently formed through an acquisition of Fossil Inc.’s connected watch business, where Geiser served as the VP of Watch Technology. Geiser began focusing on wrist-based applications in 1994 when he founded Strokz Digital Sports, a company that developed watches for competitive swimmers and triathletes. Since then, Geiser has focused on wireless / connected watches functioning as glanceable displays for enhancing the mobile user experience",,http://www.facebook.com/profile.php?id=500020193,@billg,http://www.linkedin.com/profile/view?id=27684&trk=tab_pro
y,y,y,y,m,Shlomi,Gian,General Manager of Mobile Service,Cotendo ,"General Manager of Mobile Service, Cotendo ",,,speaker,y,"Shlomi Gian serves as General Manager of the Mobile Acceleration business for Cotendo, the fast-growing provider of cloud-based acceleration services for traditional and mobile websites and applications. In leadership positions since the beginning of the mobile performance and testing solutions industry, Gian spearheaded Cotendo's entrée into mobile content acceleration, the largest expansion since the global company's inception. This built on Gian's success bringing to market software solutions for companies like DeviceAnywhere and Keynote Systems. Gian is vocal about the opportunities and challenges of the mobile Internet industry: ""Investors are pouring money into mobile innovation, but most without a clear monetization strategy. The good news is that just as caching revolutionized DSL, a clever approach to mobile content acceleration stands to recast this industry for profitability.""",,,@cotendo,http://www.linkedin.com/in/shlomigian
y,y,y,y,m,Tom,Gillis,VP and GM Security Technology Business Unit,Cisco,"VP and GM Security Technology Business Unit, Cisco",,,speaker,y,"Tom Gillis is a respected authority on how to secure the Web 2.0 world and a recognized visionary on how the Mobile Internet will change the nature of work. As Vice President and General Manager of Cisco’s Security Technology Business Unit, Gillis is responsible for positioning Cisco as the leader in security for a new era. The author of the book “Security for the Web 2.0 World,” he has evangelized the idea of the distributed workforce. Before Cisco, Gillis was co-founder of IronPort Systems. Under his leadership, IronPort grew about 100 percent a year for seven years. He served as SVP, Marketing when it was acquired by Cisco as part of a one billion dollar investment in its security business.",,,,
y,y,y,y,m,Chuck,Goldman,Founder and Chief Strategy Officer,Apperian,"Founder and Chief Strategy Officer, Apperian",,,speaker,y,"Chuck founded Apperian in 2009 and leads Apperian's strategic initiatives and business development for the company. Chuck spent eight years as a Director at Apple, Inc where he helped integrate Apple technologies into Apple's largest education and enterprise customer infrastructures. Chuck led Apple's iPhone Enterprise Beta Program program and helped Apple's earliest adopters leverage iOS to empower a mobile workforce since the day it launched. Chuck was also founder and CEO of Interactive Media Solutions, the leading provider of next-generation online recruiting tools for colleges and universities. At IMS, Chuck created America's first ""virtual open house"" where students, faculty, and staff communicated in real-time and conducted virtual online leader-led campus tours.",,www.facebook.com/Apperian,@ChuckyG,http://www.linkedin.com/pub/chuck-goldman/0/166/a0b
y,y,,y,m,Brad,Greene,Senior Business Leader,Visa,"Senior Business Leader, Visa",,,speaker,y,"Brad Greene is a Senior Business Leader for Visa, responsible for the company’s business development efforts in the mobile industry as it rolls out its global strategy to bring mobile payments and financial services to consumers in both developed and emerging markets. Before joining Visa, Brad was global head of business development for the GSMA, the mobile industry association representing over 800 mobile operators worldwide.  Prior to that, he was a corporate development executive for BellSouth, responsible for M&A deals and strategic equity investments.  Before joining BellSouth, Brad was an investment professional with Summit Partners, focusing on growth-stage investments in technology companies.  Brad has served on several private-company boards, including a solutions provider for mobile web developers, a semiconductor design firm focused on mobile communications, and a manufacturer of consumer plastic products.  Brad holds an MBA from Emory University and a BS degree from Georgia Tech. Outside of his professional activities, he travels widely, is an avid mountain biker and enjoys living in the San Francisco Bay area with his wife and nine-year-old daughter.",,,,
y,y,y,y,m,Quentin,Hardy,Deputy Tech Editor,The New York Times,"Deputy Tech Editor, The New York Times",,,speaker,y," Quentin Hardy is Deputy Technology Editor of The New York Times, specializing in enterprise technology. He previously worked at Forbes Magazine and The Wall Street Journal. ",,,,
y,y,y,y,m,Jeff,Haynie,CEO and Co-Founder,Appcelerator,"CEO and Co-Founder, Appcelerator",,,speaker,y,"Jeff Haynie is Co-founder and CEO of Appcelerator. Jeff is a long-time serial entrepreneur, technologist and blogger. Previously, Jeff was Co-founder and CTO of Vocalocity, a software provider in the communications arena and before that, CTO of eHatchery, a digital incubator and off-shoot of Bill Gross’ idealab!. Jeff has worked on numerous standard committees such as IETF and W3C as well as core contributor to a number of important open source technologies such as JBoss and OpenVXI. Jeff served with distinction in the U.S. Navy. ",,,@jhaynie,
y,y,y,y,m,Ben,Hedrington,"Sr. Director, Mobile and Web Strategy - Emerging Platforms",Best Buy,"Sr. Director, Mobile and Web Strategy - Emerging Platforms, Best Buy",13,,speaker,y,"Ben Hedrington is the senior director of web strategy and mobile as part of Emerging Platforms at Best Buy Co. Inc. He leads the mobile product lines composed of Best Buy’s mobile web, apps and tablet experiences through this period of exponential growth and consumer adoption. Throughout his eight years at the company he continues to explore, discover and drive forward what is possible on the web in places where others could not yet see. His founding work and foresight of the push towards mobile made possible Best Buy's early involvement putting them in a leading position today for their mobile customers. Similar energy and vision led to his co-creation of Best Buy's highly acclaimed “Twelpforce” in the social space.",,http://facebook.com/benhedrington,@benhedrington,http://linkedin.com/in/benhedrington
y,y,y,y,m,Phil,Hendrix,Director,immr and Analyst GigaOM Pro,"Director, immr and Analyst GigaOM Pro",,,speaker,y,"Dr. Phil Hendrix is the Director of immr, a research and consulting firm he founded to help clients bring innovative new products and services to market. Phil helps clients uncover customer needs, optimize product/service features, achieve competitive differentiation and accelerate market acceptance. He is also an analyst in GigaOm Pro, focusing on mobile, location and m-commerce, in particular. Before founding immr, Phil was a partner with DiamondCluster (now PwC Advisory) and a principal with Mercer Management Consulting (now Oliver Wyman). Previously, he was a professor at Emory University and the University of Michigan, where he taught courses in research, buyer behavior and marketing strategy. Phil received his PhD in Marketing from the Graduate School of Business, University of Michigan.",1273609845,,@phil_hendrix,http://www.linkedin.com/in/philhendrix
y,y,y,y,m,John,Herrema,SVP Corporate Strategy,Good Technology,"SVP Corporate Strategy, Good Technology",,,speaker,y,"Herrema joined Visto Corporation, the parent company of Good Technology, in June 2003 as VP Business Development when Visto acquired ViAir Inc. Prior to joining Visto, Herrema co-founded ViAir in February 2000 where he also served as VP Business Development and helped drive ViAir's product and business strategy, including the formation of it’s initial distribution partnerships with carriers such as AT&T Wireless and Nextel Communications and infrastructure providers like Comverse Technology. Before founding ViAir, John was Business Development in Microsoft's Wireless Sales and Strategy Group. He joined Microsoft after helping launch Sprint PCS. Herrema has over 15 years of experience in the wireless industry and has been featured in articles in places like CNET, InfoWorld and mocoNews.",,http://www.facebook.com/pages/Good-Technology/239721912044,@Good_Technology,http://www.linkedin.com/profile/view?id=336403
y,y,y,y,m,Stephen,Herrod,CTO,VMware,"CTO, VMware",,,speaker,y,"Steve Herrod is the Chief Technology Officer at VMware. As CTO, Steve helps drive the company’s technology strategy and works with the engineering teams towards continued delivery of innovative products. Steve helps drive these advances directly and via members of the Office of the CTO. He provides particular leadership around technology collaborations between VMware engineering and the company's partners and customers. He was named CTO of the Year by InfoWorld in 2009 and sits on the EMC Technical Advisory Board. Steve holds a Ph.D. and a Master’s degree in Computer Science from Stanford University, and a Bachelor of Arts from the University of Texas at Austin.",,,,
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Stacey Higginbotham is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last ten years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas.",,,,
,y,y,y,m,Brian,Hinman,VP of Intellectual Property and Licensing,InterDigital,"VP of Intellectual Property and Licensing, InterDigital",,,speaker,y,"Brian Hinman has over 25 years experience in the field of intellectual property, holding various senior executive positions with Fortune 50 companies.  He has created and executed intellectual property strategies, negotiated hundreds of patent and technology licensing agreements, conducted patent divestitures and acquisitions, been involved in creation and spinoff of high-tech based startup entities, performed numerous IP-based valuations, and served as Chief Executive Officer of a very unique patent defensive entity.  Currently, Brian is Vice President of Intellectual Property and Licensing at InterDigital Communications, LLC.  Brian is formerly VP of Intellectual Property and Licensing at Verizon Communications Inc. and was the founding CEO of Allied Security Trust. Mr. Hinman held various senior executive positions at IBM, including VP of Intellectual Property and Licensing.",,,,
y,y,y,y,m,William,Hsu ,SVP and Chief Product Officer,AT&T Interactive,"SVP and Chief Product Officer, AT&T Interactive",7,,speaker,y,"William Hsu, Chief Product Officer at AT&T Interactive, is responsible for overall product strategy and performance across consumer, advertiser, and publisher products. Since joining AT&T Interactive, Mr. Hsu has been instrumental in leading the growth of the company’s publisher network, and has contributed to the overall product and ad strategy for its flagship mobile app, YPmobile and YP.com. Prior to AT&T Interactive, William founded BuildPoint - a leading B2B marketplace for commercial construction services- that was acquired in 2004. Will's product leadership also includes leading eBay’s local initiatives and product marketing & strategy at Spot Runner. William has degrees from Stanford University and The Wharton School at University of Pennsylvania. ",,,,
,,,,,Chris ,Hylen ,"VP and GM, Payment Solutions Division",Intuit,"VP and GM, Payment Solutions Division, Intuit",14,,speaker,,"Chris Hylen is Vice President and General Manager of the Payment Solutions Division at Intuit. He leads the company’s development of innovative payment solutions such as GoPayment. Hylen has more than 20 years of small business payments experience, which includes leading Intuit’s multiple payments solutions spanning across desktop, online and mobile platforms. Chris Hylen has focused the company’s energy and efforts to create mobile products for business owners to allow them to thrive in an ever shifting business climate. With the launch of their first mobile payment product, GoPayment, Intuit has provided their customers with the means to process payments wirelessly through any Internet enabled mobile phone and through select device applications. ",,,"@gopayment 
",http://www.linkedin.com/pub/chris-hylen/1/328/95
y,y,y,y,f,Maha,Ibrahim,General Partner,Canaan Partners,"General Partner, Canaan Partners",,,speaker,y,"Maha Ibrahim is a technology trend spotter with deep operational experience. She joined Canaan in March of 2000 and focuses on digital media, networking and wireless investments. Maha has won numerous industry awards and is frequently invited to speak at digital media conferences. Maha holds a B.A. in Economics and an M.A. in Organizational Behavior from Stanford University and a Ph.D. in Economics from MIT. She currently sits on the boards of 3Crowd, eBillme, SenSage , Virsto and Kabam. Maha is an active member of the MIT/Stanford Venture Lab. ",,,@mahaibrahim,
y,y,y,y,f,Efrat,Kasznik,President,Foresight Valuation Group,"President, Foresight Valuation Group",,,speaker,y,"Efrat is an Intellectual Property valuation and strategy expert, with over 15 years experience assisting companies with the management and commercialization of their IP portfolios, including some of the largest IP holders in the telecom industry. She teaches an IP Strategy class at the Stanford Graduate School of Business, and is a frequent speaker and author on IP valuation and strategy issues. Efrat is the founder of Foresight Valuation Group, a Silicon-Valley based IP and start-up advisory firm. Prior to Foresight, she was Director of the Intellectual Asset Management practice at LECG, a global consulting firm. Efrat has been involved as an entrepreneur with several start-ups, serving as CFO of a telecom start-up, and co-founder of a cleantech start-up.",,,@ForesightValue,http://www.linkedin.com/in/ekasznik
y,y,y,y,m,Chris,Kemmerer,"Director, Mobility Solutions",Verizon,"Director, Mobility Solutions, Verizon",,,speaker,y,"Chris is responsible for leading a team focused on the strategy, marketing and development of mobile solutions for Verizon’s enterprise, small/medium business and government customers. While at Verizon, Chris has focused on business communication solutions and has held leadership positions in operations, sales, engineering and marketing. Most recently, Chris led Verizon Wireless’ Unified Communications and Collaboration (UC&C) Product Marketing team where his organization focused on business transformation by extending UC&C services to mobile workers. Prior to joining Verizon, Chris led an organization focused on designing and delivering Advanced Communication Services, such as next-generation optical, wireless, and real-time communications solutions. Chris represents Verizon at various industry conferences and in publications on topics including mobility, security and UC&C.",,,,
y,y,y,y,m,Ryan,Kim,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Ryan has covered personal technology and wireless for the San Francisco Chronicle before joining GigaOM. He is based in New York and covers a number of topics including mobile development, app economies and East Coast start-ups.",,,,
,y,y,y,m,Mike ,Kuniavsky,CEO,ThingM,"CEO, ThingM",,,speaker,y,"Mike Kuniavsky is a writer, designer, researcher and entrepreneur. His focus is the intersection of people and technology. His 2003 book, ""Observing the User Experience,"" has helped thousands of people understand the relationship between people and products, and it is used as a textbook by top universities around the world. His 2010 book, ""Smart Things: ubiquitous computing user experience design"" is a guide to the user-centered design of digital consumer electronics, appliances, and environments.  He has designed dozens of award-winning product experiences that are used by tens of thousands of people every day. He is a cofounder of ThingM, an electronic hardware design, development and manufacturing company, and was a founding partner of Adaptive Path, an influential San Francisco internet consultancy.",,,,
y,y,y,y,m,Scott,Kveton,CEO,Urban Airship,"CEO, Urban Airship",,,speaker,y,"Scott Kveton is the CEO of Urban Airship, a mobile services platform provider in Portland, Oregon. He is widely recognized as an expert on mobile app strategy and cloud infrastructure. He speaks frequently on app monetization, engagement and the developer ecosystems around the various mobile platforms. Under Kveton’s leadership, Urban Airship has added customers, employees and accolades at a rapid pace. The company powers some of the most successful brands in mobile, including ESPN, Tapulous, Groupon, dictionary.com, msnbc.com and Newsweek. As of June, the venture-backed start-up has delivered more than 4 billion push notifications across the iOS, Android and Blackberry platforms and enabled more than 4 million in-app mobile transactions.",,http://about.me/kveton,@kveton,http://www.linkedin.com/in/kveton
y,y,y,y,f,Laurie,Lamberth,"Founder and VP, Business Development",Lamberth & Associates,"Founder and VP, Business Development, Lamberth & Associates and Analyst, GigaOM Pro",,,speaker,y,"Laurie Lamberth brings proven success to her clients, drawing on her deep experience and relationships gained from launching a Tier 1 mobile operator and lining up strategic partnerships for numerous companies across the global wireless industry. A subject matter expert in the Internet of Things, Laurie combines her experience in machine-to-machine (M2M) communications, enterprise mobility, location-based services, digital media, marketing and strategy to help her clients bring cutting-edge technologies to market. Laurie presents at industry conferences and publishes articles and research papers, including authoring the column “Unplugged” in Connected World Magazine and contributing to GigaOM Pro.",,,@laurielamberth,www.linkedin.com/in/laurielamberth
y,y,y,y,m,Zephrin,Lasker,CEO and Co-Founder,Pontiflex,"CEO and Co-Founder, Pontiflex",,,speaker,y,"A serial entrepreneur, Zephrin successfully launched two start-ups prior to Pontiflex. He founded Pontiflex because he wanted to help people connect with companies they actually want to hear from. Zephrin oversees the development and execution of the Pontiflex AppLeads platform, which extends signup ad technology to the world of mobile apps. Zephrin is a frequent speaker at industry conferences and is a regular contributing blogger for Forbes. When not thinking about tech stuff, Zephrin disappears into the forests and rivers of Vermont.",,,,
y,y,y,y,m,Ilja ,Laurs,Founder and CEO,GetJar,"Founder and CEO, GetJar",,,speaker,y,"Ilja Laurs is the Founder and CEO of GetJar, world’s largest open app store. “European Manager of the Year 2011” by European Business Press, the association of the leading European business and financial publications, “25 European Tech Leaders” by Wall Street Journal, “Top 40 most influential people in mobile communications” by Informa Telecoms and Media, “10 Start-ups That Will Change Your Life” by TIME magazine and “Technology Pioneer 2011” by World Economic Forum are only a few of his numerous industry achievements. Since 2005, pioneering in the app store concept, GetJar serves 350,000 developers, from one-man shops to brands like Google, Microsoft and Facebook. As of August 2011, GetJar distributes 200,000 mobile applications and has served over 2 billion downloads.",,,,http://www.linkedin.com/in/laurs
y,y,y,y,m,Tim,Lee,Partner,"	
Sequoia Capital","Partner, 	
Sequoia Capital",,,speaker,y,"Tim is a Partner at Sequoia Capital who works with mobile, cloud and software companies. Prior to joining Sequoia Capital in 2009, Tim worked at Google where he managed European marketing and product launch strategy. While at Google, he also conceived the YouTube Symphony Orchestra. Earlier, Tim worked at McKinsey & Company in London and at microprocessor IP company, ARM, in Cambridge UK. Tim has a Masters in Electrical and Information Engineering from Cambridge University, and an MBA from Stanford University’s Graduate School of Business.",,,,http://www.linkedin.com/in/timothytclee
y,y,y,y,m,Brian ,Magierski,CEO and Co-Founder,Appconomy,"CEO and Co-Founder, Appconomy",11,,speaker,y,"As a 14-year seasoned entrepreneur, Brian has served large enterprises and businesses with application software and web services offerings. He is currently the co-founder, President & CEO of Appconomy, which produces and delivers mobile apps that power the economies of people, businesses and enterprises. Prior to Appconomy, he co-founded Moxie Software and iMark.com. He served as Executive Vice President of Corporate Development at Moxie and CEO at iMark.com. Moxie raised over $50 Million in funding and in less than 4 years grew to over $30 Million in revenue. iMark.com, a business-to-business surplus goods web trading marketplace, sold in March 2000 for $340 Million. He holds an MBA from Harvard Business School and a BS in Engineering from Cornell University.",,http://www.facebook.com/appconomy,@bmagierski,http://www.linkedin.com/in/magierski
y,y,y,y,m,Om,Malik,Founder,GigaOM,"Founder, GigaOM",,,speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,
y,y,y,y,m,Jonathan,Marino,Editor,"peHUB.com, Thomson Reuters","Editor, peHUB.com, Thomson Reuters",,,speaker,y,"Jonathan Marino is the editor of Thomson Reuters' peHUB.com, covering venture capital and private equity in New York and editing the daily peHUB Wire. Previously, he wrote for and edited M&A Journal and covered a range of topics with publications including the New York Times, Los Angeles Times and New York Post.",,,@JonMarino,http://www.linkedin.com/profile/view?id=79648922&trk=tab_pro
