Publish?,Filled out Fulfillment Form,List On Front Page?,Photo Ready?,Gender,Prefix,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
Yes,y,Yes,Yes,m,,Brian,Pitstick ,"GM, Ultra Mobile Devices, Consumer Product Group",Dell,"GM, Ultra Mobile Devices, Consumer Product Group, Dell",,,speaker,y,"Brian Pitstick is General Manager of Dell’s Ultra Mobile Device & Accessories, Consumer Product Group. In this role, Mr. Pitstick is responsible for product planning, product development, and launch of Dell’s consumer mini notebook lines (Inspiron mini) and accessories. Prior to this role, Mr. Pitstick spent over 8 years in various product development and product marketing roles within Dell including managing planning group for consumer laptop line, managing product messaging & go-to-market teams, and leading product management. Prior to Dell in 2000, Mr. Pitstick spent time at Compaq Computer in Houston, TX and NCR in Dayton, Ohio. Mr. Pitstick holds Bachelor of Science degree from Purdue University in engineering and a MBA from Krannert School of Business at Purdue University.",
Yes,y,Yes,Yes,m,,Phil ,Asmundson ,"Vice Chairman and National Managing Partner – Technology, Media & Telecommunications",Deloitte LLP,"Vice Chairman and National Managing Partner – Technology, Media & Telecommunications, Deloitte LLP",,,speaker,y," Phil has more than 25 years of experience serving companies in the Technology, Media and Telecommunications (TMT) industry.  An audit partner by background, Phil has served clients in such areas as accounting and auditing, control process design, mergers and acquisitions, performance enhancement and strategy development / evaluation.  Phil has worked with virtually all sub-sectors of TMT including Networking Technology, Optic Fiber Technology, Cable Operators, Content Providers, LECs, CLECs, IXCs, Wireless and Satellite.  As the National Managing Partner, Phil is responsible for developing the strategy for the practice and coordinating the Firm’s overall services to industry clients.  He currently serves as the Lead Client Service Partner or Advisory Partner on some of the practice’s largest accounts.",
Yes,y,Yes,Yes,m,,"Vincent
",Hoogsteder,CEO and Co-Founder,Distimo,"CEO and co-founder, Distimo",,,speaker,y,"Vincent Hoogsteder is CEO and co-founder of Distimo, the innovative app store analytics company.  Founded in May 2009, Distimo was founded to address the challenges created by a widely fragmented app store marketplace filled with equally fragmented information and statistics. Prior to co-founding Distimo, Hoogsteder was Mobile Product Manager at eBuddy, the world's leading independent web and mobile IM service. Hoogsteder managed eBuddy's mobile IM application from its inception and played a pivotal role in helping eBuddy achieve more than 20M mobile app downloads worldwide in less than 2 years. Hoogsteder holds a Masters Degree in Business Information Technology from the University of Twente in The Netherlands.",1248797456
Yes,y,Yes,Yes,m,,Mark,Curtis,"CEO
",Flirtomatic,"CEO, Flirtomatic",,,speaker,y,"Mark was previously a partner at Fjord, building cross platform and mobile products for Nokia & Orange. Prior to that he was a global EVP for Razorfish responsible for 1500 staff. Together with a partner, he set up CHBi in 1994 to develop interactive technology solutions for marketing clients; by 1998 it was one of the top 3 new media agencies in London and was acquired by Razorfish. Prior to becoming involved in digital media, Mark had set up Curtis Hoy, a successful media promotion company which spearheaded the use of radio for sales promotion in the late 1980’s and early 1990’s. He is also the author of Distraction – Being Human in the Digital Age (Futuretext 2005).",1251218682
Yes,y,Yes,Yes,m,,Peter,Farago,VP Marketing,Flurry,"VP Marketing, Flurry",,,speaker,y,"Peter brings over 13 years of marketing and product management experience spanning consumer packaged goods, video gaming and mobile industries. At Flurry, the leading cross-platform mobile application analytics provider, Peter is responsible for all facets of product and corporate marketing. Prior to Flurry, Peter led marketing at mobile game maker, Digital Chocolate, helping build the company into a top-ten publisher world-wide. He joined Digital Chocolate from Electronic Arts, where he managed The Sims franchise, the #1 PC game of all-time. Peter began his career in consumer packaged goods at Pacific Sun, where he was head of marketing and sales and increased revenue from $8M to $40M. Peter holds a BS from UC Berkeley and an MBA from The Wharton School at the University of Pennsylvania.",1248456703
Yes,y,Yes,Yes,f,,Denise,Gershbein,Creative Director,frog design,"Creative Director, frog design",8,,speaker,y,"As Creative Director at frog, Denise leads cross-disciplinary teams by employing a design process that is both user-centered and business-cognizant. Denise strives to create and communicate designed experiences that transcend industry and medium by answering the call of our natural human curiosity. Denise is concerned not only with uncovering user needs, but also understanding the “second level of why” – the habits, beliefs and desires that motivate those needs. At frog Denise has engaged in a wide variety of projects from search tools to food product platforms. Her experience encompasses user research, interaction design and visual design across a range of industries and products, from financial services to health care, and from web sites to wearable devices.",1243906631
Yes,y,Yes,Yes,m,,Rahul,Sonnad,CEO & Founder,Geodelic Systems,"CEO & Founder, Geodelic Systems",,,speaker,y,"Rahul Sonnad is the CEO & Founder of Geodelic, a location-aware mobile application network that learns users interests and automatically aggregates relevant locations around them. Prior to founding Geodelic in early 2008, Rahul founded thePlatform, a digital video web services company. thePlatform services the majority of large video publishers on broadband and wireless platforms, including Hulu, Verizon Wireless, Helio, CNBC, CBS, ABC News, most Comcast properties, and several other major brands. In 2006, the Comcast Corporation acquired thePlatform and is now operating as a subsidiary. Previously, Rahul managed the R&D activities on Asian versions of Office suite at Microsoft, and in engineering management at Adobe Systems. Rahul has a masters in engineering from the University of Washington and attended the Harvard Business School MBA program.
",1249329133
Yes,y,Yes,Yes,,,Ilja,Laurs,"Founder and CEO
",GetJar,"Founder and CEO, GetJar",12,,speaker,y,"Ilja Laurs is Founder and CEO of GetJar, the worldâ€™s largest open mobile application store. Since 2005, GetJar provides global distribution and monetisation services to 350,000 developers, from one-man shops to established brands like Google, Microsoft and Facebook. As of May 2009, GetJar has 46,000 games and apps and serves 35,000,000 downloads per month through its own site and network of OEM and carrier partners that include Vodafone, Sony Ericsson, Blackberry and others. Serial enterpreneur since 1999, Ilja's launched over 20 successfull projects, as diverse as Lithuania's largest hotel reservation system LithuanianHotels.com, mobile payments system MicroPay.lt and mobile games studio Gaxo. Fluent in Lithuanian, Russian and English, he holds a keen interest in Basketball, Tennis, Chess and Watches, and enjoys traveling.",1243603840
Yes,y,Yes,Yes,m,,James,Kendrick,Editor jkOnTheRun,"GigaOM
","Editor jkOnTheRun, GigaOM",,,speaket,y,"James Kendrick has been using mobile devices since they weighed 30 pounds and shares his insights daily on mobile technology at jkOnTheRun. James is the Founding Editor of jkOnTheRun, a CNET Top 100 Tech Blog; the blog was acquired by GigaOM in 2008 and is now part of that prestigious tech network. James is also a member of the prestigious Mobius group. James’ writing has appeared in many print magazines such as Laptop Magazine. James' coverage of the mobile technology sector regularly appears in the New York Times, Salon.com and CNN/ Fortune online. He has appeared on local news segments and been interviewed by the Associated Press on mobile technology topics. Additionally, James is a co-host of a popular weekly podcast: MobileTechRoundup.",
Yes,y,"Yes
",Yes,m,,Colin,Gibbs,Mobile Curator,GigaOM Pro,"Mobile Curator, GigaOM Pro",,,speaker,y,"Before joining GigaOM Pro, Colin spent five years as a reporter and columnist for the trade publication RCR Wireless News, where he focused on mobile content, applications, social networks, marketing and advertising. He is a mainstay at industry events, having served as a panelist and judge for initiatives such as the Mobile Marketing Awards and Forum Nokia PRO Awards. His work has been cited by mainstream publications including the New York Times and New York Daily News. Prior to joining the tech world, Colin covered college and high-school sports for the Denver Post and was a general-assignment reporter for the independent Denver Daily News.",1249943457
Yes,y,Yes,Yes,m,,Andy,Rubin,"Vice President, Engineering ",Google,"Vice President, Engineering, Google",3,,speaker,y,"Andy joined Google in 2005 is responsible for the overall product strategy and development of the Android platform. Prior to joining Google, Andy was founder and CEO of Android, a company he incubated as an entrepreneur in residence at Redpoint Ventures. Android was acquired by Google in 2005. Previously, Andy was president and chief executive officer of Danger Inc. where he helped create the Sidekick, one of the first consumer data devices. Earlier, he was instrumental in building and shipping WebTV, the first interactive television-based Internet service, which was acquired by Microsoft in 1995. He also led the effort to ship the Motorola Envoy, one of the first wireless PDAs for General Magic, and helped design the first host-based software modem for Apple Computer. Andy began his career as a software engineer for Carl Zeiss A.G., maker of industrial and consumer optical products. He is the author of numerous patents in wireless communications.",
Yes,y,Yes,Yes,m,,Eric,Zimits,Managing Director,Granite Ventures,"Managing Director, Granite Ventures",,,speaker,y,"After spending a long career in finance and investments with a focus on the communications sector, Eric Zimits joined Granite Ventures in 2000 to focus on investing in early-stage communications and components companies. Eric’s previous experience includes Managing Director and head of the Communications Research Group at Hambrecht & Quist (later Chase H&Q); launching a research effort in the telecommunications and wireless industries as a General Partner at Volpe, Welty & Company; and analyst positions at Rauscher Pierce Refsnes and Morgan Keegan & Company. Eric currently serves on the Boards of Directors for AirTight Networks, Percello, Quantance, and RipCode. Eric received a B.S.E. from Purdue University and an M.B.A. from Tulane University's A.B. Freeman School of Business.",1251335108
Yes,y,Yes,Yes,m,,Alex ,Bloom,CEO,Handango,"CEO, Handango",12,,speaker,y,"As CEO, Alex Bloom is responsible for positioning the business to fully take advantage of the huge growth in the smartphone market and has been instrumental in expanding Handangoâ€™s distribution channels and forging content partnerships with top media brands. With over a decade of experience, Bloom has worked in all facets of the wireless landscape with carriers, content providers and smartphone app stores in various positions in general management, sales and marketing and product management. Bloom joined Handango, as VP of content and international where he oversaw content, international websites and the direct to consumer business. Prior to Handango, Bloom was general manager of the Motricity smartphone business and served 11 years at Verizon Wireless, where he rose to director of content and programming. ",1245889537
Yes,y,Yes,Yes,m,,Bernardo ,Huberman,Senior HP Fellow and Director,HP,"Senior HP Fellow and Director, HP",6,,speaker,y,"Bernardo Huberman worked for a number of years on large distributed systems, and designed and implemented market mechanisms for resource allocation while investigating the phenomenon of cooperation in large groups and organizations. His research into the evolution of the web led to the discovery of a number of strong regularities, which are described in this book ""The Laws of the Web"" (MIT Press). Presently, his work centers on the phenomenon of social attention and the design of novel mechanisms for discovering and aggregating distributed information.",1243464204
Yes,y,Yes,Yes,m,,Phil,Hendrix ,Founder and Director,immr,"Founder and Director, immr",,,speaker,y,"Dr. Phil Hendrix is the founder and director of immr, a research and consulting firm specializing in innovative new products and services.  Phil helps leading clients and startups uncover customer needs, optimize product/service features, and accelerate adoption.  He is also an analyst in GigaOm's analyst network.  Before founding immr, Phil was a partner with DiamondCluster and a principal with Mercer Management Consulting (now Oliver Wyman).  Previously, Phil was a professor at Emory University and the University of Michigan, where he taught courses in research design and analysis, buyer behavior, and marketing strategy.  He received his PhD in Marketing from the Graduate School of Business, University of Michigan.",1248746559
Yes,y,Yes,Yes,m,,Frank ,Meehan,CEO,INQ Mobile,"CEO, INQ Mobile",2,,speaker,y,"Frank founded INQ Mobile in 2007 to bring high function, low cost mobile handsets to the mass market. Frank has been with Hutchison since March 2001. Before founding INQ, he was General Manager of 3G Handsets and Applications for Hutchinson Whampoa. In that role he procured 10 million handsets annually for all of the Hutchison 3G companies. When Frank first joined Hutchison Whampoa, he worked on the engineering integration of the 3 UK 3G mobile network, the first outside Japan. After that successful network launch, he was asked to develop and launch Hutchison’s open mobile internet proposition, X-Series, for all 3G operations, as well as manage the company’s key application partners such as Google, Skype, Microsoft, Sling, Novarra, Orb and others.",1243907689
Yes,y,Yes,Yes,m,,Noury ,Al-Khaledy,"General Manager Nettop and Netbook Computing, Mobile Platforms Group",Intel,"General Manager Nettop and Netbook Computing, Mobile Platforms Group, Intel",,,speaker,y,"Noury Al-Khaledy is General Manager, Nettop & Netbook Computing, Mobile Platforms Group.  In this role Al-Khaledy leads a matrix organization in planning and executing Intel’s approach to low cost client platforms in addition to defining Intel’s strategy for this market.  He has cross-client budget authority for LCIA programs and is the primary decision maker. Since joining Intel in 1984, he has held numerous positions including working as a test, manufacturing, sustaining and design engineer and has started up and led multiple global organizations in manufacturing, PCEO, server and the desktop organization, including starting up the Shanghai Development Center which one an IAA for the China Learning PC.  He is a three time IAA winner and received a BSEE from Portland State University in 1984.",1246987171
Yes,y,Yes,Yes,,,Pankaj,Kedia,Head of Mobile Ecosystems,Intel,"Head of Mobile Ecosystems, Intel",,,speaker,y,"Pankaj Kedia is the director of Global Ecosystem Programs for Mobile Internet Devices (MIDs) at Intel Corporation. He is responsible for working with the industry to enable complete solutions for MIDs and taking them to market. Over the last 2 years, Pankaj has led Intel’s charge in establishing the MID category in the industry and launching the Intel® Atom™ processor. Pankaj joined Intel in 1996 and has held a range of executive advisory, marketing, planning, and business development roles across the company. Prior to Intel, he was in the management consulting industry for 5 years leading projects in strategy, management, and information technology. Pankaj holds an MBA from Wharton, an MS from the University of Michigan, and a BS from the IIT.",1243792231
Yes,,Yes,,m,,Anil,Nanduri,"Director, Netbook Marketing, Mobile Platforms Group",Intel,"Director, Netbook Marketing, Mobile Platforms Group, Intel",,,,,,
Yes,y,Yes,Yes,m,,Mark,Jacobstein,"CEO
",iSkoot,"CEO, iSkoot",-1,,speaker,y,"Mark Jacobstein was EVP at Loopt, and Founding President for Digital Chocolate, one of the largest publishers of mobile games. Mark was also the CEO and founder of Small World Sports, the world’s first online fantasy sports business, where he raised more than $20M from Flatiron Ventures, SCP, CCP and NBC before selling the business to Paul Allen’s The Sporting News. Mark also co-founded Small World Software, an Internet technology consultancy, which he sold to iXL in 1998. He then served as the SVP of sales and business development for iXL’s New York office before its 1999 IPO. Mark studied Computer Science at Harvard University and began his career as a software developer at Bloomberg L.P.",1247271040
Yes,y,Yes,Yes,m,,Amir,Hosseinpour,CEO,Juice Wireless,"CEO, Juice Wireless",,,speaker,y,"Amir Hosseinpour is CEO of Juice Wireless, providing a mobile social networking and media sharing platform for carriers/OEMs. Backed by 21Ventures, Qualcomm Ventures and Frontier, Juice operates JuiceCaster, a multi-award winning service distributed by AT&T, T-Mobile and Vodafone. Amir delivered the first picture messaging (and location sharing) service on the iPhone, Flutter â€“ an official Apple 2008 Top 10 Most Downloaded Social Networking app in the App Store. Amir is a recipient of a Cambridge-MIT entrepreneurship award with 12 years experience building technology platforms.  As former co-founder of On2go, a mobile content delivery platform, he devised strategy and managed partnerships with Vodafone, Orange, Samsung Mobile, and Sony Ericsson. Amir holds BA and MA degrees in the Social and Political Sciences from the University of Cambridge.",1248134440
Yes,y,Yes,Yes,m,,Mark,Spoonauer,Editor in Chief,LAPTOP Magazine,"Editor in Chief, LAPTOP Magazine",5,,moderator,y,"Mark Spoonauer is the Editor in Chief of LAPTOP, the leading mobile technology magazine. Now in his seventh year at the publication, Mark is recognized as one of the leading experts in wireless technology. He has spoken at numerous industry events, including CES and CTIA, and he makes regular TV and radio appearances to talk about the latest mobile tech trends. Mark is formerly the reviews editor of Mobile Computing & Communications magazine, and his work has also appeared in Wired, Popular Science, and Inc.",1245774566
Yes,y,Yes,Yes,m,,Sanjay,Vakil‎,Founder,"LuckyCal, Inc","Founder, LuckyCal, Inc",,,speaker,y,"Sanjay Vakil is the founder of LuckyCal. LuckyCal reinvents calendaring software by transforming calendars from staid repositories of information into dynamic, anticipatory, interactive tools, making each appointment a search query and in the process changing your calendar into a concierge. Five years from now, we'll wonder why our calendar didn't always know where our friends lived, when we could squeeze in an extra meeting, or how to find us last-minute tickets to a Red Sox game. Previous to LuckyCal, Vakil cofounded PatientKeeper, which made medical information available securely on the web and multiple handheld devices.  PatientKeeper raised over $75M in funding and is now installed in hundreds of hospitals worldwide. Vakil spent the '90s at MIT studying aerospace engineering completing a dissertation in cockpit automation.",1249346472
Yes,y,Yes,Yes,m,,Don,Paterson,"Director of Marketing, Windows Business Group","Microsoft
","Director of Marketing, Windows Business Group, Microsoft",,,speaker,y,"Don Paterson is the Director of Marketing in the Windows Business Group responsible for Small Notebook PCs, also known as ""netbook PCs"". In this role, Don is a key stakeholder in setting Microsoft's long term strategy in the small notebook PC category and is the owner of Microsoft's go-to-market strategy for the category.  Don is a 10 year Microsoft veteran, with global experience across multiple Microsoft business groups as well as in segment sales and marketing.",1247587086
Yes,y,Yes,Yes,m,,Todd,Brix,Senior Director,Microsoft Corp.,"Senior Director, Microsoft Corp.",,,speaker,y,"Todd Brix leads Product Management for the Windows Marketplace for Mobile and Microsoft My Phone mobile services and the Windows Mobile developer platform in Microsoft’s Mobile Communication Business. In this role, Todd leads the team responsible for defining and driving product strategies, partnerships, service launches, marketing and operations execution for new mobile services being released with the first generation of Windows phones, later this year. Todd has worked at Microsoft for 10 years in a variety of product management, marketing and planning roles in the Windows Server, Windows Embedded and Windows Mobile business groups. Prior to Microsoft, Todd worked at Intel, Silicon Graphics, and a semiconductor start-up and is a graduate of Harvard Business School and the University of Washington. You can follow the work that Todd’s team does over at http://developer.windowsmobile.com and on twitter at http://twitter.com/wmdev ",
Yes,y,Yes,Yes,m,,Anand,Iyer,Sr. Product Manager,Microsoft Corp.,"Sr. Product Manager, Microsoft Corp.",,,speaker,y,"Anand Iyer is a Senior Product Manager on Microsoft's Windows Mobile Team. He overlooks the Application Developer Experience for the platform. Anand joined Microsoft in January 2005 as an Evangelist, Microsoft's ambassador to the Silicon Valley. During his tenure there, he has been in the midst of several launches, such as Visual Studio, SQL Server, Vista, Office and many others. Anand is actively involved in the startup community in the Silicon Valley and liaises with Microsoft corporate development teams and startup companies. Before joining Microsoft, Anand worked for Cisco Systems' New Business Ventures team, pioneering XML-based manageability solutions. Anand has extensive experience software methodologies, and has worked on several development platforms. Anand has a degree in Computer Engineering from Purdue University. You can follow Anand’s on his blog at http://www.Artificialignorance.net and on twitter at http://twitter.com/anandiyer ",
Yes,y,Yes,Yes,m,,Yuri ,van Geest,MSc. in Strategy & Marketing,"Mobile Monday Amsterdam, TEDx Amsterdam, Trend8","MSc. in Strategy & Marketing, Mobile Monday Amsterdam, TEDx Amsterdam, Trend8",,,moderator,,"Allround professional innovator in digital media, now key focus on mobile internet. Background in online (redesigns and online marketing): 4 years client side and 4 years agency side. Co-Founder SPRXmobile. Currently active as co-founder Mobile Monday Amsterdam, co-founder TEDx Amsterdam, founder Vodafone Mobile Clicks contest and partner Trend8. Recent clients are: Heineken, Vodafone, MIT, eBay, UPC, T-Mobile, Google and Nokia Europe. Mobile projects consist of offline events, devcamps, strategy consulting or program management. Key values: persistence, authenticity, openness, dignity, creativity and intrinsic motivation. ",1249388379
Yes,y,Yes,Yes,f,,Crysta,Metcalf ,"Distinguished Member of the Technical Staff, Applied Research and Technology Center",Motorola,"Distinguished Member of the Technical Staff, Applied Research and Technology Center, Motorola",7,,speaker ,y,"Crysta Metcalf is a classically trained anthropologist, who received her B.A. in anthropology from the University of South Florida in 1988, and her Ph.D. from Wayne State University in 1999.  Her specialty areas include economic anthropology, business and organizational anthropology, and design anthropology.  Since joining Motorola in 2000, she has worked in applied research on a variety of projects utilizing team-based, trans-disciplinary methods for innovation and design.  The majority of her work involves application design in sociable and emerging media and communication technologies.  She is currently managing a group of researchers engaged in experience design and evaluation, and is leading the “Next Generation TV Experiences” research area for the Applied Research and Technology Center at Motorola.",1245422566
Yes,y,Yes,Yes,m,,Rick,Keith,"Senior Director of Strategy, Broadband Access Solutions","Motorola
","Senior Director of Strategy, Broadband Access Solutions, Motorola",,,speaker,y,"Richard Keith is the Senior Director of Strategy in the Broadband Access Solutions Business where he manages global product planning, markets, and business objectives for WiMAX and LTE products and services. He most recently served as Director of Strategy for Motorola’s Wireless Broadband Technologies to develop the market and launch Motorola’s first WiMAX portfolio.  In prior positions at Motorola, Richard served as Global Alliance Manager for the Motorola/Schlumberger Joint Venture, the Global Alliance Director of the Motorola/ Cisco Strategic Alliance, and Business Manager of Mergers and Acquisitions.
",1250609773
