FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured ,Short Desc ,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,f,Jennifer,Pahlka,Founder and Executive Director,Code for America,"Founder and Executive Director, Code for America",,,speaker,y,"Jennifer Pahlka is the founder and executive director of Code for America, which works with talented web professionals and cities around the country to promote public service and reboot government. Government Technology named her one of 2011’s Doers, Dreamers and Drivers in Public Sector Innovation and the Huffington Post named her the top Game Changer in Business and Technology the same year. She is known for her TED talk, Coding a Better Government. She spent eight years at CMP Media where she ran the Game Developers Conference, Game Developer magazine, Gamasutra.com and the Independent Games Festival. She is a graduate of Yale University and lives in Oakland with her daughter and eight chickens.",y,"Jennifer Pahlka works with talented web professionals and cities around the country to promote public service and reboot government. Known for her TED talk, Coding a Better Government, she will talk about how the non-profit is helping redesign the UI and UX for connected government services.",,,@pahlkadot,http://www.linkedin.com/in/jpahlka
,y,y,y,m,Mike,Senese,Senior Editor,Wired,"Senior Editor, Wired",,,speaker,y,"Mike Senese is a senior editor at Wired, overseeing their coverage of design and the emerging world of at-home, on-demand manufacturing. He's also a TV personality who has co-hosted shows on Discovery and Science Channel. On Science’s Catch It Keep It, he posed a weekly challenge to contestants to best his machination of destruction, while explaining the engineering, science, and physics of the enormous contraptions. Fuse TV's Rock and Roll Acid Test saw Mike applying the Mythbusters ethic to music legends and lore. Mike is also a regular on How Stuff Works, and hosted the 2009 coverage of Science Channel’s favorite annual competition, Punkin Chunkin. He discusses technology, teaches science, and inspires people to build things through his DIY website, mikesenese.com/DOIT. Mike and his wife recently relocated to San Francisco from Los Angeles.",,,,,@msenese,
y,y,y,y,m,Ben,Silbermann,Co-Founder and CEO,Pinterest,"Co-Founder and CEO, Pinterest",,,speaker,y,"Ben Silbermann is the chief executive officer and co-founder of Pinterest, a virtual pinboard that lets its millions of users collect, discover and share things they love. An avid collector himself, Silbermann co-founded Pinterest on Thanksgiving Day in 2009. Prior to Pinterest, Ben spent two years as a product specialist at Google, where he helped to design, test and launch new display advertising products. He also worked on a few fun personal projects including a user-generated trivia site.Silbermann was born in Des Moines, Iowa and attended Yale University.",,,,,@8en,
,y,y,y,m,Kevin,Systrom,Co-Founder and CEO,Instagram,"Co-Founder and CEO, Instagram",,,speaker,y,"Kevin graduated from Stanford University in 2006 with a BS in Management Science & Engineering—he got his first taste of the startup world when he was an intern at Odeo that later became Twitter. He spent two years at Google—the first of which was working on Gmail, Google Reader, and other products and the latter where he worked on the Corporate Development team. Kevin has always had a passion for social products that enable people to communicate more easily, and combined with his passion for photography Instagram is a natural fit.",,,,,@KevinSystrom,
y,y,y,y,m,Evan,Williams,CEO,The Obvious Corporation,"CEO, The Obvious Corporation",,,speaker,y,"Evan Williams is an American entrepreneur who has co-founded two of the biggest services on the Internet—Blogger, which he ran for four years before selling to Google in 2003, and Twitter, where he was CEO for two years and now serves on the board of directors. Most recently, he launched Medium, a new publishing platform, currently in private beta. Evan is currently CEO of The Obvious Corporation, which supports world-positive ideas and technologies through building, investing, and advising. Obvious spun out Twitter, Inc. in 2007 and has recently helped companies such as Beyond Meat, Branch, Karma, Lift, and Neighborland. Evan was raised on a farm in rural Nebraska and has been recognized as one of Inc. Magazine’s Entrepreneurs of the Decade, one of the 100 most influential people in the world, according to TIME, and named a Young Global Leader by the World Economic Forum. He lives in San Francisco with his wife and two sons.",,,,,@ev,
y,y,y,y,m,Scott ,Wilson,Founder and Principal,MINIMAL,"Founder and Principal, MINIMAL",,,speaker,y,"Scott Wilson is the founder and principal of Chicago-based MINIMAL. A former Global Creative Director at Nike, Wilson has been a design leader in organizations such as Thomson Consumer Electronics, IDEO, Fortune Brands and Motorola. Equal parts visionary designer and serial entrepreneur, Wilson consistently delivers disruptive yet thoughtful solutions to market across a diverse range of industries and has created some of the most recognized consumer design icons. His groundbreaking use of crowdfunding with LUNATIK has established MNML at the forefront of a game-changing revolution in product development, one that empowers designers to see their vision from concept to market. Scott Wilson is the 2012 recipient of Smithsonian’s Cooper-Hewitt National Design Award for Product Design.",,"Equal parts visionary designer and serial entrepreneur, Wilson consistently delivers disruptive yet thoughtful solutions to market across a diverse range of industries and has created some of the most recognized consumer design icons. He'll discuss expressive devices and entrepreneurial design.",,www.facebook.com/MNMLstudio,@ScottWilsonID,
y,y,y,y,f,Katie,Fehrenbacher,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Katie Fehrenbacher has been covering cutting-edge technology, startups and entrepreneurs in Silicon Valley for more than 7 years. She is the founding Editor of Earth2Tech, which she launched in July 2007. Prior to starting Earth2Tech she was a Staff Writer for GigaOM where she covered wireless and broadband technology. She has been a reporter at Red Herring, an editor at Engadget and began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun.",,,,,@katiefehren,
y,y,y,n,m,Mathew,Ingram,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Mathew Ingram is a senior writer with GigaOM. Prior to that he was an award-winning journalist with the Globe and Mail who spent the past 15 years writing about business, technology and new media as a reporter, columnist and blogger. Until January 2010 he was the Globe’s first online Communities Editor, helping the paper and its staff understand and appreciate the benefits of social-media tools such as blogs, comments and Twitter. He also launched the Globe’s ground-breaking Public Policy Wiki, writes for the Nieman Journalism Lab at Harvard University and is one of the founders of Mesh, Canada’s leading Web conference.",,,,,@mathewi,
y,y,y,y,m,Ki Mae,Heussner,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Ki Mae joins GigaOM from Adweek, where she was a staff writer covering technology. Prior to that, she produced the science and technology section for ABCNews.com and reported on topics ranging from social media and innovation to space and science fiction. Ki Mae’s previous roles include writing for an independent political news site in Malaysia, creating public advocacy campaigns for Lifetime Television and working for a U.S. Senator. She works out of GigaOM’s East Coast office and covers New York startups. ",,,,,@kheussner,
y,y,y,y,m,Om,Malik,Founder and Senior Writer,GigaOM,"Founder and Senior Writer, GigaOM",,,speaker,y,"Om Malik has more than 15 years of experience as a journalist covering technology and business news. He was part of the founding team of Forbes.com as a Senior Editor. He then went on to become a senior writer at Red Herring during its glory days before joining Business 2.0 in March 2003, covering telecom, innovation and broadband stories. His contributions have been published in The Wall Street Journal, The Economist and MIT Technology Review. Additionally, Om is the author of “Broadbandits: Inside the $750 Billion Telecom Heist.” He is also the recipient of many industry awards, including Excellence in Journalism from the Society of Professional Journalists in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",,,,,,
y,y,y,y,m,Janko,Roettgers,Staff Writer,GigaOM,"Staff Writer, GigaOM",,,speaker,y,"Janko has been covering all things tech for more than 10 years. His career as a technology journalist began in Germany, where he published a number of books about subjects like the online music revolution and Internet subcultures. He first began contributing to GigaOM in 2007 and joined the staff in 2009. Janko is also the host of GigaOM’s Cord Cutters series.",,,,,@jank0,
y,y,y,y,m,Joseph,Turian,"President, Metaoptimize and Analyst ",GigaOM Pro,"President, MetaOptimize and Analyst, GigaOM Pro",,,speaker,y,"Joseph Turian, Ph.D., heads MetaOptimize LLC, which consults on data science, machine learning, natural language processing, and predictive analytics (http://metaoptimize.com/). He has over a decade of expertise on these topics. MetaOptimize provides best-of-breed implementations, strategic advice to C-level execs, and coaching and guidance for in-house tech teams. In summary, MetaOptimize creates value by helping organizations transform data into actionable information. Joseph Turian holds a Ph.D. in computer science (with a focus on Machine Learning and Natural Language Processing) from New York University since 2007. During his graduate studies, he developed a fast, large-scale machine learning method for parsing natural language. He received his AB from Harvard University in 2001.",,,,,@turian,http://www.linkedin.com/in/turian
